 f_at_0.19961653042327443E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.000000000E+000   0.000000000E+000                NaN                NaN                NaN                NaN   0.806234717E+000                NaN
   0.30000000000000000E+009   0.000000000E+000   0.165346980E+000   0.111920034E-009   0.468410681E+000   0.186337636E-010  -0.267827503E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.330693960E+000   0.107326611E-009   0.468556222E+000   0.368009349E-010  -0.267572561E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.496040940E+000   0.998056051E-010   0.468719429E+000   0.539643543E-010  -0.267484530E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.661387920E+000   0.895621668E-010   0.468915008E+000   0.696557883E-010  -0.267438021E+001   0.806234717E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.826734900E+000   0.768757054E-010   0.469168922E+000   0.834472071E-010  -0.267407944E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.992081881E+000   0.620922907E-010   0.469535169E+000   0.949624073E-010  -0.267385883E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.115742886E+001   0.456151651E-010   0.470152408E+000   0.103887283E-009  -0.267368162E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.132277584E+001   0.278938191E-010   0.471526398E+000   0.109978389E-009  -0.267352860E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.148812282E+001   0.941185363E-011   0.478185578E+000   0.113069568E-009  -0.267338802E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.165346980E+001   0.932807370E-011  -0.268332125E+001   0.113076510E-009  -0.267325128E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.181881678E+001   0.278123208E-010  -0.267658257E+001   0.109999027E-009  -0.267311073E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.198416376E+001   0.455381748E-010  -0.267520222E+001   0.103921053E-009  -0.267295779E+001   0.806234717E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.214951086E+001   0.620219188E-010  -0.267458324E+001   0.950083813E-010  -0.267278072E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.231485796E+001   0.768138750E-010  -0.267421628E+001   0.835041311E-010  -0.267256037E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.248020506E+001   0.895105516E-010  -0.267396201E+001   0.697221026E-010  -0.267226009E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.264555216E+001   0.997656203E-010  -0.267376624E+001   0.540382458E-010  -0.267179608E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.281089926E+001   0.107299335E-009  -0.267360293E+001   0.368803866E-010  -0.267091886E+001   0.806234717E+000   0.741964579E+000
   0.30000000000000000E+009   0.000000000E+000   0.297624636E+001   0.111906211E-009  -0.267345733E+001   0.187166078E-010  -0.266838619E+001   0.806234777E+000   0.741964638E+000
   0.30000000000000000E+009   0.000000000E+000   0.314159274E+001   0.113460566E-009  -0.267331964E+001   0.102613702E-012  -0.152446868E+001   0.806234717E+000   0.741964638E+000
   0.30000000000000000E+009   0.157079637E+001   0.000000000E+000   0.142023302E-009  -0.553611714E+000   0.121177682E-010   0.276461537E+001   0.111931765E+001   0.117101467E+001
   0.30000000000000000E+009   0.157079637E+001   0.165346980E+000   0.153660304E-009  -0.734122551E+000   0.155083432E-010   0.239941724E+001   0.131128561E+001   0.137473094E+001
   0.30000000000000000E+009   0.157079637E+001   0.330693960E+000   0.165241966E-009  -0.124158236E+001   0.208374605E-010   0.183472489E+001   0.151160598E+001   0.159876788E+001
   0.30000000000000000E+009   0.157079637E+001   0.496040940E+000   0.179927856E-009  -0.202304359E+001   0.290483973E-010   0.113762982E+001   0.179662693E+001   0.191453969E+001
   0.30000000000000000E+009   0.157079637E+001   0.661387920E+000   0.189591230E-009  -0.299533867E+001   0.375724490E-010   0.370035048E+000   0.202345634E+001   0.215307617E+001
