t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.440502135E-009   0.000000000E+000
   0.21569331737358866E-009   0.348758977E-008   0.000000000E+000
   0.24650664842695846E-009   0.152427564E-007   0.000000000E+000
   0.27731997948032827E-009   0.490494827E-007   0.000000000E+000
   0.30813331053369808E-009   0.132396607E-006   0.543364429E-007
   0.33894664158706789E-009   0.323388605E-006   0.130312955E-006
   0.36975997264043770E-009   0.745452326E-006   0.323846933E-006
   0.40057330369380750E-009   0.165031281E-005   0.760842454E-006
   0.43138663474717731E-009   0.352813595E-005   0.168002134E-005
   0.46219996580054712E-009   0.733522666E-005   0.345463172E-005
   0.49301329685391693E-009   0.149535663E-004   0.736915536E-005
   0.52382662790728673E-009   0.299863132E-004   0.160410909E-004
   0.55463995896065654E-009   0.589481169E-004   0.332269665E-004
   0.58545329001402635E-009   0.113011629E-003   0.653352618E-004
   0.61626662106739616E-009   0.211149105E-003   0.121569610E-003
   0.64707995212076597E-009   0.385749736E-003   0.230606995E-003
   0.67789328317413577E-009   0.690969231E-003   0.440437172E-003
   0.70870661422750558E-009   0.121284404E-002   0.805525691E-003
   0.73951994528087539E-009   0.208076043E-002   0.141093775E-002
   0.77033327633424520E-009   0.348466286E-002   0.236807764E-002
   0.80114660738761501E-009   0.570230279E-002   0.399364904E-002
   0.83195993844098481E-009   0.913238060E-002   0.670463685E-002
   0.86277326949435462E-009   0.143202990E-001   0.108426828E-001
   0.89358660054772443E-009   0.219669603E-001   0.169194546E-001
   0.92439993160109424E-009   0.329320617E-001   0.255346466E-001
   0.95521326265446405E-009   0.482437536E-001   0.382758677E-001
   0.98602659370783385E-009   0.690979362E-001   0.565969534E-001
   0.10168399247612037E-008   0.968052670E-001   0.810456946E-001
   0.10476532558145735E-008   0.132660702E+000   0.112656519E+000
   0.10784665868679433E-008   0.177761674E+000   0.152419046E+000
   0.11092799179213131E-008   0.232824087E+000   0.203027517E+000
   0.11400932489746829E-008   0.298022985E+000   0.264987230E+000
   0.11709065800280527E-008   0.372852594E+000   0.336443633E+000
   0.12017199110814225E-008   0.455993414E+000   0.416465849E+000
   0.12325332421347923E-008   0.545186102E+000   0.503646970E+000
   0.12633465731881621E-008   0.637157559E+000   0.596037149E+000
   0.12941599042415319E-008   0.727696121E+000   0.688264132E+000
   0.13249732352949017E-008   0.811960995E+000   0.775755405E+000
