t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.21569331737358866E-009   0.000000000E+000   0.000000000E+000
   0.24650664842695846E-009   0.000000000E+000   0.000000000E+000
   0.27731997948032827E-009   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-009   0.000000000E+000   0.000000000E+000
   0.33894664158706789E-009   0.000000000E+000  -0.210102457E-014
   0.36975997264043770E-009   0.000000000E+000  -0.542206076E-014
   0.40057330369380750E-009   0.000000000E+000  -0.133781510E-013
   0.43138663474717731E-009   0.000000000E+000  -0.311337666E-013
   0.46219996580054712E-009   0.000000000E+000  -0.678536274E-013
   0.49301329685391693E-009   0.000000000E+000  -0.136884346E-012
   0.52382662790728673E-009   0.000000000E+000  -0.307993756E-012
   0.55463995896065654E-009   0.000000000E+000  -0.666797889E-012
   0.58545329001402635E-009   0.000000000E+000  -0.137186811E-011
   0.61626662106739616E-009   0.000000000E+000  -0.267441212E-011
   0.64707995212076597E-009   0.000000000E+000  -0.492061600E-011
   0.67789328317413577E-009   0.000000000E+000  -0.968679217E-011
   0.70870661422750558E-009   0.000000000E+000  -0.184320666E-010
   0.73951994528087539E-009   0.000000000E+000  -0.335669131E-010
   0.77033327633424520E-009   0.000000000E+000  -0.585070117E-010
   0.80114660738761501E-009   0.000000000E+000  -0.976471889E-010
   0.83195993844098481E-009   0.000000000E+000  -0.168703301E-009
   0.86277326949435462E-009   0.000000000E+000  -0.282636387E-009
   0.89358660054772443E-009   0.000000000E+000  -0.456127164E-009
   0.92439993160109424E-009   0.000000000E+000  -0.710350001E-009
   0.95521326265446405E-009   0.000000000E+000  -0.107018894E-008
   0.98602659370783385E-009   0.000000000E+000  -0.162712632E-008
   0.10168399247612037E-008   0.000000000E+000  -0.240461784E-008
   0.10476532558145735E-008   0.000000000E+000  -0.344251405E-008
   0.10784665868679433E-008   0.000000000E+000  -0.478605422E-008
   0.11092799179213131E-008   0.000000000E+000  -0.647986687E-008
   0.11400932489746829E-008   0.000000000E+000  -0.869203287E-008
   0.11709065800280527E-008   0.000000000E+000  -0.113531566E-007
   0.12017199110814225E-008   0.000000000E+000  -0.144313672E-007
   0.12325332421347923E-008   0.000000000E+000  -0.178923472E-007
   0.12633465731881621E-008   0.202567616E-007  -0.216817906E-007
   0.12941599042415319E-008   0.810270464E-007  -0.257202917E-007
