t              AirBox.fdtd_Point probe C_Hy_75_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.540065930E-012   0.000000000E+000
   0.21569331737358866E-009   0.470071855E-011   0.000000000E+000
   0.24650664842695846E-009   0.222952403E-010   0.000000000E+000
   0.27731997948032827E-009   0.768338865E-010   0.000000000E+000
   0.30813331053369808E-009   0.218555493E-009   0.000000000E+000
   0.33894664158706789E-009   0.553254831E-009   0.228423433E-009
   0.36975997264043770E-009   0.130458999E-008   0.526318822E-009
   0.40057330369380750E-009   0.293416247E-008   0.110934240E-008
   0.43138663474717731E-009   0.635769926E-008   0.267191580E-008
   0.46219996580054712E-009   0.133678189E-007   0.617416251E-008
   0.49301329685391693E-009   0.274814109E-007   0.135078384E-007
   0.52382662790728673E-009   0.554885062E-007   0.278441163E-007
   0.55463995896065654E-009   0.109945390E-006   0.536819478E-007
   0.58545329001402635E-009   0.212931852E-006   0.112934245E-006
   0.61626662106739616E-009   0.402282694E-006   0.229168663E-006
   0.64707995212076597E-009   0.742492489E-006   0.443524897E-006
   0.67789328317413577E-009   0.134210973E-005   0.817626528E-006
   0.70870661422750558E-009   0.237738277E-005   0.143368925E-005
   0.73951994528087539E-009   0.412093323E-005   0.264308096E-005
   0.77033327633424520E-009   0.697970245E-005   0.471803287E-005
   0.80114660738761501E-009   0.115510356E-004   0.808720324E-005
   0.83195993844098481E-009   0.186983070E-004   0.133254480E-004
   0.86277326949435462E-009   0.296291109E-004   0.211424667E-004
   0.89358660054772443E-009   0.459497242E-004   0.342551102E-004
   0.92439993160109424E-009   0.696916395E-004   0.538871755E-004
   0.95521326265446405E-009   0.103327649E-003   0.818986155E-004
   0.98602659370783385E-009   0.149774743E-003   0.120523837E-003
   0.10168399247612037E-008   0.212328334E-003   0.172223430E-003
   0.10476532558145735E-008   0.294451311E-003   0.245876960E-003
   0.10784665868679433E-008   0.399397541E-003   0.341522566E-003
   0.11092799179213131E-008   0.529732089E-003   0.460664567E-003
   0.11400932489746829E-008   0.686843065E-003   0.604892499E-003
   0.11709065800280527E-008   0.870506279E-003   0.775169465E-003
   0.12017199110814225E-008   0.107851299E-002   0.977549586E-003
   0.12325332421347923E-008   0.130634173E-002   0.120128738E-002
   0.12633465731881621E-008   0.154690712E-002   0.143927010E-002
   0.12941599042415319E-008   0.179053040E-002   0.168436801E-002
   0.13249732352949017E-008   0.202535512E-002   0.192829280E-002
