t              BoxCavity.fdtd_Point probe001_Ez_15_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.43138664081870948E-010   0.615914714E-017
   0.46219997230576015E-010   0.688458917E-016
   0.49301330379281083E-010   0.454105322E-015
   0.52382663527986151E-010   0.233975530E-014
   0.55463996676691218E-010   0.101054961E-013
   0.58545329825396286E-010   0.377523770E-013
   0.61626662974101354E-010   0.124753587E-012
   0.64707996122806422E-010   0.368204924E-012
   0.67789329271511489E-010   0.973466316E-012
   0.70870662420216557E-010   0.231670672E-011
   0.73951995568921625E-010   0.500198841E-011
   0.77033328717626692E-010   0.986547823E-011
   0.80114661866331760E-010   0.178350425E-010
   0.83195995015036828E-010   0.295617246E-010
   0.86277328163741895E-010   0.448261914E-010
   0.89358661312446963E-010   0.618474369E-010
   0.92439994461152031E-010   0.768332134E-010
   0.95521327609857098E-010   0.843259421E-010
   0.98602660758562166E-010   0.786241003E-010
   0.10168399390726723E-009   0.558561114E-010
   0.10476532705597230E-009   0.162087704E-010
   0.10784666020467737E-009  -0.338757113E-010
   0.11092799335338244E-009  -0.808476133E-010
   0.11400932650208750E-009  -0.107111785E-009
   0.11709065965079257E-009  -0.981406553E-010
   0.12017199279949764E-009  -0.498075886E-010
   0.12325332594820271E-009   0.276930562E-010
   0.12633465909690778E-009   0.111101267E-009
   0.12941599224561284E-009   0.172387965E-009
   0.13249732539431791E-009   0.191317281E-009
   0.13557865854302298E-009   0.162230646E-009
   0.13865999169172805E-009   0.927242935E-010
   0.14174132484043311E-009   0.524798260E-011
   0.14482265798913818E-009  -0.607721165E-010
   0.14790399113784325E-009  -0.674439671E-010
   0.15098532428654832E-009  -0.108815665E-010
   0.15406665743525338E-009   0.743450718E-010
   0.15714799058395845E-009   0.146613610E-009
   0.16022932373266352E-009   0.182360391E-009
   0.16331065688136859E-009   0.178667192E-009
   0.16639199003007366E-009   0.152853868E-009
   0.16947332317877872E-009   0.130252531E-009
   0.17255465632748379E-009   0.115160798E-009
   0.17563598947618886E-009   0.970455452E-010
   0.17871732262489393E-009   0.954148149E-010
   0.18179865577359899E-009   0.145710485E-009
   0.18487998892230406E-009   0.223062693E-009
   0.18796132207100913E-009   0.253257582E-009
   0.19104265521971420E-009   0.224062283E-009
   0.19412398836841926E-009   0.204730732E-009
   0.19720532151712433E-009   0.237078079E-009
   0.20028665466582940E-009   0.292510127E-009
   0.20336798781453447E-009   0.338564926E-009
   0.20644932096323954E-009   0.363007346E-009
   0.20953065411194460E-009   0.354661994E-009
   0.21261198726064967E-009   0.338265443E-009
   0.21569332040935474E-009   0.374371950E-009
   0.21877465355805981E-009   0.459595473E-009
   0.22185598670676487E-009   0.515253895E-009
   0.22493731985546994E-009   0.523627031E-009
   0.22801865300417501E-009   0.555345492E-009
   0.23109998615288008E-009   0.629182928E-009
   0.23418131930158514E-009   0.684440893E-009
   0.23726265245029021E-009   0.708861081E-009
   0.24034398559899528E-009   0.754677654E-009
   0.24342531874770035E-009   0.831645308E-009
   0.24650665189640542E-009   0.904985087E-009
   0.24958798504511048E-009   0.971924985E-009
   0.25266931819381555E-009   0.104926412E-008
   0.25575065134252062E-009   0.113213394E-008
   0.25883198449122569E-009   0.121826005E-008
   0.26191331763993075E-009   0.131573974E-008
   0.26499465078863582E-009   0.141597456E-008
   0.26807598393734089E-009   0.151613044E-008
   0.27115731708604596E-009   0.163898095E-008
   0.27423865023475102E-009   0.178365689E-008
   0.27731998338345609E-009   0.191699723E-008
   0.28040131653216116E-009   0.204073158E-008
   0.28348264968086623E-009   0.219051710E-008
   0.28656398282957130E-009   0.236802000E-008
   0.28964531597827636E-009   0.255158805E-008
   0.29272664912698143E-009   0.274648726E-008
   0.29580798227568650E-009   0.295990099E-008
   0.29888931542439157E-009   0.317615845E-008
   0.30197064857309663E-009   0.339691275E-008
   0.30505198172180170E-009   0.364503783E-008
   0.30813331487050677E-009   0.392114519E-008
   0.31121464801921184E-009   0.421521307E-008
   0.31429598116791690E-009   0.453431426E-008
   0.31737731431662197E-009   0.487251395E-008
   0.32045864746532704E-009   0.520897459E-008
   0.32353998061403211E-009   0.556203084E-008
   0.32662131376273718E-009   0.597314020E-008
   0.32970264691144224E-009   0.643434683E-008
   0.33278398006014731E-009   0.690431134E-008
   0.33586531320885238E-009   0.737837258E-008
   0.33894664635755745E-009   0.788511567E-008
   0.34202797950626251E-009   0.844428882E-008
   0.34510931265496758E-009   0.905744901E-008
   0.34819064580367265E-009   0.970747127E-008
   0.35127197895237772E-009   0.103752038E-007
   0.35435331210108278E-009   0.110820713E-007
   0.35743464524978785E-009   0.118691670E-007
   0.36051597839849292E-009   0.127201538E-007
   0.36359731154719799E-009   0.135831577E-007
   0.36667864469590306E-009   0.144732448E-007
   0.36975997784460812E-009   0.154619322E-007
   0.37284131099331319E-009   0.165665828E-007
   0.37592264414201826E-009   0.177302706E-007
   0.37900397729072333E-009   0.189072491E-007
   0.38208531043942839E-009   0.201217940E-007
   0.38516664358813346E-009   0.214485443E-007
   0.38824797673683853E-009   0.229347226E-007
   0.39132930988554360E-009   0.245320173E-007
   0.39441064303424866E-009   0.261517012E-007
   0.39749197618295373E-009   0.278029582E-007
   0.40057330933165880E-009   0.295977056E-007
   0.40365464248036387E-009   0.315946878E-007
   0.40673597562906894E-009   0.337254598E-007
   0.40981730877777400E-009   0.359054972E-007
   0.41289864192647907E-009   0.381553740E-007
   0.41597997507518414E-009   0.405825880E-007
   0.41906130822388921E-009   0.432567973E-007
   0.42214264137259427E-009   0.461142058E-007
   0.42522397452129934E-009   0.490307492E-007
   0.42830530767000441E-009   0.520161940E-007
   0.43138664081870948E-009   0.552485275E-007
   0.43446797396741454E-009   0.588423497E-007
   0.43754930711611961E-009   0.626743315E-007
   0.44063064026482468E-009   0.665504487E-007
   0.44371197341352975E-009   0.704965686E-007
   0.44679330656223482E-009   0.747634417E-007
   0.44987463971093988E-009   0.795176476E-007
   0.45295597285964495E-009   0.846097237E-007
   0.45603730600835002E-009   0.897568455E-007
   0.45911863915705509E-009   0.949569312E-007
   0.46219997230576015E-009   0.100561095E-006
   0.46528130545446522E-009   0.106822313E-006
   0.46836263860317029E-009   0.113522994E-006
   0.47144397175187536E-009   0.120266265E-006
   0.47452530490058042E-009   0.127071630E-006
   0.47760663804928549E-009   0.134418357E-006
   0.48068797119799056E-009   0.142619953E-006
   0.48376930434669563E-009   0.151372319E-006
   0.48685063749540070E-009   0.160149980E-006
   0.48993197064410576E-009   0.168982041E-006
   0.49301330379281083E-009   0.178521788E-006
   0.49609463694151590E-009   0.189200065E-006
   0.49917597009022097E-009   0.200588005E-006
   0.50225730323892603E-009   0.211952070E-006
   0.50533863638763110E-009   0.223335263E-006
   0.50841996953633617E-009   0.235629130E-006
   0.51150130268504124E-009   0.249411102E-006
   0.51458263583374630E-009   0.264105182E-006
   0.51766396898245137E-009   0.278727640E-006
   0.52074530213115644E-009   0.293319431E-006
   0.52382663527986151E-009   0.309058748E-006
   0.52690796842856658E-009   0.326724717E-006
   0.52998930157727164E-009   0.345558476E-006
   0.53307063472597671E-009   0.364241259E-006
   0.53615196787468178E-009   0.382812715E-006
   0.53923330102338685E-009   0.402832598E-006
   0.54231463417209191E-009   0.425338612E-006
   0.54539596732079698E-009   0.449320652E-006
   0.54847730046950205E-009   0.473009550E-006
   0.55155863361820712E-009   0.496444841E-006
   0.55463996676691218E-009   0.521710604E-006
   0.55772129991561725E-009   0.550196489E-006
   0.56080263306432232E-009   0.580546839E-006
   0.56388396621302739E-009   0.610396853E-006
   0.56696529936173246E-009   0.639788709E-006
   0.57004663251043752E-009   0.671462089E-006
   0.57312796565914259E-009   0.707247750E-006
   0.57620929880784766E-009   0.745376951E-006
   0.57929063195655273E-009   0.782727057E-006
   0.58237196510525779E-009   0.819310742E-006
   0.58545329825396286E-009   0.858719773E-006
   0.58853463140266793E-009   0.903382329E-006
   0.59161596455137300E-009   0.950968342E-006
   0.59469729770007806E-009   0.997360075E-006
   0.59777863084878313E-009   0.104257731E-005
   0.60085996399748820E-009   0.109130167E-005
   0.60394129714619327E-009   0.114665670E-005
   0.60702263029489834E-009   0.120560264E-005
   0.61010396344360340E-009   0.126280963E-005
   0.61318529659230847E-009   0.131828006E-005
   0.61626662974101354E-009   0.137804898E-005
   0.61934796288971861E-009   0.144618264E-005
   0.62242929603842367E-009   0.151876282E-005
   0.62551062918712874E-009   0.158885587E-005
   0.62859196233583381E-009   0.165641950E-005
   0.63167329548453888E-009   0.172921705E-005
   0.63475462863324394E-009   0.181246128E-005
   0.63783596178194901E-009   0.190111484E-005
   0.64091729493065408E-009   0.198630846E-005
   0.64399862807935915E-009   0.206797267E-005
   0.64707996122806422E-009   0.215598516E-005
   0.65016129437676928E-009   0.225700546E-005
   0.65324262752547435E-009   0.236463552E-005
   0.65632396067417942E-009   0.246753507E-005
   0.65940529382288449E-009   0.256554313E-005
   0.66248662697158955E-009   0.267118094E-005
