t              BoxCavity.fdtd_Point probe002_Ex_58_30_24.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406665743525338E-011   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.46219997230576015E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.77033328717626692E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.10784666020467737E-010   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.13865999169172805E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.16947332317877872E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.20028665466582940E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.23109998615288008E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.26191331763993075E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.29272664912698143E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.32353998061403211E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.35435331210108278E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.38516664358813346E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.41597997507518414E-010   0.000000000E+000
   0.43138664081870948E-010   0.000000000E+000
   0.44679330656223482E-010   0.000000000E+000
   0.46219997230576015E-010   0.000000000E+000
   0.47760663804928549E-010   0.000000000E+000
   0.49301330379281083E-010   0.000000000E+000
   0.50841996953633617E-010   0.000000000E+000
   0.52382663527986151E-010   0.000000000E+000
   0.53923330102338685E-010   0.000000000E+000
   0.55463996676691218E-010   0.000000000E+000
   0.57004663251043752E-010   0.000000000E+000
   0.58545329825396286E-010   0.000000000E+000
   0.60085996399748820E-010   0.000000000E+000
   0.61626662974101354E-010   0.000000000E+000
   0.63167329548453888E-010   0.000000000E+000
   0.64707996122806422E-010   0.000000000E+000
   0.66248662697158955E-010   0.000000000E+000
   0.67789329271511489E-010   0.000000000E+000
   0.69329995845864023E-010   0.000000000E+000
   0.70870662420216557E-010   0.000000000E+000
   0.72411328994569091E-010   0.000000000E+000
   0.73951995568921625E-010   0.000000000E+000
   0.75492662143274158E-010  -0.459358311E-034
   0.77033328717626692E-010  -0.548175673E-033
   0.78573995291979226E-010  -0.531775094E-032
   0.80114661866331760E-010  -0.461574431E-031
   0.81655328440684294E-010  -0.363939681E-030
   0.83195995015036828E-010  -0.262617607E-029
   0.84736661589389362E-010  -0.174449651E-028
   0.86277328163741895E-010  -0.107232614E-027
   0.87817994738094429E-010  -0.612935823E-027
   0.89358661312446963E-010  -0.327304052E-026
   0.90899327886799497E-010  -0.163986233E-025
   0.92439994461152031E-010  -0.773876554E-025
   0.93980661035504565E-010  -0.345181053E-024
   0.95521327609857098E-010  -0.145971463E-023
   0.97061994184209632E-010  -0.586846841E-023
   0.98602660758562166E-010  -0.224845395E-022
   0.10014332733291470E-009  -0.822822061E-022
   0.10168399390726723E-009  -0.288176341E-021
   0.10322466048161977E-009  -0.967669949E-021
   0.10476532705597230E-009  -0.312051463E-020
   0.10630599363032484E-009  -0.967840495E-020
   0.10784666020467737E-009  -0.289101660E-019
   0.10938732677902990E-009  -0.832731770E-019
   0.11092799335338244E-009  -0.231557580E-018
   0.11246865992773497E-009  -0.622244238E-018
   0.11400932650208750E-009  -0.161741065E-017
   0.11554999307644004E-009  -0.407015213E-017
   0.11709065965079257E-009  -0.992367175E-017
   0.11863132622514511E-009  -0.234592657E-016
   0.12017199279949764E-009  -0.538042707E-016
   0.12171265937385017E-009  -0.119793037E-015
   0.12325332594820271E-009  -0.259050892E-015
   0.12479399252255524E-009  -0.544349747E-015
   0.12633465909690778E-009  -0.111195351E-014
   0.12787532567126031E-009  -0.220883407E-014
   0.12941599224561284E-009  -0.426811220E-014
   0.13095665881996538E-009  -0.802433952E-014
   0.13249732539431791E-009  -0.146812714E-013
   0.13403799196867044E-009  -0.261429198E-013
   0.13557865854302298E-009  -0.453116277E-013
   0.13711932511737551E-009  -0.764419588E-013
   0.13865999169172805E-009  -0.125513966E-012
   0.14020065826608058E-009  -0.200553143E-012
   0.14174132484043311E-009  -0.311779059E-012
   0.14328199141478565E-009  -0.471418152E-012
   0.14482265798913818E-009  -0.692982238E-012
   0.14636332456349072E-009  -0.989814350E-012
   0.14790399113784325E-009  -0.137275954E-011
   0.14944465771219578E-009  -0.184695792E-011
   0.15098532428654832E-009  -0.240798332E-011
   0.15252599086090085E-009  -0.303786293E-011
   0.15406665743525338E-009  -0.370183962E-011
   0.15560732400960592E-009  -0.434702491E-011
   0.15714799058395845E-009  -0.490417993E-011
   0.15868865715831099E-009  -0.529365961E-011
   0.16022932373266352E-009  -0.543594033E-011
   0.16176999030701605E-009  -0.526613865E-011
   0.16331065688136859E-009  -0.475062437E-011
   0.16485132345572112E-009  -0.390254148E-011
   0.16639199003007366E-009  -0.279212417E-011
   0.16793265660442619E-009  -0.154763561E-011
   0.16947332317877872E-009  -0.343885619E-012
   0.17101398975313126E-009   0.622349394E-012
   0.17255465632748379E-009   0.116736167E-011
   0.17409532290183632E-009   0.115980728E-011
   0.17563598947618886E-009   0.555364186E-012
   0.17717665605054139E-009  -0.582907366E-012
   0.17871732262489393E-009  -0.208624199E-011
   0.18025798919924646E-009  -0.370699565E-011
   0.18179865577359899E-009  -0.516723209E-011
   0.18333932234795153E-009  -0.621899017E-011
   0.18487998892230406E-009  -0.670144409E-011
   0.18642065549665660E-009  -0.657931652E-011
   0.18796132207100913E-009  -0.595081233E-011
   0.18950198864536166E-009  -0.502140690E-011
   0.19104265521971420E-009  -0.404985073E-011
   0.19258332179406673E-009  -0.328145519E-011
   0.19412398836841926E-009  -0.288802424E-011
   0.19566465494277180E-009  -0.293200208E-011
   0.19720532151712433E-009  -0.336473644E-011
   0.19874598809147687E-009  -0.405750954E-011
   0.20028665466582940E-009  -0.485301166E-011
   0.20182732124018193E-009  -0.561853775E-011
   0.20336798781453447E-009  -0.628301230E-011
   0.20490865438888700E-009  -0.684775153E-011
   0.20644932096323954E-009  -0.737262161E-011
   0.20798998753759207E-009  -0.794952472E-011
   0.20953065411194460E-009  -0.867838613E-011
   0.21107132068629714E-009  -0.965569985E-011
   0.21261198726064967E-009  -0.109766111E-010
   0.21415265383500220E-009  -0.127427149E-010
   0.21569332040935474E-009  -0.150596896E-010
   0.21723398698370727E-009  -0.180047088E-010
   0.21877465355805981E-009  -0.215524924E-010
   0.22031532013241234E-009  -0.254740881E-010
   0.22185598670676487E-009  -0.292516809E-010
   0.22339665328111741E-009  -0.320700411E-010
   0.22493731985546994E-009  -0.329393735E-010
   0.22647798642982248E-009  -0.309643838E-010
   0.22801865300417501E-009  -0.257054378E-010
   0.22955931957852754E-009  -0.175181328E-010
   0.23109998615288008E-009  -0.773859189E-011
   0.23264065272723261E-009   0.141880431E-011
   0.23418131930158514E-009   0.736562027E-011
   0.23572198587593768E-009   0.802741380E-011
   0.23726265245029021E-009   0.281962648E-011
   0.23880331902464275E-009  -0.680770024E-011
   0.24034398559899528E-009  -0.176974546E-010
   0.24188465217334781E-009  -0.262506232E-010
   0.24342531874770035E-009  -0.302001757E-010
   0.24496598532205288E-009  -0.300350890E-010
   0.24650665189640542E-009  -0.291483053E-010
   0.24804731847075795E-009  -0.323470833E-010
   0.24958798504511048E-009  -0.432614500E-010
   0.25112865161946302E-009  -0.617522977E-010
   0.25266931819381555E-009  -0.825763277E-010
   0.25420998476816808E-009  -0.965457020E-010
   0.25575065134252062E-009  -0.946051223E-010
   0.25729131791687315E-009  -0.731135499E-010
   0.25883198449122569E-009  -0.368542592E-010
   0.26037265106557822E-009   0.267275785E-011
   0.26191331763993075E-009   0.328756744E-010
   0.26345398421428329E-009   0.462476758E-010
   0.26499465078863582E-009   0.432604993E-010
   0.26653531736298836E-009   0.298335731E-010
   0.26807598393734089E-009   0.112702590E-010
   0.26961665051169342E-009  -0.117711830E-010
   0.27115731708604596E-009  -0.415917786E-010
   0.27269798366039849E-009  -0.786796253E-010
   0.27423865023475102E-009  -0.118696747E-009
   0.27577931680910356E-009  -0.152292845E-009
   0.27731998338345609E-009  -0.167212522E-009
   0.27886064995780863E-009  -0.154150151E-009
   0.28040131653216116E-009  -0.114855091E-009
   0.28194198310651369E-009  -0.648231122E-010
   0.28348264968086623E-009  -0.259369783E-010
   0.28502331625521876E-009  -0.143822862E-010
   0.28656398282957130E-009  -0.315564311E-010
   0.28810464940392383E-009  -0.620814650E-010
   0.28964531597827636E-009  -0.829262076E-010
   0.29118598255262890E-009  -0.817635404E-010
   0.29272664912698143E-009  -0.671375525E-010
   0.29426731570133396E-009  -0.558893244E-010
   0.29580798227568650E-009  -0.535052350E-010
   0.29734864885003903E-009  -0.539995583E-010
   0.29888931542439157E-009  -0.544098031E-010
   0.30042998199874410E-009  -0.586603197E-010
   0.30197064857309663E-009  -0.699811389E-010
   0.30351131514744917E-009  -0.888453755E-010
   0.30505198172180170E-009  -0.114481716E-009
   0.30659264829615424E-009  -0.141882894E-009
   0.30813331487050677E-009  -0.165452457E-009
   0.30967398144485930E-009  -0.190028243E-009
   0.31121464801921184E-009  -0.223679936E-009
   0.31275531459356437E-009  -0.254857468E-009
   0.31429598116791690E-009  -0.257262101E-009
   0.31583664774226944E-009  -0.225016450E-009
   0.31737731431662197E-009  -0.182032764E-009
   0.31891798089097451E-009  -0.150693749E-009
   0.32045864746532704E-009  -0.132410929E-009
   0.32199931403967957E-009  -0.120402063E-009
   0.32353998061403211E-009  -0.110230512E-009
   0.32508064718838464E-009  -0.102140948E-009
   0.32662131376273718E-009  -0.111062610E-009
   0.32816198033708971E-009  -0.156736915E-009
   0.32970264691144224E-009  -0.224935792E-009
   0.33124331348579478E-009  -0.270156675E-009
   0.33278398006014731E-009  -0.279325452E-009
   0.33432464663449984E-009  -0.289086227E-009
   0.33586531320885238E-009  -0.315613258E-009
   0.33740597978320491E-009  -0.325343363E-009
   0.33894664635755745E-009  -0.305163034E-009
   0.34048731293190998E-009  -0.293137931E-009
   0.34202797950626251E-009  -0.303255754E-009
   0.34356864608061505E-009  -0.292838004E-009
   0.34510931265496758E-009  -0.245792747E-009
   0.34664997922932012E-009  -0.215765628E-009
   0.34819064580367265E-009  -0.243127851E-009
   0.34973131237802518E-009  -0.294726188E-009
   0.35127197895237772E-009  -0.326388194E-009
   0.35281264552673025E-009  -0.347850776E-009
   0.35435331210108278E-009  -0.389438676E-009
   0.35589397867543532E-009  -0.449299181E-009
   0.35743464524978785E-009  -0.503327491E-009
   0.35897531182414039E-009  -0.538706246E-009
   0.36051597839849292E-009  -0.560219982E-009
   0.36205664497284545E-009  -0.578818715E-009
   0.36359731154719799E-009  -0.598299466E-009
   0.36513797812155052E-009  -0.606907913E-009
   0.36667864469590306E-009  -0.589208737E-009
   0.36821931127025559E-009  -0.550721690E-009
   0.36975997784460812E-009  -0.520590682E-009
   0.37130064441896066E-009  -0.524509436E-009
   0.37284131099331319E-009  -0.558874225E-009
