t              BoxCavity.fdtd_Point probe_Ex_20_30_24.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406665743525338E-011   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.46219997230576015E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.77033328717626692E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.10784666020467737E-010   0.000000000E+000
   0.12325332594820271E-010  -0.261353629E-012
   0.13865999169172805E-010  -0.161226826E-011
   0.15406665743525338E-010  -0.496335004E-011
   0.16947332317877872E-010  -0.111614147E-010
   0.18487998892230406E-010  -0.220479659E-010
   0.20028665466582940E-010  -0.396254973E-010
   0.21569332040935474E-010  -0.654572924E-010
   0.23109998615288008E-010  -0.105682130E-009
   0.24650665189640542E-010  -0.167150030E-009
   0.26191331763993075E-010  -0.235236164E-009
   0.27731998338345609E-010  -0.276051071E-009
   0.29272664912698143E-010  -0.283836177E-009
   0.30813331487050677E-010  -0.291035751E-009
   0.32353998061403211E-010  -0.303744252E-009
   0.33894664635755745E-010  -0.283879559E-009
   0.35435331210108278E-010  -0.220591545E-009
   0.36975997784460812E-010  -0.142360596E-009
   0.38516664358813346E-010  -0.593017926E-010
   0.40057330933165880E-010   0.346962042E-011
   0.41597997507518414E-010  -0.290825870E-010
   0.43138664081870948E-010  -0.140163520E-009
   0.44679330656223482E-010  -0.166775344E-009
   0.46219997230576015E-010  -0.680298942E-010
   0.47760663804928549E-010  -0.504997502E-010
   0.49301330379281083E-010  -0.218013468E-009
   0.50841996953633617E-010  -0.367171349E-009
   0.52382663527986151E-010  -0.344951706E-009
   0.53923330102338685E-010  -0.281151102E-009
   0.55463996676691218E-010  -0.285103163E-009
   0.57004663251043752E-010  -0.284937574E-009
   0.58545329825396286E-010  -0.279940543E-009
   0.60085996399748820E-010  -0.351154134E-009
   0.61626662974101354E-010  -0.402529732E-009
   0.63167329548453888E-010  -0.299475694E-009
   0.64707996122806422E-010  -0.181165236E-009
   0.66248662697158955E-010  -0.243076115E-009
   0.67789329271511489E-010  -0.381855381E-009
   0.69329995845864023E-010  -0.406143119E-009
   0.70870662420216557E-010  -0.365580843E-009
   0.72411328994569091E-010  -0.385078719E-009
   0.73951995568921625E-010  -0.430084940E-009
   0.75492662143274158E-010  -0.441154280E-009
   0.77033328717626692E-010  -0.463273642E-009
   0.78573995291979226E-010  -0.525894883E-009
   0.80114661866331760E-010  -0.579593706E-009
   0.81655328440684294E-010  -0.584699344E-009
   0.83195995015036828E-010  -0.553235402E-009
   0.84736661589389362E-010  -0.533238731E-009
   0.86277328163741895E-010  -0.577772219E-009
   0.87817994738094429E-010  -0.665522637E-009
   0.89358661312446963E-010  -0.704313996E-009
   0.90899327886799497E-010  -0.678998524E-009
   0.92439994461152031E-010  -0.678659740E-009
   0.93980661035504565E-010  -0.732916117E-009
   0.95521327609857098E-010  -0.780228882E-009
   0.97061994184209632E-010  -0.810523648E-009
   0.98602660758562166E-010  -0.868520367E-009
   0.10014332733291470E-009  -0.935503786E-009
   0.10168399390726723E-009  -0.959594959E-009
   0.10322466048161977E-009  -0.960038604E-009
   0.10476532705597230E-009  -0.992505078E-009
   0.10630599363032484E-009  -0.106493137E-008
   0.10784666020467737E-009  -0.114384280E-008
   0.10938732677902990E-009  -0.119563859E-008
   0.11092799335338244E-009  -0.121514587E-008
   0.11246865992773497E-009  -0.123938182E-008
   0.11400932650208750E-009  -0.130145861E-008
   0.11554999307644004E-009  -0.137871825E-008
   0.11709065965079257E-009  -0.144065482E-008
   0.11863132622514511E-009  -0.150439428E-008
   0.12017199279949764E-009  -0.158195201E-008
   0.12171265937385017E-009  -0.164316982E-008
   0.12325332594820271E-009  -0.168315240E-008
   0.12479399252255524E-009  -0.174494785E-008
   0.12633465909690778E-009  -0.184360160E-008
   0.12787532567126031E-009  -0.194411443E-008
   0.12941599224561284E-009  -0.202191819E-008
   0.13095665881996538E-009  -0.208648565E-008
   0.13249732539431791E-009  -0.215717155E-008
   0.13403799196867044E-009  -0.224845986E-008
   0.13557865854302298E-009  -0.235897812E-008
   0.13711932511737551E-009  -0.247166154E-008
   0.13865999169172805E-009  -0.258035482E-008
   0.14020065826608058E-009  -0.269198264E-008
   0.14174132484043311E-009  -0.279984924E-008
   0.14328199141478565E-009  -0.289886093E-008
   0.14482265798913818E-009  -0.301385050E-008
   0.14636332456349072E-009  -0.316187498E-008
   0.14790399113784325E-009  -0.331480732E-008
   0.14944465771219578E-009  -0.344473361E-008
   0.15098532428654832E-009  -0.356762841E-008
   0.15252599086090085E-009  -0.370977227E-008
   0.15406665743525338E-009  -0.387179355E-008
   0.15560732400960592E-009  -0.404296685E-008
   0.15714799058395845E-009  -0.421859703E-008
   0.15868865715831099E-009  -0.439927828E-008
   0.16022932373266352E-009  -0.458735894E-008
   0.16176999030701605E-009  -0.477867523E-008
   0.16331065688136859E-009  -0.496588992E-008
   0.16485132345572112E-009  -0.516041920E-008
   0.16639199003007366E-009  -0.538314993E-008
   0.16793265660442619E-009  -0.562353186E-008
   0.16947332317877872E-009  -0.584790172E-008
   0.17101398975313126E-009  -0.605295236E-008
   0.17255465632748379E-009  -0.626883256E-008
   0.17409532290183632E-009  -0.651317444E-008
   0.17563598947618886E-009  -0.677851864E-008
   0.17717665605054139E-009  -0.705461956E-008
   0.17871732262489393E-009  -0.733841832E-008
   0.18025798919924646E-009  -0.763391039E-008
   0.18179865577359899E-009  -0.795037014E-008
   0.18333932234795153E-009  -0.829075475E-008
   0.18487998892230406E-009  -0.864841621E-008
   0.18642065549665660E-009  -0.901901487E-008
   0.18796132207100913E-009  -0.939934441E-008
   0.18950198864536166E-009  -0.977951764E-008
   0.19104265521971420E-009  -0.101562394E-007
   0.19258332179406673E-009  -0.105414397E-007
   0.19412398836841926E-009  -0.109444702E-007
   0.19566465494277180E-009  -0.113675656E-007
   0.19720532151712433E-009  -0.118224524E-007
   0.19874598809147687E-009  -0.123201804E-007
   0.20028665466582940E-009  -0.128453346E-007
   0.20182732124018193E-009  -0.133718610E-007
   0.20336798781453447E-009  -0.139003475E-007
   0.20490865438888700E-009  -0.144525512E-007
   0.20644932096323954E-009  -0.150322030E-007
   0.20798998753759207E-009  -0.156121125E-007
   0.20953065411194460E-009  -0.161672631E-007
   0.21107132068629714E-009  -0.167150453E-007
   0.21261198726064967E-009  -0.173082668E-007
   0.21415265383500220E-009  -0.179794490E-007
   0.21569332040935474E-009  -0.187079348E-007
   0.21723398698370727E-009  -0.194557863E-007
   0.21877465355805981E-009  -0.202179748E-007
   0.22031532013241234E-009  -0.210201812E-007
   0.22185598670676487E-009  -0.218787548E-007
   0.22339665328111741E-009  -0.227772095E-007
   0.22493731985546994E-009  -0.236877593E-007
   0.22647798642982248E-009  -0.246167833E-007
   0.22801865300417501E-009  -0.256059849E-007
   0.22955931957852754E-009  -0.266667968E-007
   0.23109998615288008E-009  -0.277463723E-007
   0.23264065272723261E-009  -0.287943909E-007
   0.23418131930158514E-009  -0.298256495E-007
   0.23572198587593768E-009  -0.308802441E-007
   0.23726265245029021E-009  -0.319692646E-007
   0.23880331902464275E-009  -0.330952084E-007
   0.24034398559899528E-009  -0.342780417E-007
   0.24188465217334781E-009  -0.355376066E-007
   0.24342531874770035E-009  -0.368917306E-007
   0.24496598532205288E-009  -0.383638223E-007
   0.24650665189640542E-009  -0.399408258E-007
   0.24804731847075795E-009  -0.415527808E-007
   0.24958798504511048E-009  -0.431549410E-007
   0.25112865161946302E-009  -0.447896582E-007
   0.25266931819381555E-009  -0.465052992E-007
   0.25420998476816808E-009  -0.482686815E-007
   0.25575065134252062E-009  -0.500292892E-007
   0.25729131791687315E-009  -0.518174872E-007
   0.25883198449122569E-009  -0.537024931E-007
   0.26037265106557822E-009  -0.556903075E-007
   0.26191331763993075E-009  -0.577321622E-007
   0.26345398421428329E-009  -0.598142122E-007
   0.26499465078863582E-009  -0.619883593E-007
   0.26653531736298836E-009  -0.643179803E-007
   0.26807598393734089E-009  -0.668100597E-007
   0.26961665051169342E-009  -0.693963287E-007
   0.27115731708604596E-009  -0.719958564E-007
   0.27269798366039849E-009  -0.746141993E-007
   0.27423865023475102E-009  -0.773434081E-007
   0.27577931680910356E-009  -0.802295332E-007
   0.27731998338345609E-009  -0.831953386E-007
   0.27886064995780863E-009  -0.861555947E-007
   0.28040131653216116E-009  -0.891587320E-007
   0.28194198310651369E-009  -0.923342114E-007
   0.28348264968086623E-009  -0.957234079E-007
   0.28502331625521876E-009  -0.992382638E-007
   0.28656398282957130E-009  -0.102795504E-006
   0.28810464940392383E-009  -0.106440240E-006
   0.28964531597827636E-009  -0.110296369E-006
   0.29118598255262890E-009  -0.114400898E-006
   0.29272664912698143E-009  -0.118644408E-006
   0.29426731570133396E-009  -0.122919928E-006
   0.29580798227568650E-009  -0.127278184E-006
   0.29734864885003903E-009  -0.131851166E-006
   0.29888931542439157E-009  -0.136652019E-006
   0.30042998199874410E-009  -0.141553997E-006
   0.30197064857309663E-009  -0.146476793E-006
   0.30351131514744917E-009  -0.151511998E-006
   0.30505198172180170E-009  -0.156824299E-006
   0.30659264829615424E-009  -0.162456445E-006
   0.30813331487050677E-009  -0.168276841E-006
   0.30967398144485930E-009  -0.174154067E-006
   0.31121464801921184E-009  -0.180157002E-006
   0.31275531459356437E-009  -0.186490723E-006
   0.31429598116791690E-009  -0.193214746E-006
   0.31583664774226944E-009  -0.200142267E-006
   0.31737731431662197E-009  -0.207096264E-006
   0.31891798089097451E-009  -0.214170015E-006
   0.32045864746532704E-009  -0.221613575E-006
   0.32199931403967957E-009  -0.229494461E-006
   0.32353998061403211E-009  -0.237599636E-006
   0.32508064718838464E-009  -0.245729723E-006
   0.32662131376273718E-009  -0.254001435E-006
   0.32816198033708971E-009  -0.262723233E-006
   0.32970264691144224E-009  -0.271976944E-006
   0.33124331348579478E-009  -0.281495659E-006
   0.33278398006014731E-009  -0.291047428E-006
   0.33432464663449984E-009  -0.300788230E-006
   0.33586531320885238E-009  -0.311064241E-006
   0.33740597978320491E-009  -0.321939353E-006
   0.33894664635755745E-009  -0.333113377E-006
   0.34048731293190998E-009  -0.344341373E-006
   0.34202797950626251E-009  -0.355786085E-006
   0.34356864608061505E-009  -0.367828875E-006
   0.34510931265496758E-009  -0.380568821E-006
   0.34664997922932012E-009  -0.393674014E-006
   0.34819064580367265E-009  -0.406827695E-006
   0.34973131237802518E-009  -0.420196614E-006
   0.35127197895237772E-009  -0.434249586E-006
   0.35281264552673025E-009  -0.449129118E-006
   0.35435331210108278E-009  -0.464448675E-006
   0.35589397867543532E-009  -0.479832636E-006
   0.35743464524978785E-009  -0.495467646E-006
   0.35897531182414039E-009  -0.511884423E-006
   0.36051597839849292E-009  -0.529242243E-006
   0.36205664497284545E-009  -0.547104321E-006
   0.36359731154719799E-009  -0.565050527E-006
   0.36513797812155052E-009  -0.583304654E-006
   0.36667864469590306E-009  -0.602479872E-006
   0.36821931127025559E-009  -0.622751429E-006
   0.36975997784460812E-009  -0.643603926E-006
