t              BoxCavity.fdtd_Point probe_Ez_5_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.315452491E-010
   0.15406665743525338E-010   0.125481542E-009
   0.18487998892230406E-010   0.249733123E-009
   0.21569332040935474E-010   0.367960634E-009
   0.24650665189640542E-010   0.487818008E-009
   0.27731998338345609E-010   0.576596326E-009
   0.30813331487050677E-010   0.562195790E-009
   0.33894664635755745E-010   0.420614266E-009
   0.36975997784460812E-010   0.129090433E-009
   0.40057330933165880E-010  -0.290796803E-009
   0.43138664081870948E-010  -0.555687829E-009
   0.46219997230576015E-010  -0.332942729E-009
   0.49301330379281083E-010   0.209561590E-009
   0.52382663527986151E-010   0.575886894E-009
   0.55463996676691218E-010   0.671510958E-009
   0.58545329825396286E-010   0.761209706E-009
   0.61626662974101354E-010   0.847978465E-009
   0.64707996122806422E-010   0.744604933E-009
   0.67789329271511489E-010   0.527604849E-009
   0.70870662420216557E-010   0.384080878E-009
   0.73951995568921625E-010   0.333688688E-009
   0.77033328717626692E-010   0.407302969E-009
   0.80114661866331760E-010   0.660508981E-009
   0.83195995015036828E-010   0.921973664E-009
   0.86277328163741895E-010   0.998737204E-009
   0.89358661312446963E-010   0.101436848E-008
   0.92439994461152031E-010   0.113742082E-008
   0.95521327609857098E-010   0.127231048E-008
   0.98602660758562166E-010   0.132397360E-008
   0.10168399390726723E-009   0.138428502E-008
   0.10476532705597230E-009   0.149196444E-008
   0.10784666020467737E-009   0.158157965E-008
   0.11092799335338244E-009   0.167667547E-008
   0.11400932650208750E-009   0.184192783E-008
   0.11709065965079257E-009   0.206076667E-008
   0.12017199279949764E-009   0.231077157E-008
   0.12325332594820271E-009   0.257348942E-008
   0.12633465909690778E-009   0.277646883E-008
   0.12941599224561284E-009   0.292180147E-008
   0.13249732539431791E-009   0.313368997E-008
   0.13557865854302298E-009   0.344012596E-008
   0.13865999169172805E-009   0.374053410E-008
   0.14174132484043311E-009   0.403154354E-008
   0.14482265798913818E-009   0.439157821E-008
   0.14790399113784325E-009   0.479204854E-008
   0.15098532428654832E-009   0.516860155E-008
   0.15406665743525338E-009   0.556682256E-008
   0.15714799058395845E-009   0.605200956E-008
   0.16022932373266352E-009   0.661026256E-008
   0.16331065688136859E-009   0.719742266E-008
   0.16639199003007366E-009   0.777184628E-008
   0.16947332317877872E-009   0.833170244E-008
   0.17255465632748379E-009   0.897174157E-008
   0.17563598947618886E-009   0.976961179E-008
   0.17871732262489393E-009   0.106438955E-007
   0.18179865577359899E-009   0.114911813E-007
   0.18487998892230406E-009   0.123677930E-007
   0.18796132207100913E-009   0.133735760E-007
   0.19104265521971420E-009   0.144930432E-007
   0.19412398836841926E-009   0.156705227E-007
   0.19720532151712433E-009   0.169041225E-007
   0.20028665466582940E-009   0.182282847E-007
   0.20336798781453447E-009   0.196939371E-007
   0.20644932096323954E-009   0.213187139E-007
   0.20953065411194460E-009   0.230328467E-007
   0.21261198726064967E-009   0.247809382E-007
   0.21569332040935474E-009   0.266536428E-007
   0.21877465355805981E-009   0.287786079E-007
   0.22185598670676487E-009   0.311394253E-007
   0.22493731985546994E-009   0.336237527E-007
   0.22801865300417501E-009   0.361739865E-007
   0.23109998615288008E-009   0.388539583E-007
   0.23418131930158514E-009   0.418192272E-007
   0.23726265245029021E-009   0.451608706E-007
   0.24034398559899528E-009   0.487595813E-007
   0.24342531874770035E-009   0.524322274E-007
   0.24650665189640542E-009   0.562447084E-007
   0.24958798504511048E-009   0.604716703E-007
   0.25266931819381555E-009   0.652170371E-007
   0.25575065134252062E-009   0.702877045E-007
   0.25883198449122569E-009   0.754823262E-007
   0.26191331763993075E-009   0.809049823E-007
   0.26499465078863582E-009   0.868996679E-007
   0.26807598393734089E-009   0.936209261E-007
   0.27115731708604596E-009   0.100789087E-006
   0.27423865023475102E-009   0.108067887E-006
   0.27731998338345609E-009   0.115646401E-006
   0.28040131653216116E-009   0.124094910E-006
   0.28348264968086623E-009   0.133581096E-006
   0.28656398282957130E-009   0.143629990E-006
   0.28964531597827636E-009   0.153808998E-006
   0.29272664912698143E-009   0.164415013E-006
   0.29580798227568650E-009   0.176198455E-006
   0.29888931542439157E-009   0.189403949E-006
   0.30197064857309663E-009   0.203418153E-006
   0.30505198172180170E-009   0.217607251E-006
   0.30813331487050677E-009   0.232350160E-006
   0.31121464801921184E-009   0.248712325E-006
   0.31429598116791690E-009   0.267014144E-006
   0.31737731431662197E-009   0.286378565E-006
   0.32045864746532704E-009   0.305989545E-006
   0.32353998061403211E-009   0.326396417E-006
   0.32662131376273718E-009   0.348985395E-006
   0.32970264691144224E-009   0.374172998E-006
   0.33278398006014731E-009   0.400812866E-006
   0.33586531320885238E-009   0.427770260E-006
   0.33894664635755745E-009   0.455754474E-006
   0.34202797950626251E-009   0.486706881E-006
   0.34510931265496758E-009   0.521218340E-006
   0.34819064580367265E-009   0.557657813E-006
   0.35127197895237772E-009   0.594459095E-006
   0.35435331210108278E-009   0.632622630E-006
   0.35743464524978785E-009   0.674773503E-006
   0.36051597839849292E-009   0.721706840E-006
   0.36359731154719799E-009   0.771242355E-006
   0.36667864469590306E-009   0.821219203E-006
   0.36975997784460812E-009   0.872922556E-006
   0.37284131099331319E-009   0.929940938E-006
   0.37592264414201826E-009   0.993397634E-006
   0.37900397729072333E-009   0.106028824E-005
   0.38208531043942839E-009   0.112766293E-005
   0.38516664358813346E-009   0.119730544E-005
   0.38824797673683853E-009   0.127403450E-005
   0.39132930988554360E-009   0.135928315E-005
   0.39441064303424866E-009   0.144901060E-005
   0.39749197618295373E-009   0.153928636E-005
   0.40057330933165880E-009   0.163247967E-005
   0.40365464248036387E-009   0.173503281E-005
   0.40673597562906894E-009   0.184886449E-005
   0.40981730877777400E-009   0.196850965E-005
   0.41289864192647907E-009   0.208867709E-005
   0.41597997507518414E-009   0.221257574E-005
   0.41906130822388921E-009   0.234879553E-005
   0.42214264137259427E-009   0.249980553E-005
   0.42522397452129934E-009   0.265831295E-005
   0.42830530767000441E-009   0.281733423E-005
   0.43138664081870948E-009   0.298109012E-005
   0.43446797396741454E-009   0.316085925E-005
   0.43754930711611961E-009   0.335987579E-005
   0.44063064026482468E-009   0.356852183E-005
   0.44371197341352975E-009   0.377758670E-005
   0.44679330656223482E-009   0.399260716E-005
   0.44987463971093988E-009   0.422835683E-005
   0.45295597285964495E-009   0.448900482E-005
   0.45603730600835002E-009   0.476191190E-005
   0.45911863915705509E-009   0.503504134E-005
   0.46219997230576015E-009   0.531561500E-005
   0.46528130545446522E-009   0.562283685E-005
   0.46836263860317029E-009   0.596205291E-005
   0.47144397175187536E-009   0.631674766E-005
   0.47452530490058042E-009   0.667126687E-005
   0.47760663804928549E-009   0.703498927E-005
   0.48068797119799056E-009   0.743273586E-005
   0.48376930434669563E-009   0.787132103E-005
   0.48685063749540070E-009   0.832936166E-005
   0.48993197064410576E-009   0.878665924E-005
   0.49301330379281083E-009   0.925524364E-005
   0.49609463694151590E-009   0.976695628E-005
   0.49917597009022097E-009   0.103304492E-004
   0.50225730323892603E-009   0.109181665E-004
   0.50533863638763110E-009   0.115041767E-004
   0.50841996953633617E-009   0.121039002E-004
   0.51150130268504124E-009   0.127579697E-004
   0.51458263583374630E-009   0.134772499E-004
   0.51766396898245137E-009   0.142264835E-004
   0.52074530213115644E-009   0.149726866E-004
   0.52382663527986151E-009   0.157354716E-004
   0.52690796842856658E-009   0.165662223E-004
   0.52998930157727164E-009   0.174784309E-004
   0.53307063472597671E-009   0.184273158E-004
   0.53615196787468178E-009   0.193712549E-004
   0.53923330102338685E-009   0.203350482E-004
   0.54231463417209191E-009   0.213832773E-004
   0.54539596732079698E-009   0.225326730E-004
   0.54847730046950205E-009   0.237268378E-004
   0.55155863361820712E-009   0.249134700E-004
   0.55463996676691218E-009   0.261235346E-004
   0.55772129991561725E-009   0.274376653E-004
   0.56080263306432232E-009   0.288764932E-004
   0.56388396621302739E-009   0.303693450E-004
   0.56696529936173246E-009   0.318510392E-004
   0.57004663251043752E-009   0.333602584E-004
   0.57312796565914259E-009   0.349969778E-004
   0.57620929880784766E-009   0.367862667E-004
   0.57929063195655273E-009   0.386403517E-004
   0.58237196510525779E-009   0.404788079E-004
   0.58545329825396286E-009   0.423493620E-004
   0.58853463140266793E-009   0.443747922E-004
   0.59161596455137300E-009   0.465854682E-004
   0.59469729770007806E-009   0.488731239E-004
   0.59777863084878313E-009   0.511389480E-004
   0.60085996399748820E-009   0.534415740E-004
   0.60394129714619327E-009   0.559311629E-004
   0.60702263029489834E-009   0.586441965E-004
   0.61010396344360340E-009   0.614480814E-004
   0.61318529659230847E-009   0.642226078E-004
   0.61626662974101354E-009   0.670392619E-004
   0.61934796288971861E-009   0.700798191E-004
   0.62242929603842367E-009   0.733877023E-004
   0.62551062918712874E-009   0.768018072E-004
   0.62859196233583381E-009   0.801765709E-004
   0.63167329548453888E-009   0.835984320E-004
   0.63475462863324394E-009   0.872864766E-004
   0.63783596178194901E-009   0.912922405E-004
   0.64091729493065408E-009   0.954211500E-004
   0.64399862807935915E-009   0.994986694E-004
   0.64707996122806422E-009   0.103629034E-003
   0.65016129437676928E-009   0.108073866E-003
   0.65324262752547435E-009   0.112893060E-003
   0.65632396067417942E-009   0.117853495E-003
   0.65940529382288449E-009   0.122747675E-003
   0.66248662697158955E-009   0.127699779E-003
