t              LineCurrent.fdtd_Probe_Start_Ez_10_25_10.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011  -0.276056147E-003
   0.30813999355588928E-011  -0.537351472E-003
   0.46220999033383392E-011  -0.764949655E-003
   0.61627998711177856E-011  -0.952301896E-003
   0.77034998388972320E-011  -0.110227475E-002
   0.92441998066766784E-011  -0.122071465E-002
   0.10784899774456125E-010  -0.131203083E-002
   0.12325599742235571E-010  -0.137958198E-002
   0.13866299710015018E-010  -0.142904033E-002
   0.15406999677794464E-010  -0.147045450E-002
   0.16947699645573910E-010  -0.151633215E-002
   0.18488399613353357E-010  -0.157693448E-002
   0.20029099581132803E-010  -0.165650528E-002
   0.21569799548912250E-010  -0.175323302E-002
   0.23110499516691696E-010  -0.186246750E-002
   0.24651199484471142E-010  -0.198018621E-002
   0.26191899452250589E-010  -0.210406445E-002
   0.27732599420030035E-010  -0.223211502E-002
   0.29273299387809482E-010  -0.236112881E-002
   0.30813999355588928E-010  -0.248703966E-002
   0.32354699323368374E-010  -0.260719354E-002
   0.33895399291147821E-010  -0.272250082E-002
   0.35436099258927267E-010  -0.283746584E-002
   0.36976799226706714E-010  -0.295797247E-002
   0.38517499194486160E-010  -0.308859348E-002
   0.40058199162265606E-010  -0.323139643E-002
   0.41598899130045053E-010  -0.338668795E-002
   0.43139599097824499E-010  -0.355444662E-002
   0.44680299065603946E-010  -0.373487547E-002
   0.46220999033383392E-010  -0.392768160E-002
   0.47761699001162838E-010  -0.413108757E-002
   0.49302398968942285E-010  -0.434186403E-002
   0.50843098936721731E-010  -0.455665961E-002
   0.52383798904501178E-010  -0.477367174E-002
   0.53924498872280624E-010  -0.499339681E-002
   0.55465198840060070E-010  -0.521804160E-002
   0.57005898807839517E-010  -0.545028038E-002
   0.58546598775618963E-010  -0.569239492E-002
   0.60087298743398410E-010  -0.594624504E-002
   0.61627998711177856E-010  -0.621364964E-002
   0.63168698678957302E-010  -0.649645785E-002
   0.64709398646736749E-010  -0.679606618E-002
   0.66250098614516195E-010  -0.711278664E-002
   0.67790798582295642E-010  -0.744569581E-002
   0.69331498550075088E-010  -0.779316109E-002
   0.70872198517854534E-010  -0.815369654E-002
   0.72412898485633981E-010  -0.852658320E-002
   0.73953598453413427E-010  -0.891199615E-002
   0.75494298421192874E-010  -0.931080524E-002
   0.77034998388972320E-010  -0.972436834E-002
   0.78575698356751766E-010  -0.101544578E-001
   0.80116398324531213E-010  -0.106031876E-001
   0.81657098292310659E-010  -0.110727884E-001
   0.83197798260090106E-010  -0.115652336E-001
   0.84738498227869552E-010  -0.120819286E-001
   0.86279198195648998E-010  -0.126236128E-001
   0.87819898163428445E-010  -0.131904781E-001
   0.89360598131207891E-010  -0.137823606E-001
   0.90901298098987338E-010  -0.143989362E-001
   0.92441998066766784E-010  -0.150399329E-001
   0.93982698034546230E-010  -0.157054178E-001
   0.95523398002325677E-010  -0.163960941E-001
   0.97064097970105123E-010  -0.171134342E-001
   0.98604797937884570E-010  -0.178595353E-001
   0.10014549790566402E-009  -0.186367705E-001
   0.10168619787344346E-009  -0.194474570E-001
   0.10322689784122291E-009  -0.202937163E-001
   0.10476759780900236E-009  -0.211774968E-001
   0.10630829777678180E-009  -0.221005622E-001
   0.10784899774456125E-009  -0.230643526E-001
   0.10938969771234069E-009  -0.240698159E-001
   0.11093039768012014E-009  -0.251174439E-001
   0.11247109764789959E-009  -0.262076035E-001
   0.11401179761567903E-009  -0.273410324E-001
   0.11555249758345848E-009  -0.285191573E-001
   0.11709319755123793E-009  -0.297440719E-001
   0.11863389751901737E-009  -0.310182497E-001
   0.12017459748679682E-009  -0.323442593E-001
   0.12171529745457627E-009  -0.337246694E-001
   0.12325599742235571E-009  -0.351620838E-001
   0.12479669739013516E-009  -0.366591141E-001
   0.12633739735791460E-009  -0.382181443E-001
   0.12787809732569405E-009  -0.398410447E-001
   0.12941879729347350E-009  -0.415290706E-001
   0.13095949726125294E-009  -0.432831384E-001
   0.13250019722903239E-009  -0.451043658E-001
   0.13404089719681184E-009  -0.469946377E-001
   0.13558159716459128E-009  -0.489569232E-001
   0.13712229713237073E-009  -0.509953797E-001
   0.13866299710015018E-009  -0.531153120E-001
   0.14020369706792962E-009  -0.553230941E-001
   0.14174439703570907E-009  -0.576259717E-001
   0.14328509700348852E-009  -0.600315593E-001
   0.14482579697126796E-009  -0.625470281E-001
   0.14636649693904741E-009  -0.651781335E-001
   0.14790719690682685E-009  -0.679283813E-001
   0.14944789687460630E-009  -0.707987025E-001
   0.15098859684238575E-009  -0.737877563E-001
   0.15252929681016519E-009  -0.768927857E-001
   0.15406999677794464E-009  -0.801109597E-001
   0.15561069674572409E-009  -0.834408924E-001
   0.15715139671350353E-009  -0.868840814E-001
   0.15869209668128298E-009  -0.904459208E-001
   0.16023279664906243E-009  -0.941358730E-001
   0.16177349661684187E-009  -0.979666114E-001
   0.16331419658462132E-009  -0.101952307E+000
   0.16485489655240076E-009  -0.106106475E+000
   0.16639559652018021E-009  -0.110440053E+000
   0.16793629648795966E-009  -0.114960290E+000
   0.16947699645573910E-009  -0.119670838E+000
   0.17101769642351855E-009  -0.124572940E+000
   0.17255839639129800E-009  -0.129667446E+000
   0.17409909635907744E-009  -0.134956777E+000
   0.17563979632685689E-009  -0.140446365E+000
   0.17718049629463634E-009  -0.146144792E+000
   0.17872119626241578E-009  -0.152062789E+000
   0.18026189623019523E-009  -0.158211529E+000
   0.18180259619797468E-009  -0.164601043E+000
   0.18334329616575412E-009  -0.171239540E+000
   0.18488399613353357E-009  -0.178133935E+000
   0.18642469610131301E-009  -0.185291216E+000
   0.18796539606909246E-009  -0.192719966E+000
   0.18950609603687191E-009  -0.200431243E+000
   0.19104679600465135E-009  -0.208438441E+000
   0.19258749597243080E-009  -0.216756120E+000
   0.19412819594021025E-009  -0.225398317E+000
   0.19566889590798969E-009  -0.234377235E+000
   0.19720959587576914E-009  -0.243702769E+000
   0.19875029584354859E-009  -0.253383309E+000
   0.20029099581132803E-009  -0.263427317E+000
   0.20183169577910748E-009  -0.273845434E+000
   0.20337239574688692E-009  -0.284651637E+000
   0.20491309571466637E-009  -0.295863181E+000
   0.20645379568244582E-009  -0.307499409E+000
   0.20799449565022526E-009  -0.319579750E+000
   0.20953519561800471E-009  -0.332121968E+000
   0.21107589558578416E-009  -0.345141768E+000
   0.21261659555356360E-009  -0.358653545E+000
   0.21415729552134305E-009  -0.372671843E+000
   0.21569799548912250E-009  -0.387212873E+000
   0.21723869545690194E-009  -0.402295142E+000
   0.21877939542468139E-009  -0.417938977E+000
   0.22032009539246084E-009  -0.434165597E+000
   0.22186079536024028E-009  -0.450995982E+000
   0.22340149532801973E-009  -0.468450546E+000
   0.22494219529579917E-009  -0.486549854E+000
   0.22648289526357862E-009  -0.505315602E+000
   0.22802359523135807E-009  -0.524771810E+000
   0.22956429519913751E-009  -0.544944763E+000
   0.23110499516691696E-009  -0.565862358E+000
   0.23264569513469641E-009  -0.587552488E+000
   0.23418639510247585E-009  -0.610041916E+000
   0.23572709507025530E-009  -0.633356035E+000
   0.23726779503803475E-009  -0.657520175E+000
   0.23880849500581419E-009  -0.682561219E+000
   0.24034919497359364E-009  -0.708509445E+000
   0.24188989494137308E-009  -0.735398293E+000
   0.24343059490915253E-009  -0.763263345E+000
   0.24497129487693198E-009  -0.792140365E+000
   0.24651199484471142E-009  -0.822064221E+000
   0.24805269481249087E-009  -0.853069067E+000
   0.24959339478027032E-009  -0.885189652E+000
   0.25113409474804976E-009  -0.918463230E+000
   0.25267479471582921E-009  -0.952930272E+000
   0.25421549468360866E-009  -0.988633871E+000
   0.25575619465138810E-009  -0.102561796E+001
   0.25729689461916755E-009  -0.106392622E+001
   0.25883759458694700E-009  -0.110360157E+001
   0.26037829455472644E-009  -0.114468718E+001
   0.26191899452250589E-009  -0.118722856E+001
   0.26345969449028533E-009  -0.123127449E+001
   0.26500039445806478E-009  -0.127687740E+001
   0.26654109442584423E-009  -0.132409179E+001
   0.26808179439362367E-009  -0.137297285E+001
