t              Noda2002a.fdtd_Point probe_Ex_12_12_2.dat
   0.00000000000000000E+000   0.000000000E+000
   0.95999999616402931E-010   0.000000000E+000
   0.19199999923280586E-009   0.000000000E+000
   0.28799999884920879E-009  -0.426206515E-009
   0.38399999846561172E-009  -0.143103418E-008
   0.47999999808201466E-009  -0.266609179E-008
   0.57599999769841759E-009  -0.369791509E-008
   0.67199999731482052E-009  -0.444254455E-008
   0.76799999693122345E-009  -0.512124165E-008
   0.86399999654762638E-009  -0.591071148E-008
   0.95999999616402931E-009  -0.675963596E-008
   0.10559999957804322E-008  -0.752235874E-008
   0.11519999953968352E-008  -0.815976797E-008
   0.12479999950132381E-008  -0.875990747E-008
   0.13439999946296410E-008  -0.941268485E-008
   0.14399999942460440E-008  -0.101237125E-007
   0.15359999938624469E-008  -0.108434524E-007
   0.16319999934788498E-008  -0.115349046E-007
   0.17279999930952528E-008  -0.123465549E-007
   0.18239999927116557E-008  -0.135483500E-007
   0.19199999923280586E-008  -0.151141126E-007
   0.20159999919444616E-008  -0.167331802E-007
   0.21119999915608645E-008  -0.181528428E-007
   0.22079999911772674E-008  -0.193875387E-007
   0.23039999907936703E-008  -0.206034461E-007
   0.23999999904100733E-008  -0.218937117E-007
   0.24959999900264762E-008  -0.232090809E-007
   0.25919999896428791E-008  -0.244600091E-007
   0.26879999892592821E-008  -0.256260773E-007
   0.27839999888756850E-008  -0.267615690E-007
   0.28799999884920879E-008  -0.279285750E-007
   0.29759999881084909E-008  -0.291429778E-007
   0.30719999877248938E-008  -0.303742986E-007
   0.31679999873412967E-008  -0.315833013E-007
   0.32639999869576997E-008  -0.328530128E-007
   0.33599999865741026E-008  -0.342689184E-007
   0.34559999861905055E-008  -0.357987844E-007
   0.35519999858069085E-008  -0.373311266E-007
   0.36479999854233114E-008  -0.387926846E-007
   0.37439999850397143E-008  -0.402015878E-007
   0.38399999846561172E-008  -0.416187689E-007
   0.39359999842725202E-008  -0.430723190E-007
   0.40319999838889231E-008  -0.445344881E-007
   0.41279999835053260E-008  -0.459589558E-007
   0.42239999831217290E-008  -0.473282071E-007
   0.43199999827381319E-008  -0.486642264E-007
   0.44159999823545348E-008  -0.499999011E-007
   0.45119999819709378E-008  -0.513455554E-007
   0.46079999815873407E-008  -0.526842818E-007
   0.47039999812037436E-008  -0.539197487E-007
   0.47999999808201466E-008  -0.548419941E-007
   0.48959999804365495E-008  -0.554352972E-007
   0.49919999800529524E-008  -0.559414275E-007
   0.50879999796693554E-008  -0.565984521E-007
   0.51839999792857583E-008  -0.574255132E-007
   0.52799999789021612E-008  -0.582884390E-007
   0.53759999785185641E-008  -0.591022769E-007
   0.54719999781349671E-008  -0.599076557E-007
   0.55679999777513700E-008  -0.607732815E-007
   0.56639999773677729E-008  -0.616902156E-007
   0.57599999769841759E-008  -0.625859826E-007
   0.58559999766005788E-008  -0.634112638E-007
   0.59519999762169817E-008  -0.641808953E-007
   0.60479999758333847E-008  -0.649377156E-007
   0.61439999754497876E-008  -0.657040005E-007
   0.62399999750661905E-008  -0.662623876E-007
   0.63359999746825935E-008  -0.663918129E-007
   0.64319999742989964E-008  -0.662050823E-007
   0.65279999739153993E-008  -0.660438459E-007
   0.66239999735318023E-008  -0.661181829E-007
   0.67199999731482052E-008  -0.663575221E-007
   0.68159999727646081E-008  -0.665855566E-007
   0.69119999723810110E-008  -0.667417552E-007
   0.70079999719974140E-008  -0.669001707E-007
   0.71039999716138169E-008  -0.671330582E-007
   0.71999999712302198E-008  -0.674200322E-007
   0.72959999708466228E-008  -0.676880205E-007
   0.73919999704630257E-008  -0.678970480E-007
   0.74879999700794286E-008  -0.680673296E-007
   0.75839999696958316E-008  -0.682414836E-007
   0.76799999693122345E-008  -0.684419277E-007
   0.77759999689286374E-008  -0.686626294E-007
   0.78719999685450404E-008  -0.688865001E-007
   0.79679999681614433E-008  -0.691035211E-007
   0.80639999677778462E-008  -0.693165276E-007
   0.81599999673942492E-008  -0.695337619E-007
   0.82559999670106521E-008  -0.696951972E-007
   0.83519999666270550E-008  -0.697372542E-007
   0.84479999662434579E-008  -0.696862088E-007
   0.85439999658598609E-008  -0.696317528E-007
   0.86399999654762638E-008  -0.696376574E-007
   0.87359999650926667E-008  -0.696999578E-007
   0.88319999647090697E-008  -0.697816702E-007
   0.89279999643254726E-008  -0.698642495E-007
