t              Noda2002a.fdtd_Point probe_Ey_12_12_2.dat
   0.00000000000000000E+000   0.000000000E+000
   0.95999999616402931E-010   0.000000000E+000
   0.19199999923280586E-009   0.000000000E+000
   0.28799999884920879E-009  -0.426206515E-009
   0.38399999846561172E-009  -0.143103418E-008
   0.47999999808201466E-009  -0.266609179E-008
   0.57599999769841759E-009  -0.369791509E-008
   0.67199999731482052E-009  -0.444254455E-008
   0.76799999693122345E-009  -0.512124165E-008
   0.86399999654762638E-009  -0.591071148E-008
   0.95999999616402931E-009  -0.675963596E-008
   0.10559999957804322E-008  -0.752235874E-008
   0.11519999953968352E-008  -0.815976797E-008
   0.12479999950132381E-008  -0.875990747E-008
   0.13439999946296410E-008  -0.941268485E-008
   0.14399999942460440E-008  -0.101237125E-007
   0.15359999938624469E-008  -0.108434524E-007
   0.16319999934788498E-008  -0.115349081E-007
   0.17279999930952528E-008  -0.123465620E-007
   0.18239999927116557E-008  -0.135483686E-007
   0.19199999923280586E-008  -0.151141641E-007
   0.20159999919444616E-008  -0.167333098E-007
   0.21119999915608645E-008  -0.181531394E-007
   0.22079999911772674E-008  -0.193881764E-007
   0.23039999907936703E-008  -0.206047410E-007
   0.23999999904100733E-008  -0.218961915E-007
   0.24959999900264762E-008  -0.232136088E-007
   0.25919999896428791E-008  -0.244679157E-007
   0.26879999892592821E-008  -0.256393129E-007
   0.27839999888756850E-008  -0.267829119E-007
   0.28799999884920879E-008  -0.279618106E-007
   0.29759999881084909E-008  -0.291930995E-007
   0.30719999877248938E-008  -0.304476195E-007
   0.31679999873412967E-008  -0.316875521E-007
   0.32639999869576997E-008  -0.329972956E-007
   0.33599999865741026E-008  -0.344635396E-007
   0.34559999861905055E-008  -0.360549564E-007
   0.35519999858069085E-008  -0.376604916E-007
   0.36479999854233114E-008  -0.392067214E-007
   0.37439999850397143E-008  -0.407109439E-007
   0.38399999846561172E-008  -0.422326174E-007
   0.39359999842725202E-008  -0.437977796E-007
   0.40319999838889231E-008  -0.453762574E-007
   0.41279999835053260E-008  -0.469192578E-007
   0.42239999831217290E-008  -0.484070242E-007
   0.43199999827381319E-008  -0.498598993E-007
   0.44159999823545348E-008  -0.513100176E-007
   0.45119999819709378E-008  -0.527679731E-007
   0.46079999815873407E-008  -0.542181908E-007
   0.47039999812037436E-008  -0.555665274E-007
   0.47999999808201466E-008  -0.566057992E-007
   0.48959999804365495E-008  -0.573231915E-007
   0.49919999800529524E-008  -0.579630388E-007
   0.50879999796693554E-008  -0.587651705E-007
   0.51839999792857583E-008  -0.597493752E-007
   0.52799999789021612E-008  -0.607808417E-007
   0.53759999785185641E-008  -0.617727665E-007
   0.54719999781349671E-008  -0.627629078E-007
   0.55679999777513700E-008  -0.638165645E-007
   0.56639999773677729E-008  -0.649212808E-007
   0.57599999769841759E-008  -0.660015544E-007
   0.58559999766005788E-008  -0.670059137E-007
   0.59519999762169817E-008  -0.679482497E-007
   0.60479999758333847E-008  -0.688718060E-007
   0.61439999754497876E-008  -0.698004641E-007
   0.62399999750661905E-008  -0.705194054E-007
   0.63359999746825935E-008  -0.708105006E-007
   0.64319999742989964E-008  -0.707893690E-007
   0.65279999739153993E-008  -0.707998353E-007
   0.66239999735318023E-008  -0.710530941E-007
   0.67199999731482052E-008  -0.714786381E-007
   0.68159999727646081E-008  -0.718991231E-007
   0.69119999723810110E-008  -0.722521705E-007
   0.70079999719974140E-008  -0.726095521E-007
   0.71039999716138169E-008  -0.730410719E-007
   0.71999999712302198E-008  -0.735240988E-007
   0.72959999708466228E-008  -0.739836707E-007
   0.73919999704630257E-008  -0.743783843E-007
   0.74879999700794286E-008  -0.747275024E-007
   0.75839999696958316E-008  -0.750731459E-007
   0.76799999693122345E-008  -0.754374767E-007
   0.77759999689286374E-008  -0.758143770E-007
   0.78719999685450404E-008  -0.761867298E-007
   0.79679999681614433E-008  -0.765446160E-007
   0.80639999677778462E-008  -0.768910127E-007
   0.81599999673942492E-008  -0.772344748E-007
   0.82559999670106521E-008  -0.775155016E-007
   0.83519999666270550E-008  -0.776713307E-007
   0.84479999662434579E-008  -0.777293536E-007
   0.85439999658598609E-008  -0.777806548E-007
   0.86399999654762638E-008  -0.778906326E-007
   0.87359999650926667E-008  -0.780569493E-007
   0.88319999647090697E-008  -0.782437937E-007
   0.89279999643254726E-008  -0.784330823E-007
