t              OneCable.fdtd_Probe_Start_Ez_10_25_10.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011  -0.917364446E-006
   0.30813999355588928E-011  -0.231590639E-005
   0.46220999033383392E-011  -0.368972746E-005
   0.61627998711177856E-011  -0.469148426E-005
   0.77034998388972320E-011  -0.523137805E-005
   0.92441998066766784E-011  -0.541980717E-005
   0.10784899774456125E-010  -0.542795897E-005
   0.12325599742235571E-010  -0.537506457E-005
   0.13866299710015018E-010  -0.530445141E-005
   0.15406999677794464E-010  -0.523058452E-005
   0.16947699645573910E-010  -0.519137575E-005
   0.18488399613353357E-010  -0.525424002E-005
   0.20029099581132803E-010  -0.547700392E-005
   0.21569799548912250E-010  -0.586556507E-005
   0.23110499516691696E-010  -0.636753975E-005
   0.24651199484471142E-010  -0.690497973E-005
   0.26191899452250589E-010  -0.741627173E-005
   0.27732599420030035E-010  -0.787525460E-005
   0.29273299387809482E-010  -0.828092288E-005
   0.30813999355588928E-010  -0.863697733E-005
   0.32354699323368374E-010  -0.894403638E-005
   0.33895399291147821E-010  -0.920934872E-005
   0.35436099258927267E-010  -0.945947431E-005
   0.36976799226706714E-010  -0.973902479E-005
   0.38517499194486160E-010  -0.100931338E-004
   0.40058199162265606E-010  -0.105471036E-004
   0.41598899130045053E-010  -0.110986812E-004
   0.43139599097824499E-010  -0.117264171E-004
   0.44680299065603946E-010  -0.124042654E-004
   0.46220999033383392E-010  -0.131102006E-004
   0.47761699001162838E-010  -0.138255018E-004
   0.49302398968942285E-010  -0.145313061E-004
   0.50843098936721731E-010  -0.152104294E-004
   0.52383798904501178E-010  -0.158551811E-004
   0.53924498872280624E-010  -0.164743415E-004
   0.55465198840060070E-010  -0.170923086E-004
   0.57005898807839517E-010  -0.177401507E-004
   0.58546598775618963E-010  -0.184449273E-004
   0.60087298743398410E-010  -0.192238986E-004
   0.61627998711177856E-010  -0.200848790E-004
   0.63168698678957302E-010  -0.210287835E-004
   0.64709398646736749E-010  -0.220503953E-004
   0.66250098614516195E-010  -0.231374142E-004
   0.67790798582295642E-010  -0.242711430E-004
   0.69331498550075088E-010  -0.254311271E-004
   0.70872198517854534E-010  -0.266021416E-004
   0.72412898485633981E-010  -0.277792769E-004
   0.73953598453413427E-010  -0.289683594E-004
   0.75494298421192874E-010  -0.301826312E-004
   0.77034998388972320E-010  -0.314389290E-004
   0.78575698356751766E-010  -0.327553971E-004
   0.80116398324531213E-010  -0.341500345E-004
   0.81657098292310659E-010  -0.356382225E-004
   0.83197798260090106E-010  -0.372289542E-004
   0.84738498227869552E-010  -0.389219640E-004
   0.86279198195648998E-010  -0.407082516E-004
   0.87819898163428445E-010  -0.425741637E-004
   0.89360598131207891E-010  -0.445066144E-004
   0.90901298098987338E-010  -0.464965306E-004
   0.92441998066766784E-010  -0.485397832E-004
   0.93982698034546230E-010  -0.506370743E-004
   0.95523398002325677E-010  -0.527944685E-004
   0.97064097970105123E-010  -0.550243094E-004
   0.98604797937884570E-010  -0.573446341E-004
   0.10014549790566402E-009  -0.597757717E-004
   0.10168619787344346E-009  -0.623352171E-004
   0.10322689784122291E-009  -0.650336078E-004
   0.10476759780900236E-009  -0.678739307E-004
   0.10630829777678180E-009  -0.708536827E-004
   0.10784899774456125E-009  -0.739676980E-004
   0.10938969771234069E-009  -0.772098429E-004
   0.11093039768012014E-009  -0.805737800E-004
   0.11247109764789959E-009  -0.840543216E-004
   0.11401179761567903E-009  -0.876501435E-004
   0.11555249758345848E-009  -0.913666590E-004
   0.11709319755123793E-009  -0.952169867E-004
   0.11863389751901737E-009  -0.992196656E-004
   0.12017459748679682E-009  -0.103394515E-003
   0.12171529745457627E-009  -0.107758875E-003
   0.12325599742235571E-009  -0.112325833E-003
   0.12479669739013516E-009  -0.117104275E-003
   0.12633739735791460E-009  -0.122099183E-003
   0.12787809732569405E-009  -0.127311578E-003
   0.12941879729347350E-009  -0.132738613E-003
   0.13095949726125294E-009  -0.138375282E-003
   0.13250019722903239E-009  -0.144217818E-003
   0.13404089719681184E-009  -0.150267399E-003
   0.13558159716459128E-009  -0.156532406E-003
   0.13712229713237073E-009  -0.163028250E-003
   0.13866299710015018E-009  -0.169775521E-003
   0.14020369706792962E-009  -0.176797883E-003
   0.14174439703570907E-009  -0.184120217E-003
   0.14328509700348852E-009  -0.191766740E-003
   0.14482579697126796E-009  -0.199758520E-003
   0.14636649693904741E-009  -0.208110709E-003
   0.14790719690682685E-009  -0.216830638E-003
   0.14944789687460630E-009  -0.225918106E-003
   0.15098859684238575E-009  -0.235367857E-003
   0.15252929681016519E-009  -0.245173374E-003
   0.15406999677794464E-009  -0.255330728E-003
   0.15561069674572409E-009  -0.265842129E-003
   0.15715139671350353E-009  -0.276718725E-003
   0.15869209668128298E-009  -0.287982577E-003
   0.16023279664906243E-009  -0.299666804E-003
   0.16177349661684187E-009  -0.311812648E-003
   0.16331419658462132E-009  -0.324463792E-003
   0.16485489655240076E-009  -0.337659440E-003
   0.16639559652018021E-009  -0.351428433E-003
   0.16793629648795966E-009  -0.365786866E-003
   0.16947699645573910E-009  -0.380739541E-003
   0.17101769642351855E-009  -0.396284653E-003
   0.17255839639129800E-009  -0.412419991E-003
   0.17409909635907744E-009  -0.429149310E-003
   0.17563979632685689E-009  -0.446486956E-003
   0.17718049629463634E-009  -0.464459561E-003
   0.17872119626241578E-009  -0.483103737E-003
   0.18026189623019523E-009  -0.502460927E-003
   0.18180259619797468E-009  -0.522571034E-003
   0.18334329616575412E-009  -0.543468748E-003
   0.18488399613353357E-009  -0.565183640E-003
   0.18642469610131301E-009  -0.587743532E-003
   0.18796539606909246E-009  -0.611178635E-003
   0.18950609603687191E-009  -0.635523815E-003
   0.19104679600465135E-009  -0.660816615E-003
   0.19258749597243080E-009  -0.687093125E-003
   0.19412819594021025E-009  -0.714384019E-003
   0.19566889590798969E-009  -0.742712989E-003
   0.19720959587576914E-009  -0.772099535E-003
   0.19875029584354859E-009  -0.802564551E-003
   0.20029099581132803E-009  -0.834137492E-003
   0.20183169577910748E-009  -0.866861781E-003
   0.20337239574688692E-009  -0.900796498E-003
   0.20491309571466637E-009  -0.936012657E-003
   0.20645379568244582E-009  -0.972585054E-003
   0.20799449565022526E-009  -0.101058208E-002
   0.20953519561800471E-009  -0.105005805E-002
   0.21107589558578416E-009  -0.109105092E-002
   0.21261659555356360E-009  -0.113358698E-002
   0.21415729552134305E-009  -0.117769046E-002
   0.21569799548912250E-009  -0.122339372E-002
   0.21723869545690194E-009  -0.127074437E-002
   0.21877939542468139E-009  -0.131980679E-002
   0.22032009539246084E-009  -0.137065805E-002
   0.22186079536024028E-009  -0.142338150E-002
   0.22340149532801973E-009  -0.147805980E-002
   0.22494219529579917E-009  -0.153477187E-002
   0.22648289526357862E-009  -0.159359246E-002
   0.22802359523135807E-009  -0.165459467E-002
   0.22956429519913751E-009  -0.171785208E-002
   0.23110499516691696E-009  -0.178343954E-002
   0.23264569513469641E-009  -0.185143144E-002
   0.23418639510247585E-009  -0.192189927E-002
   0.23572709507025530E-009  -0.199491251E-002
   0.23726779503803475E-009  -0.207054266E-002
   0.23880849500581419E-009  -0.214887178E-002
   0.24034919497359364E-009  -0.222999812E-002
   0.24188989494137308E-009  -0.231403671E-002
   0.24343059490915253E-009  -0.240111281E-002
   0.24497129487693198E-009  -0.249135005E-002
   0.24651199484471142E-009  -0.258486299E-002
   0.24805269481249087E-009  -0.268175430E-002
   0.24959339478027032E-009  -0.278212246E-002
   0.25113409474804976E-009  -0.288607064E-002
   0.25267479471582921E-009  -0.299371360E-002
   0.25421549468360866E-009  -0.310517824E-002
   0.25575619465138810E-009  -0.322059728E-002
   0.25729689461916755E-009  -0.334010436E-002
   0.25883759458694700E-009  -0.346383103E-002
   0.26037829455472644E-009  -0.359191187E-002
   0.26191899452250589E-009  -0.372449029E-002
   0.26345969449028533E-009  -0.386172393E-002
   0.26500039445806478E-009  -0.400378136E-002
   0.26654109442584423E-009  -0.415083673E-002
   0.26808179439362367E-009  -0.430306047E-002
   0.26962249436140312E-009  -0.446061930E-002
   0.27116319432918257E-009  -0.462367851E-002
   0.27270389429696201E-009  -0.479240995E-002
   0.27424459426474146E-009  -0.496699754E-002
   0.27578529423252091E-009  -0.514763640E-002
   0.27732599420030035E-009  -0.533452956E-002
   0.27886669416807980E-009  -0.552788191E-002
   0.28040739413585924E-009  -0.572789880E-002
   0.28194809410363869E-009  -0.593478885E-002
   0.28348879407141814E-009  -0.614877092E-002
   0.28502949403919758E-009  -0.637007877E-002
   0.28657019400697703E-009  -0.659895828E-002
   0.28811089397475648E-009  -0.683566369E-002
   0.28965159394253592E-009  -0.708045205E-002
   0.29119229391031537E-009  -0.733358180E-002
   0.29273299387809482E-009  -0.759531558E-002
   0.29427369384587426E-009  -0.786592532E-002
   0.29581439381365371E-009  -0.814569462E-002
   0.29735509378143316E-009  -0.843491685E-002
   0.29889579374921260E-009  -0.873389374E-002
   0.30043649371699205E-009  -0.904293079E-002
   0.30197719368477149E-009  -0.936234090E-002
   0.30351789365255094E-009  -0.969244819E-002
   0.30505859362033039E-009  -0.100335889E-001
   0.30659929358810983E-009  -0.103861159E-001
   0.30813999355588928E-009  -0.107503925E-001
   0.30968069352366873E-009  -0.111267930E-001
   0.31122139349144817E-009  -0.115156965E-001
   0.31276209345922762E-009  -0.119174924E-001
   0.31430279342700707E-009  -0.123325791E-001
   0.31584349339478651E-009  -0.127613684E-001
   0.31738419336256596E-009  -0.132042831E-001
   0.31892489333034540E-009  -0.136617590E-001
   0.32046559329812485E-009  -0.141342431E-001
   0.32200629326590430E-009  -0.146221938E-001
   0.32354699323368374E-009  -0.151260840E-001
   0.32508769320146319E-009  -0.156464018E-001
   0.32662839316924264E-009  -0.161836520E-001
   0.32816909313702208E-009  -0.167383533E-001
   0.32970979310480153E-009  -0.173110422E-001
   0.33125049307258098E-009  -0.179022681E-001
   0.33279119304036042E-009  -0.185125954E-001
   0.33433189300813987E-009  -0.191426072E-001
   0.33587259297591932E-009  -0.197928958E-001
   0.33741329294369876E-009  -0.204640683E-001
   0.33895399291147821E-009  -0.211567506E-001
   0.34049469287925765E-009  -0.218715817E-001
   0.34203539284703710E-009  -0.226092152E-001
   0.34357609281481655E-009  -0.233703274E-001
   0.34511679278259599E-009  -0.241556130E-001
   0.34665749275037544E-009  -0.249657873E-001
   0.34819819271815489E-009  -0.258015934E-001
   0.34973889268593433E-009  -0.266637988E-001
   0.35127959265371378E-009  -0.275531895E-001
   0.35282029262149323E-009  -0.284705739E-001
   0.35436099258927267E-009  -0.294167753E-001
   0.35590169255705212E-009  -0.303926356E-001
   0.35744239252483156E-009  -0.313990116E-001
   0.35898309249261101E-009  -0.324367844E-001
   0.36052379246039046E-009  -0.335068591E-001
   0.36206449242816990E-009  -0.346101709E-001
   0.36360519239594935E-009  -0.357476771E-001
   0.36514589236372880E-009  -0.369203687E-001
   0.36668659233150824E-009  -0.381292664E-001
   0.36822729229928769E-009  -0.393754132E-001
   0.36976799226706714E-009  -0.406598784E-001
   0.37130869223484658E-009  -0.419837609E-001
   0.37284939220262603E-009  -0.433481820E-001
   0.37439009217040548E-009  -0.447542891E-001
   0.37593079213818492E-009  -0.462032631E-001
   0.37747149210596437E-009  -0.476963148E-001
   0.37901219207374381E-009  -0.492346920E-001
   0.38055289204152326E-009  -0.508196838E-001
   0.38209359200930271E-009  -0.524526015E-001
   0.38363429197708215E-009  -0.541347861E-001
   0.38517499194486160E-009  -0.558676049E-001
   0.38671569191264105E-009  -0.576524623E-001
   0.38825639188042049E-009  -0.594907962E-001
   0.38979709184819994E-009  -0.613840856E-001
   0.39133779181597939E-009  -0.633338541E-001
   0.39287849178375883E-009  -0.653416738E-001
   0.39441919175153828E-009  -0.674091578E-001
   0.39595989171931772E-009  -0.695379451E-001
   0.39750059168709717E-009  -0.717297196E-001
   0.39904129165487662E-009  -0.739862025E-001
   0.40058199162265606E-009  -0.763091519E-001
   0.40212269159043551E-009  -0.787003711E-001
   0.40366339155821496E-009  -0.811617002E-001
   0.40520409152599440E-009  -0.836950317E-001
   0.40674479149377385E-009  -0.863023028E-001
   0.40828549146155330E-009  -0.889855102E-001
   0.40982619142933274E-009  -0.917466804E-001
   0.41136689139711219E-009  -0.945879146E-001
   0.41290759136489164E-009  -0.975113586E-001
   0.41444829133267108E-009  -0.100519188E+000
   0.41598899130045053E-009  -0.103613652E+000
   0.41752969126822997E-009  -0.106797047E+000
   0.41907039123600942E-009  -0.110071719E+000
   0.42061109120378887E-009  -0.113440089E+000
   0.42215179117156831E-009  -0.116904624E+000
   0.42369249113934776E-009  -0.120467834E+000
   0.42523319110712721E-009  -0.124132283E+000
   0.42677389107490665E-009  -0.127900600E+000
   0.42831459104268610E-009  -0.131775483E+000
   0.42985529101046555E-009  -0.135759667E+000
   0.43139599097824499E-009  -0.139855996E+000
   0.43293669094602444E-009  -0.144067377E+000
   0.43447739091380388E-009  -0.148396775E+000
   0.43601809088158333E-009  -0.152847216E+000
   0.43755879084936278E-009  -0.157421812E+000
   0.43909949081714222E-009  -0.162123710E+000
   0.44064019078492167E-009  -0.166956156E+000
   0.44218089075270112E-009  -0.171922445E+000
   0.44372159072048056E-009  -0.177025944E+000
   0.44526229068826001E-009  -0.182270139E+000
   0.44680299065603946E-009  -0.187658548E+000
   0.44834369062381890E-009  -0.193194807E+000
   0.44988439059159835E-009  -0.198882565E+000
   0.45142509055937780E-009  -0.204725608E+000
   0.45296579052715724E-009  -0.210727796E+000
   0.45450649049493669E-009  -0.216893092E+000
   0.45604719046271613E-009  -0.223225534E+000
   0.45758789043049558E-009  -0.229729235E+000
   0.45912859039827503E-009  -0.236408412E+000
   0.46066929036605447E-009  -0.243267372E+000
   0.46220999033383392E-009  -0.250310481E+000
   0.46375069030161337E-009  -0.257542223E+000
   0.46529139026939281E-009  -0.264967173E+000
   0.46683209023717226E-009  -0.272590041E+000
   0.46837279020495171E-009  -0.280415565E+000
   0.46991349017273115E-009  -0.288448632E+000
   0.47145419014051060E-009  -0.296694189E+000
   0.47299489010829004E-009  -0.305157334E+000
   0.47453559007606949E-009  -0.313843250E+000
   0.47607629004384894E-009  -0.322757244E+000
   0.47761699001162838E-009  -0.331904739E+000
   0.47915768997940783E-009  -0.341291249E+000
   0.48069838994718728E-009  -0.350922436E+000
   0.48223908991496672E-009  -0.360804021E+000
   0.48377978988274617E-009  -0.370941848E+000
   0.48532048985052562E-009  -0.381341934E+000
   0.48686118981830506E-009  -0.392010331E+000
   0.48840188978608451E-009  -0.402953297E+000
   0.48994258975386396E-009  -0.414177150E+000
   0.49148328972164340E-009  -0.425688356E+000
   0.49302398968942285E-009  -0.437493503E+000
   0.49456468965720229E-009  -0.449599355E+000
   0.49610538962498174E-009  -0.462012798E+000
   0.49764608959276119E-009  -0.474740803E+000
   0.49918678956054063E-009  -0.487790525E+000
   0.50072748952832008E-009  -0.501169205E+000
   0.50226818949609953E-009  -0.514884293E+000
   0.50380888946387897E-009  -0.528943360E+000
   0.50534958943165842E-009  -0.543354154E+000
   0.50689028939943787E-009  -0.558124423E+000
   0.50843098936721731E-009  -0.573262155E+000
   0.50997168933499676E-009  -0.588775516E+000
   0.51151238930277620E-009  -0.604672849E+000
   0.51305308927055565E-009  -0.620962560E+000
   0.51459378923833510E-009  -0.637653291E+000
   0.51613448920611454E-009  -0.654753804E+000
   0.51767518917389399E-009  -0.672272980E+000
   0.51921588914167344E-009  -0.690219998E+000
   0.52075658910945288E-009  -0.708604038E+000
   0.52229728907723233E-009  -0.727434695E+000
   0.52383798904501178E-009  -0.746721506E+000
   0.52537868901279122E-009  -0.766474128E+000
   0.52691938898057067E-009  -0.786702633E+000
   0.52846008894835012E-009  -0.807417095E+000
   0.53000078891612956E-009  -0.828627825E+000
   0.53154148888390901E-009  -0.850345314E+000
   0.53308218885168845E-009  -0.872580230E+000
   0.53462288881946790E-009  -0.895343423E+000
   0.53616358878724735E-009  -0.918645918E+000
   0.53770428875502679E-009  -0.942498982E+000
   0.53924498872280624E-009  -0.966913998E+000
   0.54078568869058569E-009  -0.991902709E+000
   0.54232638865836513E-009  -0.101747692E+001
   0.54386708862614458E-009  -0.104364860E+001
   0.54540778859392403E-009  -0.107042992E+001
   0.54694848856170347E-009  -0.109783340E+001
   0.54848918852948292E-009  -0.112587154E+001
   0.55002988849726236E-009  -0.115455735E+001
   0.55157058846504181E-009  -0.118390381E+001
   0.55311128843282126E-009  -0.121392417E+001
   0.55465198840060070E-009  -0.124463201E+001
   0.55619268836838015E-009  -0.127604091E+001
   0.55773338833615960E-009  -0.130816483E+001
   0.55927408830393904E-009  -0.134101784E+001
   0.56081478827171849E-009  -0.137461424E+001
   0.56235548823949794E-009  -0.140896893E+001
   0.56389618820727738E-009  -0.144409657E+001
   0.56543688817505683E-009  -0.148001206E+001
   0.56697758814283628E-009  -0.151673090E+001
   0.56851828811061572E-009  -0.155426872E+001
   0.57005898807839517E-009  -0.159264100E+001
   0.57159968804617461E-009  -0.163186383E+001
   0.57314038801395406E-009  -0.167195344E+001
   0.57468108798173351E-009  -0.171292627E+001
   0.57622178794951295E-009  -0.175479901E+001
   0.57776248791729240E-009  -0.179758871E+001
   0.57930318788507185E-009  -0.184131265E+001
   0.58084388785285129E-009  -0.188598824E+001
   0.58238458782063074E-009  -0.193163311E+001
   0.58392528778841019E-009  -0.197826552E+001
   0.58546598775618963E-009  -0.202590346E+001
   0.58700668772396908E-009  -0.207456565E+001
   0.58854738769174852E-009  -0.212427068E+001
   0.59008808765952797E-009  -0.217503762E+001
   0.59162878762730742E-009  -0.222688556E+001
   0.59316948759508686E-009  -0.227983403E+001
   0.59471018756286631E-009  -0.233390331E+001
   0.59625088753064576E-009  -0.238911319E+001
   0.59779158749842520E-009  -0.244548392E+001
   0.59933228746620465E-009  -0.250303650E+001
   0.60087298743398410E-009  -0.256179118E+001
   0.60241368740176354E-009  -0.262176967E+001
   0.60395438736954299E-009  -0.268299317E+001
   0.60549508733732244E-009  -0.274548364E+001
   0.60703578730510188E-009  -0.280926299E+001
   0.60857648727288133E-009  -0.287435365E+001
   0.61011718724066077E-009  -0.294077802E+001
   0.61165788720844022E-009  -0.300855899E+001
   0.61319858717621967E-009  -0.307771969E+001
   0.61473928714399911E-009  -0.314828348E+001
   0.61627998711177856E-009  -0.322027421E+001
   0.61782068707955801E-009  -0.329371572E+001
   0.61936138704733745E-009  -0.336863208E+001
   0.62090208701511690E-009  -0.344504809E+001
   0.62244278698289635E-009  -0.352298856E+001
   0.62398348695067579E-009  -0.360247874E+001
   0.62552418691845524E-009  -0.368354392E+001
   0.62706488688623468E-009  -0.376621008E+001
   0.62860558685401413E-009  -0.385050321E+001
   0.63014628682179358E-009  -0.393644929E+001
   0.63168698678957302E-009  -0.402407551E+001
   0.63322768675735247E-009  -0.411340809E+001
   0.63476838672513192E-009  -0.420447445E+001
   0.63630908669291136E-009  -0.429730177E+001
   0.63784978666069081E-009  -0.439191818E+001
   0.63939048662847026E-009  -0.448835135E+001
   0.64093118659624970E-009  -0.458663034E+001
   0.64247188656402915E-009  -0.468678331E+001
   0.64401258653180860E-009  -0.478883886E+001
   0.64555328649958804E-009  -0.489282656E+001
   0.64709398646736749E-009  -0.499877596E+001
   0.64863468643514693E-009  -0.510671663E+001
   0.65017538640292638E-009  -0.521667862E+001
   0.65171608637070583E-009  -0.532869244E+001
