t              SphereGround.fdtd_Point probe_1_Ex_50_50_50.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813327583922856E-010   0.000000000E+000   0.000000000E+000
   0.61626655167845712E-010   0.000000000E+000   0.000000000E+000
   0.92439982751768568E-010   0.000000000E+000   0.000000000E+000
   0.12325331033569142E-009   0.000000000E+000   0.000000000E+000
   0.15406663791961428E-009   0.000000000E+000   0.000000000E+000
   0.18487996550353714E-009   0.000000000E+000   0.000000000E+000
   0.21569329308745999E-009   0.000000000E+000   0.000000000E+000
   0.24650662067138285E-009   0.000000000E+000   0.000000000E+000
   0.27731994825530570E-009   0.000000000E+000   0.000000000E+000
   0.30813327583922856E-009   0.000000000E+000   0.000000000E+000
   0.33894660342315142E-009   0.000000000E+000   0.000000000E+000
   0.36975993100707427E-009   0.000000000E+000   0.000000000E+000
   0.40057325859099713E-009   0.000000000E+000   0.000000000E+000
   0.43138658617491998E-009   0.000000000E+000   0.000000000E+000
   0.46219991375884284E-009   0.000000000E+000   0.000000000E+000
   0.49301324134276570E-009   0.000000000E+000   0.000000000E+000
   0.52382656892668855E-009   0.000000000E+000   0.000000000E+000
   0.55463989651061141E-009   0.000000000E+000   0.000000000E+000
   0.58545322409453426E-009   0.000000000E+000   0.000000000E+000
   0.61626655167845712E-009   0.000000000E+000   0.000000000E+000
   0.64707987926237998E-009   0.000000000E+000   0.000000000E+000
   0.67789320684630283E-009   0.000000000E+000   0.000000000E+000
   0.70870653443022569E-009   0.000000000E+000   0.000000000E+000
   0.73951986201414854E-009   0.000000000E+000   0.000000000E+000
   0.77033318959807140E-009   0.000000000E+000   0.000000000E+000
   0.80114651718199426E-009   0.000000000E+000   0.000000000E+000
   0.83195984476591711E-009   0.000000000E+000   0.000000000E+000
   0.86277317234983997E-009   0.000000000E+000   0.000000000E+000
   0.89358649993376282E-009   0.000000000E+000   0.000000000E+000
   0.92439982751768568E-009   0.000000000E+000   0.000000000E+000
   0.95521315510160854E-009   0.000000000E+000   0.000000000E+000
   0.98602648268553139E-009   0.000000000E+000   0.000000000E+000
   0.10168398102694542E-008   0.000000000E+000   0.000000000E+000
   0.10476531378533771E-008   0.000000000E+000   0.000000000E+000
   0.10784664654373000E-008   0.000000000E+000   0.000000000E+000
   0.11092797930212228E-008   0.000000000E+000   0.000000000E+000
   0.11400931206051457E-008   0.000000000E+000   0.000000000E+000
   0.11709064481890685E-008   0.000000000E+000   0.000000000E+000
   0.12017197757729914E-008   0.000000000E+000   0.000000000E+000
   0.12325331033569142E-008   0.000000000E+000   0.000000000E+000
   0.12633464309408371E-008   0.000000000E+000   0.000000000E+000
   0.12941597585247600E-008   0.000000000E+000   0.000000000E+000
   0.13249730861086828E-008   0.131870076E-034   0.000000000E+000
   0.13557864136926057E-008   0.876566046E-033   0.000000000E+000
   0.13865997412765285E-008   0.293216134E-031   0.000000000E+000
   0.14174130688604514E-008   0.658002288E-030   0.000000000E+000
   0.14482263964443742E-008   0.111427272E-028   0.000000000E+000
   0.14790397240282971E-008   0.151861839E-027   0.000000000E+000
   0.15098530516122199E-008   0.173488386E-026   0.000000000E+000
   0.15406663791961428E-008   0.170858798E-025   0.000000000E+000
   0.15714797067800657E-008   0.148065519E-024   0.000000000E+000
   0.16022930343639885E-008   0.114686630E-023   0.000000000E+000
   0.16331063619479114E-008   0.803832854E-023   0.000000000E+000
   0.16639196895318342E-008   0.514918006E-022   0.000000000E+000
   0.16947330171157571E-008   0.303947349E-021   0.000000000E+000
   0.17255463446996799E-008   0.166472138E-020   0.000000000E+000
   0.17563596722836028E-008   0.850976999E-020   0.000000000E+000
   0.17871729998675256E-008   0.408061799E-019   0.000000000E+000
   0.18179863274514485E-008   0.184366681E-018   0.000000000E+000
   0.18487996550353714E-008   0.787905457E-018   0.000000000E+000
   0.18796129826192942E-008   0.319594237E-017   0.000000000E+000
   0.19104263102032171E-008   0.123423379E-016   0.000000000E+000
   0.19412396377871399E-008   0.455070535E-016   0.000000000E+000
   0.19720529653710628E-008   0.160598254E-015   0.000000000E+000
   0.20028662929549856E-008   0.543735277E-015   0.000000000E+000
   0.20336796205389085E-008   0.176987365E-014   0.000000000E+000
   0.20644929481228314E-008   0.554957310E-014   0.000000000E+000
   0.20953062757067542E-008   0.167932532E-013   0.000000000E+000
   0.21261196032906771E-008   0.491261085E-013   0.000000000E+000
   0.21569329308745999E-008   0.139152822E-012   0.000000000E+000
   0.21877462584585228E-008   0.382239108E-012   0.000000000E+000
   0.22185595860424456E-008   0.101969041E-011   0.000000000E+000
   0.22493729136263685E-008   0.264537827E-011   0.000000000E+000
   0.22801862412102913E-008   0.668284308E-011   0.000000000E+000
   0.23109995687942142E-008   0.164600226E-010   0.000000000E+000
   0.23418128963781371E-008   0.395741426E-010   0.000000000E+000
   0.23726262239620599E-008   0.929813379E-010   0.000000000E+000
   0.24034395515459828E-008   0.213722040E-009   0.000000000E+000
   0.24342528791299056E-008   0.481074014E-009   0.000000000E+000
   0.24650662067138285E-008   0.106144171E-008   0.000000000E+000
   0.24958795342977513E-008   0.229766073E-008   0.000000000E+000
   0.25266928618816742E-008   0.488354424E-008   0.000000000E+000
   0.25575061894655970E-008   0.101992068E-007   0.000000000E+000
   0.25883195170495199E-008   0.209445119E-007   0.000000000E+000
   0.26191328446334428E-008   0.423159960E-007   0.000000000E+000
   0.26499461722173656E-008   0.841579961E-007   0.000000000E+000
   0.26807594998012885E-008   0.164830382E-006   0.000000000E+000
   0.27115728273852113E-008   0.318049558E-006   0.000000000E+000
   0.27423861549691342E-008   0.604790671E-006   0.000000000E+000
   0.27731994825530570E-008   0.113365184E-005   0.000000000E+000
   0.28040128101369799E-008   0.209511472E-005   0.122159008E-006
   0.28348261377209028E-008   0.381820018E-005   0.300713680E-006
   0.28656394653048256E-008   0.686254043E-005   0.697667360E-006
   0.28964527928887485E-008   0.121653575E-004   0.151396091E-005
   0.29272661204726713E-008   0.212718478E-004   0.306132301E-005
   0.29580794480565942E-008   0.366896093E-004   0.694904338E-005
   0.29888927756405170E-008   0.624234599E-004   0.150183023E-004
   0.30197061032244399E-008   0.104766550E-003   0.308312883E-004
   0.30505194308083627E-008   0.173446635E-003   0.599366576E-004
   0.30813327583922856E-008   0.283250964E-003   0.110238943E-003
   0.31121460859762085E-008   0.456278212E-003   0.218904548E-003
   0.31429594135601313E-008   0.724983925E-003   0.416043447E-003
   0.31737727411440542E-008   0.113619282E-002   0.756631605E-003
   0.32045860687279770E-008   0.175623549E-002   0.131673168E-002
   0.32353993963118999E-008   0.267731794E-002   0.219460903E-002
   0.32662127238958227E-008   0.402513519E-002   0.381918461E-002
   0.32970260514797456E-008   0.596758397E-002   0.639428478E-002
   0.33278393790636684E-008   0.872419588E-002   0.103125330E-001
   0.33586527066475913E-008   0.125756236E-001   0.160501860E-001
   0.33894660342315142E-008   0.178721286E-001   0.241673570E-001
   0.34202793618154370E-008   0.250396151E-001   0.369084775E-001
   0.34510926893993599E-008   0.345813707E-001   0.545350835E-001
   0.34819060169832827E-008   0.470733233E-001   0.780678689E-001
   0.35127193445672056E-008   0.631504878E-001   0.108542137E+000
   0.35435326721511284E-008   0.834823549E-001   0.146987841E+000
   0.35743459997350513E-008   0.108735442E+000   0.197595954E+000
   0.36051593273189741E-008   0.139522403E+000   0.258150935E+000
   0.36359726549028970E-008   0.176338062E+000   0.328261167E+000
   0.36667859824868199E-008   0.219485044E+000   0.407186300E+000
   0.36975993100707427E-008   0.268993944E+000   0.493731588E+000
   0.37284126376546656E-008   0.324544668E+000   0.586121678E+000
   0.37592259652385884E-008   0.385398626E+000   0.678368330E+000
   0.37900392928225113E-008   0.450351655E+000   0.766671121E+000
   0.38208526204064341E-008   0.517718911E+000   0.847234011E+000
   0.38516659479903570E-008   0.585360527E+000   0.916201770E+000
   0.38824792755742799E-008   0.650755286E+000   0.963418126E+000
   0.39132926031582027E-008   0.711123288E+000   0.989741564E+000
   0.39441059307421256E-008   0.763594031E+000   0.994544744E+000
   0.39749192583260484E-008   0.805409670E+000   0.977601528E+000
   0.40057325859099713E-008   0.834144711E+000   0.939487219E+000
   0.40365459134938941E-008   0.847921729E+000   0.877649546E+000
   0.40673592410778170E-008   0.845597923E+000   0.801864326E+000
   0.40981725686617398E-008   0.826899230E+000   0.716530263E+000
   0.41289858962456627E-008   0.792481363E+000   0.625457048E+000
   0.41597992238295856E-008   0.743906796E+000   0.532448888E+000
   0.41906125514135084E-008   0.683536172E+000   0.443165779E+000
   0.42214258789974313E-008   0.614343107E+000   0.360785365E+000
   0.42522392065813541E-008   0.539672732E+000   0.286677539E+000
   0.42830525341652770E-008   0.462971330E+000   0.221839026E+000
   0.43138658617491998E-008   0.387518734E+000   0.166810170E+000
   0.43446791893331227E-008   0.316193879E+000   0.124054000E+000
   0.43754925169170455E-008   0.251298994E+000   0.901572183E-001
   0.44063058445009684E-008   0.194457024E+000   0.636855066E-001
   0.44371191720848913E-008   0.146586239E+000   0.436127372E-001
   0.44679324996688141E-008   0.107945636E+000   0.288921036E-001
   0.44987458272527370E-008   0.782355294E-001   0.192535426E-001
   0.45295591548366598E-008   0.567307696E-001   0.125133134E-001
   0.45603724824205827E-008   0.424244441E-001   0.785432290E-002
   0.45911858100045055E-008   0.341622233E-001   0.475172419E-002
   0.46219991375884284E-008   0.307530630E-001   0.276692142E-002
   0.46528124651723513E-008   0.310491659E-001   0.165698270E-002
   0.46836257927562741E-008   0.339953676E-001   0.964632607E-003
   0.47144391203401970E-008   0.386530682E-001   0.537671731E-003
   0.47452524479241198E-008   0.442063995E-001   0.286865630E-003
   0.47760657755080427E-008   0.499585792E-001   0.146524486E-003
   0.48068791030919655E-008   0.553253777E-001   0.790823251E-004
   0.48376924306758884E-008   0.598300323E-001   0.413010930E-004
   0.48685057582598112E-008   0.631005988E-001   0.204256321E-004
   0.48993190858437341E-008   0.648686215E-001   0.959474892E-005
   0.49301324134276570E-008   0.649671406E-001   0.429086640E-005
   0.49609457410115798E-008   0.633265898E-001   0.209325299E-005
   0.49917590685955027E-008   0.599672347E-001   0.982059987E-006
   0.50225723961794255E-008   0.549880117E-001   0.430521936E-006
   0.50533857237633484E-008   0.485525206E-001   0.177766253E-006
   0.50841990513472712E-008   0.408735871E-001   0.694912359E-007
   0.51150123789311941E-008   0.321971588E-001   0.307326644E-007
   0.51458257065151169E-008   0.227858350E-001   0.129672149E-007
   0.51766390340990398E-008   0.129023232E-001   0.503370590E-008
   0.52074523616829627E-008   0.279363059E-002   0.182416726E-008
   0.52382656892668855E-008  -0.732353143E-002   0.622410234E-009
   0.52690790168508084E-008  -0.172760598E-001   0.250280019E-009
   0.52998923444347312E-008  -0.269456580E-001   0.950654555E-010
   0.53307056720186541E-008  -0.362762064E-001   0.326402932E-010
   0.53615189996025769E-008  -0.452761389E-001   0.103662599E-010
   0.53923323271864998E-008  -0.540158823E-001   0.308323159E-011
   0.54231456547704227E-008  -0.626206100E-001   0.113060624E-011
   0.54539589823543455E-008  -0.712585002E-001   0.386910014E-012
   0.54847723099382684E-008  -0.801261365E-001   0.117354531E-012
   0.55155856375221912E-008  -0.894331038E-001   0.000000000E+000
   0.55463989651061141E-008  -0.993844867E-001   0.000000000E+000
   0.55772122926900369E-008  -0.110157117E+000   0.000000000E+000
   0.56080256202739598E-008  -0.121866822E+000   0.000000000E+000
   0.56388389478578826E-008  -0.134528592E+000   0.000000000E+000
   0.56696522754418055E-008  -0.148015797E+000   0.000000000E+000
   0.57004656030257284E-008  -0.162027642E+000   0.000000000E+000
   0.57312789306096512E-008  -0.176072329E+000   0.000000000E+000
   0.57620922581935741E-008  -0.189467236E+000   0.000000000E+000
   0.57929055857774969E-008  -0.201351225E+000   0.000000000E+000
   0.58237189133614198E-008  -0.210706204E+000   0.000000000E+000
   0.58545322409453426E-008  -0.216392860E+000   0.000000000E+000
   0.58853455685292655E-008  -0.217212036E+000   0.000000000E+000
   0.59161588961131883E-008  -0.212001085E+000   0.000000000E+000
   0.59469722236971112E-008  -0.199763089E+000   0.000000000E+000
   0.59777855512810341E-008  -0.179809555E+000   0.000000000E+000
   0.60085988788649569E-008  -0.151886865E+000   0.000000000E+000
   0.60394122064488798E-008  -0.116264254E+000   0.000000000E+000
   0.60702255340328026E-008  -0.737792701E-001   0.000000000E+000
   0.61010388616167255E-008  -0.258482397E-001   0.000000000E+000
   0.61318521892006483E-008   0.255564600E-001   0.000000000E+000
   0.61626655167845712E-008   0.779767632E-001   0.000000000E+000
   0.61934788443684941E-008   0.128610060E+000   0.000000000E+000
   0.62242921719524169E-008   0.174530059E+000   0.000000000E+000
   0.62551054995363398E-008   0.212965071E+000   0.000000000E+000
   0.62859188271202626E-008   0.241583616E+000   0.000000000E+000
   0.63167321547041855E-008   0.258734673E+000   0.000000000E+000
   0.63475454822881083E-008   0.263613403E+000   0.000000000E+000
   0.63783588098720312E-008   0.256350249E+000   0.000000000E+000
   0.64091721374559540E-008   0.238030002E+000   0.000000000E+000
   0.64399854650398769E-008   0.210635394E+000   0.000000000E+000
   0.64707987926237998E-008   0.176895902E+000   0.000000000E+000
   0.65016121202077226E-008   0.140032679E+000   0.000000000E+000
   0.65324254477916455E-008   0.103422165E+000   0.000000000E+000
   0.65632387753755683E-008   0.702334344E-001   0.000000000E+000
   0.65940521029594912E-008   0.431049615E-001   0.000000000E+000
