 f_at_0.39995703707274011E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.000000000E+000   0.000000000E+000                NaN                NaN                NaN                NaN   0.155808048E+002                NaN
   0.30000000000000000E+009   0.000000000E+000   0.330693960E+000   0.497149489E-009   0.392392863E+000   0.170648297E-009  -0.274888630E+001   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.661387920E+000   0.414803161E-009   0.392350987E+000   0.322826268E-009  -0.274904305E+001   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.992081881E+000   0.287506475E-009   0.392278575E+000   0.440021027E-009  -0.274910385E+001   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.132277584E+001   0.129053984E-009   0.392045831E+000   0.509532673E-009  -0.274914236E+001   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.165346980E+001   0.433835373E-010  -0.274800440E+001   0.523828522E-009  -0.274917472E+001   0.155808039E+002   0.159235516E+002
   0.30000000000000000E+009   0.000000000E+000   0.198416376E+001   0.211119716E-009  -0.274894726E+001   0.481359455E-009  -0.274920897E+001   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.231485772E+001   0.355977829E-009  -0.274906217E+001   0.386727609E-009  -0.274925536E+001   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.264555168E+001   0.462260219E-009  -0.274911465E+001   0.250187838E-009  -0.274934461E+001   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.297624564E+001   0.518449553E-009  -0.274915068E+001   0.865363402E-010  -0.274974348E+001   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.330693960E+001   0.518456820E-009  -0.274918281E+001   0.864927559E-010   0.393002942E+000   0.155808048E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.363763356E+001   0.462281235E-009  -0.274921884E+001   0.250148973E-009   0.392603807E+000   0.155808039E+002   0.159235516E+002
   0.30000000000000000E+009   0.000000000E+000   0.396832752E+001   0.356010346E-009  -0.274927131E+001   0.386697704E-009   0.392514533E+000   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.429902172E+001   0.211160074E-009  -0.274938618E+001   0.481341750E-009   0.392468137E+000   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.462971592E+001   0.434273263E-010  -0.275032791E+001   0.523824907E-009   0.392433887E+000   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.496041012E+001   0.129011509E-009   0.392806116E+000   0.509543418E-009   0.392401533E+000   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.000000000E+000   0.529110432E+001   0.287469886E-009   0.392573265E+000   0.440044927E-009   0.392363019E+000   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.562179852E+001   0.414776385E-009   0.392500839E+000   0.322860642E-009   0.392302235E+000   0.155808039E+002   0.159235516E+002
   0.30000000000000000E+009   0.000000000E+000   0.595249271E+001   0.497135403E-009   0.392458959E+000   0.170689386E-009   0.392145532E+000   0.155808058E+002   0.159235535E+002
   0.30000000000000000E+009   0.000000000E+000   0.628318548E+001   0.525621974E-009   0.392425911E+000   0.551692579E-013  -0.768474818E+000   0.155808048E+002   0.159235525E+002
   0.30000000000000000E+009   0.157079637E+001   0.000000000E+000   0.753611536E-010   0.716118511E+000   0.259292655E-012  -0.179010318E+001   0.327816486E+000   0.327335536E+000
   0.30000000000000000E+009   0.157079637E+001   0.330693960E+000   0.703082896E-010   0.244133822E+001   0.334000206E-010   0.210905251E+001   0.344115645E+000   0.349205256E+000
   0.30000000000000000E+009   0.157079637E+001   0.661387920E+000   0.558073815E-010  -0.297376339E+001   0.722345834E-010   0.276751062E+001   0.469053596E+000   0.480239391E+000
   0.30000000000000000E+009   0.157079637E+001   0.992081881E+000   0.398831078E-010  -0.293474669E+001   0.112212200E-009   0.257133177E+001   0.813011646E+000   0.817405879E+000
   0.30000000000000000E+009   0.157079637E+001   0.132277584E+001   0.265869472E-010   0.228820527E+001   0.141306296E-009   0.152878773E+001   0.116333199E+001   0.119158351E+001
   0.30000000000000000E+009   0.157079637E+001   0.165346980E+001   0.933673214E-011  -0.271070847E+001   0.146488871E-009  -0.336959290E+000   0.120067680E+001   0.124183214E+001
