t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.157508132E-009   0.000000000E+000
   0.21569331737358866E-009   0.838035641E-009   0.000000000E+000
   0.24650664842695846E-009   0.287341595E-008   0.000000000E+000
   0.27731997948032827E-009   0.812889667E-008   0.000000000E+000
   0.30813331053369808E-009   0.207350936E-007   0.000000000E+000
   0.33894664158706789E-009   0.496372650E-007   0.000000000E+000
   0.36975997264043770E-009   0.113768110E-006   0.000000000E+000
   0.40057330369380750E-009   0.252271519E-006   0.000000000E+000
   0.43138663474717731E-009   0.544180466E-006   0.000000000E+000
   0.46219996580054712E-009   0.114529075E-005   0.000000000E+000
   0.49301329685391693E-009   0.235541256E-005   0.686938293E-007
   0.52382662790728673E-009   0.473770979E-005   0.164096747E-006
   0.55463995896065654E-009   0.932465809E-005   0.382840170E-006
   0.58545329001402635E-009   0.179635645E-004   0.872313649E-006
   0.61626662106739616E-009   0.338797145E-004   0.194117820E-005
   0.64707995212076597E-009   0.625674438E-004   0.421887080E-005
   0.67789328317413577E-009   0.113157803E-003   0.895501307E-005
   0.70870661422750558E-009   0.200452487E-003   0.185641184E-004
   0.73951994528087539E-009   0.347851019E-003   0.375857016E-004
   0.77033327633424520E-009   0.591419637E-003   0.743210330E-004
   0.80114660738761501E-009   0.985342893E-003   0.143529294E-003
   0.83195993844098481E-009   0.160893996E-002   0.270714518E-003
   0.86277326949435462E-009   0.257530110E-002   0.498682202E-003
   0.89358660054772443E-009   0.404138584E-002   0.897176797E-003
   0.92439993160109424E-009   0.621911511E-002   0.157643249E-002
   0.95521326265446405E-009   0.938659720E-002   0.270530558E-002
   0.98602659370783385E-009   0.138981752E-001   0.453419890E-002
   0.10168399247612037E-008   0.201915391E-001   0.742213801E-002
   0.10476532558145735E-008   0.287897624E-001   0.118659390E-001
   0.10784665868679433E-008   0.402959585E-001   0.185276195E-001
   0.11092799179213131E-008   0.553783253E-001   0.282542221E-001
   0.11400932489746829E-008   0.747437626E-001   0.420816764E-001
   0.11709065800280527E-008   0.990991890E-001   0.612138435E-001
   0.12017199110814225E-008   0.129100785E+000   0.869665891E-001
   0.12325332421347923E-008   0.165293008E+000   0.120670728E+000
   0.12633465731881621E-008   0.208040804E+000   0.163530946E+000
   0.12941599042415319E-008   0.257460088E+000   0.216443956E+000
   0.13249732352949017E-008   0.313352585E+000   0.279794544E+000
