t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813327583922856E-010   0.000000000E+000   0.000000000E+000
   0.61626655167845712E-010   0.000000000E+000   0.000000000E+000
   0.92439982751768568E-010   0.000000000E+000   0.000000000E+000
   0.12325331033569142E-009   0.000000000E+000   0.000000000E+000
   0.15406663791961428E-009   0.000000000E+000   0.000000000E+000
   0.18487996550353714E-009   0.000000000E+000   0.000000000E+000
   0.21569329308745999E-009   0.000000000E+000   0.000000000E+000
   0.24650662067138285E-009   0.000000000E+000   0.000000000E+000
   0.27731994825530570E-009   0.000000000E+000   0.000000000E+000
   0.30813327583922856E-009   0.000000000E+000   0.000000000E+000
   0.33894660342315142E-009   0.000000000E+000  -0.210102457E-014
   0.36975993100707427E-009   0.000000000E+000  -0.542205610E-014
   0.40057325859099713E-009   0.000000000E+000  -0.133781527E-013
   0.43138658617491998E-009   0.000000000E+000  -0.311337734E-013
   0.46219991375884284E-009   0.000000000E+000  -0.678536952E-013
   0.49301324134276570E-009   0.000000000E+000  -0.136884712E-012
   0.52382656892668855E-009   0.000000000E+000  -0.307993025E-012
   0.55463989651061141E-009   0.000000000E+000  -0.666796804E-012
   0.58545322409453426E-009   0.000000000E+000  -0.137186746E-011
   0.61626655167845712E-009   0.000000000E+000  -0.267442015E-011
   0.64707987926237998E-009   0.000000000E+000  -0.492063768E-011
   0.67789320684630283E-009   0.000000000E+000  -0.968676094E-011
   0.70870653443022569E-009   0.000000000E+000  -0.184320632E-010
   0.73951986201414854E-009   0.000000000E+000  -0.335669548E-010
   0.77033318959807140E-009   0.000000000E+000  -0.585070603E-010
   0.80114651718199426E-009   0.000000000E+000  -0.976477510E-010
   0.83195984476591711E-009   0.000000000E+000  -0.168702996E-009
   0.86277317234983997E-009   0.000000000E+000  -0.282635942E-009
   0.89358649993376282E-009   0.000000000E+000  -0.456126636E-009
   0.92439982751768568E-009   0.000000000E+000  -0.710350834E-009
   0.95521315510160854E-009   0.000000000E+000  -0.107019049E-008
   0.98602648268553139E-009   0.000000000E+000  -0.162712255E-008
   0.10168398102694542E-008   0.000000000E+000  -0.240461584E-008
   0.10476531378533771E-008   0.000000000E+000  -0.344251672E-008
   0.10784664654373000E-008   0.000000000E+000  -0.478605866E-008
   0.11092797930212228E-008   0.000000000E+000  -0.647987974E-008
   0.11400931206051457E-008   0.000000000E+000  -0.869203109E-008
   0.11709064481890685E-008   0.000000000E+000  -0.113531557E-007
   0.12017197757729914E-008   0.000000000E+000  -0.144313530E-007
   0.12325331033569142E-008   0.000000000E+000  -0.178923543E-007
   0.12633464309408371E-008   0.000000000E+000  -0.216817906E-007
   0.12941597585247600E-008   0.000000000E+000  -0.257202899E-007
   0.13249730861086828E-008   0.000000000E+000  -0.297523446E-007
   0.13557864136926057E-008   0.000000000E+000  -0.336039641E-007
   0.13865997412765285E-008   0.000000000E+000  -0.371089683E-007
   0.14174130688604514E-008  -0.145940204E-023  -0.400996072E-007
   0.14482263964443742E-008  -0.955108292E-022  -0.421635136E-007
   0.14790397240282971E-008  -0.291617845E-021  -0.432847358E-007
   0.15098530516122199E-008   0.251265057E-020  -0.434629293E-007
   0.15406663791961428E-008   0.372930082E-019  -0.426916351E-007
   0.15714797067800657E-008   0.301474065E-018  -0.409992857E-007
   0.16022930343639885E-008   0.884317390E-018  -0.382962568E-007
   0.16331063619479114E-008  -0.105915936E-016  -0.349641098E-007
   0.16639196895318342E-008  -0.137520378E-015  -0.312226867E-007
   0.16947330171157571E-008  -0.767585915E-015  -0.272387091E-007
   0.17255463446996799E-008  -0.250593617E-014  -0.231773214E-007
   0.17563596722836028E-008  -0.442310102E-014  -0.192746619E-007
   0.17871729998675256E-008  -0.159204205E-014  -0.156833124E-007
   0.18179863274514485E-008   0.121336741E-013  -0.124567858E-007
   0.18487996550353714E-008  -0.971657867E-012  -0.963682467E-008
   0.18796129826192942E-008  -0.130562410E-010  -0.724516180E-008
   0.19104263102032171E-008  -0.983659942E-011  -0.537624389E-008
   0.19412396377871399E-008   0.872774561E-010  -0.390680732E-008
   0.19720529653710628E-008  -0.140766593E-009  -0.275978151E-008
   0.20028662929549856E-008  -0.433308944E-008  -0.189020510E-008
   0.20336796205389085E-008  -0.921307297E-008  -0.125246991E-008
   0.20644929481228314E-008  -0.311483062E-008  -0.831151981E-009
   0.20953062757067542E-008   0.111695115E-007  -0.540505807E-009
   0.21261196032906771E-008   0.198020409E-007  -0.339478751E-009
   0.21569329308745999E-008   0.185396125E-007  -0.205511053E-009
   0.21877462584585228E-008   0.133070106E-007  -0.119743285E-009
   0.22185595860424456E-008   0.770154607E-008  -0.712259626E-010
   0.22493729136263685E-008   0.155808806E-007  -0.415322984E-010
   0.22801862412102913E-008   0.632223660E-007  -0.231815522E-010
   0.23109995687942142E-008   0.157178988E-006  -0.123832663E-010
   0.23418128963781371E-008   0.291260392E-006  -0.633168908E-011
   0.23726262239620599E-008   0.505370679E-006  -0.338367724E-011
   0.24034395515459828E-008   0.882006248E-006  -0.177243582E-011
   0.24342528791299056E-008   0.150029859E-005  -0.878582363E-012
   0.24650662067138285E-008   0.249731147E-005  -0.413463128E-012
   0.24958795342977513E-008   0.415123850E-005  -0.185178492E-012
   0.25266928618816742E-008   0.680798939E-005  -0.891184506E-013
   0.25575061894655970E-008   0.108521026E-004  -0.420082771E-013
   0.25883195170495199E-008   0.169015184E-004  -0.184774969E-013
   0.26191328446334428E-008   0.259299813E-004  -0.764838395E-014
   0.26499461722173656E-008   0.390910827E-004  -0.299554917E-014
   0.26807594998012885E-008   0.576333405E-004  -0.130138258E-014
   0.27115728273852113E-008   0.830946228E-004  -0.552899909E-015
   0.27423861549691342E-008   0.117439100E-003  -0.215592623E-015
   0.27731994825530570E-008   0.162623153E-003  -0.783734771E-016
   0.28040128101369799E-008   0.220234375E-003  -0.268033038E-016
   0.28348261377209028E-008   0.291364675E-003  -0.105368574E-016
   0.28656394653048256E-008   0.376391457E-003  -0.404063957E-017
   0.28964527928887485E-008   0.474386994E-003  -0.139525817E-017
   0.29272661204726713E-008   0.582321081E-003  -0.444803036E-018
   0.29580794480565942E-008   0.694719260E-003  -0.132656532E-018
   0.29888927756405170E-008   0.803571078E-003  -0.473045625E-019
   0.30197061032244399E-008   0.898047816E-003  -0.163942011E-019
   0.30505194308083627E-008   0.964679522E-003  -0.500743275E-020
   0.30813327583922856E-008   0.988172251E-003   0.000000000E+000
   0.31121460859762085E-008   0.952715985E-003   0.000000000E+000
   0.31429594135601313E-008   0.843619811E-003   0.000000000E+000
   0.31737727411440542E-008   0.649470894E-003   0.000000000E+000
   0.32045860687279770E-008   0.364261388E-003   0.000000000E+000
   0.32353993963118999E-008  -0.107889937E-004   0.000000000E+000
   0.32662127238958227E-008  -0.465567020E-003   0.000000000E+000
   0.32970260514797456E-008  -0.980052864E-003   0.000000000E+000
   0.33278393790636684E-008  -0.152512314E-002   0.000000000E+000
   0.33586527066475913E-008  -0.206464250E-002   0.000000000E+000
   0.33894660342315142E-008  -0.255817408E-002   0.000000000E+000
   0.34202793618154370E-008  -0.296445074E-002   0.000000000E+000
   0.34510926893993599E-008  -0.324581307E-002   0.000000000E+000
   0.34819060169832827E-008  -0.337272789E-002   0.000000000E+000
   0.35127193445672056E-008  -0.332710869E-002   0.000000000E+000
   0.35435326721511284E-008  -0.310418801E-002   0.000000000E+000
   0.35743459997350513E-008  -0.271305395E-002   0.000000000E+000
   0.36051593273189741E-008  -0.217575580E-002   0.000000000E+000
   0.36359726549028970E-008  -0.152500090E-002   0.000000000E+000
   0.36667859824868199E-008  -0.800623326E-003   0.000000000E+000
   0.36975993100707427E-008  -0.451858505E-004   0.000000000E+000
   0.37284126376546656E-008   0.700185832E-003   0.000000000E+000
   0.37592259652385884E-008   0.139887340E-002   0.000000000E+000
   0.37900392928225113E-008   0.202116510E-002   0.000000000E+000
   0.38208526204064341E-008   0.254633557E-002   0.000000000E+000
   0.38516659479903570E-008   0.296328077E-002   0.000000000E+000
   0.38824792755742799E-008   0.326908776E-002   0.000000000E+000
   0.39132926031582027E-008   0.346676586E-002   0.000000000E+000
   0.39441059307421256E-008   0.356317614E-002   0.000000000E+000
   0.39749192583260484E-008   0.356659293E-002   0.000000000E+000
   0.40057325859099713E-008   0.348387240E-002   0.000000000E+000
   0.40365459134938941E-008   0.331859034E-002   0.000000000E+000
   0.40673592410778170E-008   0.307076704E-002   0.000000000E+000
   0.40981725686617398E-008   0.273758941E-002   0.000000000E+000
   0.41289858962456627E-008   0.231495243E-002   0.000000000E+000
   0.41597992238295856E-008   0.180015562E-002   0.000000000E+000
   0.41906125514135084E-008   0.119528221E-002   0.000000000E+000
   0.42214258789974313E-008   0.510356971E-003   0.000000000E+000
   0.42522392065813541E-008  -0.234124425E-003   0.000000000E+000
   0.42830525341652770E-008  -0.100579241E-002   0.000000000E+000
   0.43138658617491998E-008  -0.176106347E-002   0.000000000E+000
   0.43446791893331227E-008  -0.244835415E-002   0.000000000E+000
   0.43754925169170455E-008  -0.301343086E-002   0.000000000E+000
   0.44063058445009684E-008  -0.340614468E-002   0.000000000E+000
   0.44371191720848913E-008  -0.358755467E-002   0.000000000E+000
   0.44679324996688141E-008  -0.353595964E-002   0.000000000E+000
   0.44987458272527370E-008  -0.325051113E-002   0.000000000E+000
   0.45295591548366598E-008  -0.275188591E-002   0.000000000E+000
   0.45603724824205827E-008  -0.208018324E-002   0.000000000E+000
   0.45911858100045055E-008  -0.129061285E-002   0.000000000E+000
   0.46219991375884284E-008  -0.447838625E-003   0.000000000E+000
   0.46528124651723513E-008   0.380339217E-003   0.000000000E+000
   0.46836257927562741E-008   0.112979638E-002   0.000000000E+000
   0.47144391203401970E-008   0.174708478E-002   0.000000000E+000
   0.47452524479241198E-008   0.219569285E-002   0.000000000E+000
   0.47760657755080427E-008   0.246049324E-002   0.000000000E+000
   0.48068791030919655E-008   0.254965667E-002   0.000000000E+000
   0.48376924306758884E-008   0.249308394E-002   0.000000000E+000
   0.48685057582598112E-008   0.233654724E-002   0.000000000E+000
   0.48993190858437341E-008   0.213249796E-002   0.000000000E+000
   0.49301324134276570E-008   0.193046057E-002   0.000000000E+000
   0.49609457410115798E-008   0.176955585E-002   0.000000000E+000
   0.49917590685955027E-008   0.167409226E-002   0.000000000E+000
   0.50225723961794255E-008   0.165229291E-002   0.000000000E+000
   0.50533857237633484E-008   0.169764413E-002   0.000000000E+000
   0.50841990513472712E-008   0.179149839E-002   0.000000000E+000
   0.51150123789311941E-008   0.190552673E-002   0.000000000E+000
   0.51458257065151169E-008   0.200387440E-002   0.000000000E+000
   0.51766390340990398E-008   0.204569846E-002   0.000000000E+000
   0.52074523616829627E-008   0.198883144E-002   0.000000000E+000
   0.52382656892668855E-008   0.179539830E-002   0.000000000E+000
   0.52690790168508084E-008   0.143917231E-002   0.000000000E+000
   0.52998923444347312E-008   0.912067539E-003   0.000000000E+000
   0.53307056720186541E-008   0.226445962E-003   0.000000000E+000
   0.53615189996025769E-008  -0.587398943E-003   0.000000000E+000
   0.53923323271864998E-008  -0.148589106E-002   0.000000000E+000
   0.54231456547704227E-008  -0.241568871E-002   0.000000000E+000
   0.54539589823543455E-008  -0.331521221E-002   0.000000000E+000
   0.54847723099382684E-008  -0.411671493E-002   0.000000000E+000
   0.55155856375221912E-008  -0.475226855E-002   0.000000000E+000
   0.55463989651061141E-008  -0.516365189E-002   0.000000000E+000
   0.55772122926900369E-008  -0.531187141E-002   0.000000000E+000
   0.56080256202739598E-008  -0.518279290E-002   0.000000000E+000
   0.56388389478578826E-008  -0.478928536E-002   0.000000000E+000
   0.56696522754418055E-008  -0.417143758E-002   0.000000000E+000
   0.57004656030257284E-008  -0.339351036E-002   0.000000000E+000
   0.57312789306096512E-008  -0.253502373E-002   0.000000000E+000
   0.57620922581935741E-008  -0.167692814E-002   0.000000000E+000
   0.57929055857774969E-008  -0.888522365E-003   0.000000000E+000
   0.58237189133614198E-008  -0.220178626E-003   0.000000000E+000
   0.58545322409453426E-008   0.299653388E-003   0.000000000E+000
   0.58853455685292655E-008   0.668989785E-003   0.000000000E+000
   0.59161588961131883E-008   0.918242731E-003   0.000000000E+000
   0.59469722236971112E-008   0.110752182E-002   0.000000000E+000
   0.59777855512810341E-008   0.130743010E-002   0.000000000E+000
   0.60085988788649569E-008   0.157228066E-002   0.000000000E+000
   0.60394122064488798E-008   0.192616065E-002   0.000000000E+000
   0.60702255340328026E-008   0.237044273E-002   0.000000000E+000
   0.61010388616167255E-008   0.289638154E-002   0.000000000E+000
   0.61318521892006483E-008   0.347983418E-002   0.000000000E+000
   0.61626655167845712E-008   0.405964721E-002   0.000000000E+000
   0.61934788443684941E-008   0.452971319E-002   0.000000000E+000
   0.62242921719524169E-008   0.476877298E-002   0.000000000E+000
   0.62551054995363398E-008   0.469238404E-002   0.000000000E+000
   0.62859188271202626E-008   0.428295694E-002   0.000000000E+000
   0.63167321547041855E-008   0.357283466E-002   0.000000000E+000
   0.63475454822881083E-008   0.260410202E-002   0.000000000E+000
   0.63783588098720312E-008   0.141345605E-002   0.000000000E+000
   0.64091721374559540E-008   0.608714763E-004   0.000000000E+000
   0.64399854650398769E-008  -0.133405789E-002   0.000000000E+000
   0.64707987926237998E-008  -0.260328827E-002   0.000000000E+000
