t              SphericalCavity.fdtd_Point probe_Ey_50_25_50.dat
   0.00000000000000000E+000   0.000000000E+000
   0.18487995856464323E-010   0.000000000E+000
   0.36975991712928646E-010   0.000000000E+000
   0.55463987569392970E-010   0.000000000E+000
   0.73951983425857293E-010   0.000000000E+000
   0.92439979282321616E-010   0.000000000E+000
   0.11092797513878594E-009   0.000000000E+000
   0.12941597099525026E-009   0.000000000E+000
   0.14790396685171459E-009   0.000000000E+000
   0.16639196270817891E-009   0.000000000E+000
   0.18487995856464323E-009   0.000000000E+000
   0.20336795442110756E-009   0.000000000E+000
   0.22185595027757188E-009   0.000000000E+000
   0.24034394613403620E-009   0.000000000E+000
   0.25883194199050052E-009   0.000000000E+000
   0.27731993784696485E-009   0.000000000E+000
   0.29580793370342917E-009   0.000000000E+000
   0.31429592955989349E-009   0.000000000E+000
   0.33278392541635782E-009   0.000000000E+000
   0.35127192127282214E-009   0.000000000E+000
   0.36975991712928646E-009   0.000000000E+000
   0.38824791298575079E-009   0.000000000E+000
   0.40673590884221511E-009   0.000000000E+000
   0.42522390469867943E-009   0.000000000E+000
   0.44371190055514376E-009   0.000000000E+000
   0.46219989641160808E-009  -0.256544124E-024
   0.48068789226807240E-009  -0.529908517E-023
   0.49917588812453673E-009  -0.621263809E-022
   0.51766388398100105E-009  -0.543221736E-021
   0.53615187983746537E-009  -0.387359957E-020
   0.55463987569392970E-009  -0.234944190E-019
   0.57312787155039402E-009  -0.124542394E-018
   0.59161586740685834E-009  -0.588271465E-018
   0.61010386326332267E-009  -0.251101449E-017
   0.62859185911978699E-009  -0.978977850E-017
   0.64707985497625131E-009  -0.351623361E-016
   0.66556785083271564E-009  -0.117179385E-015
   0.68405584668917996E-009  -0.364489659E-015
   0.70254384254564428E-009  -0.106363060E-014
   0.72103183840210860E-009  -0.292475013E-014
   0.73951983425857293E-009  -0.760805163E-014
   0.75800783011503725E-009  -0.187872518E-013
   0.77649582597150157E-009  -0.441816146E-013
   0.79498382182796590E-009  -0.992415514E-013
   0.81347181768443022E-009  -0.213519713E-012
   0.83195981354089454E-009  -0.441217917E-012
   0.85044780939735887E-009  -0.878019716E-012
   0.86893580525382319E-009  -0.168718446E-011
   0.88742380111028751E-009  -0.313923757E-011
   0.90591179696675184E-009  -0.567176861E-011
   0.92439979282321616E-009  -0.997964385E-011
   0.94288778867968048E-009  -0.171518130E-010
   0.96137578453614481E-009  -0.288803773E-010
   0.97986378039260913E-009  -0.477811991E-010
   0.99835177624907345E-009  -0.778848097E-010
   0.10168397721055378E-008  -0.125381067E-009
   0.10353277679620021E-008  -0.199734479E-009
   0.10538157638184664E-008  -0.315328375E-009
   0.10723037596749307E-008  -0.493844743E-009
   0.10907917555313951E-008  -0.767661157E-009
   0.11092797513878594E-008  -0.118462729E-008
   0.11277677472443237E-008  -0.181470450E-008
   0.11462557431007880E-008  -0.275910050E-008
   0.11647437389572524E-008  -0.416271106E-008
   0.11832317348137167E-008  -0.623091356E-008
   0.12017197306701810E-008  -0.925201959E-008
   0.12202077265266453E-008  -0.136270115E-007
   0.12386957223831097E-008  -0.199083203E-007
   0.12571837182395740E-008  -0.288499660E-007
   0.12756717140960383E-008  -0.414714449E-007
   0.12941597099525026E-008  -0.591375908E-007
   0.13126477058089669E-008  -0.836579943E-007
   0.13311357016654313E-008  -0.117406316E-006
   0.13496236975218956E-008  -0.163463042E-006
   0.13681116933783599E-008  -0.225779672E-006
   0.13865996892348242E-008  -0.309363202E-006
   0.14050876850912886E-008  -0.420472531E-006
