t              SphericalCavity.fdtd_Point probe_Ez_50_25_50.dat
   0.00000000000000000E+000   0.000000000E+000
   0.18487995856464323E-010   0.000000000E+000
   0.36975991712928646E-010   0.000000000E+000
   0.55463987569392970E-010   0.000000000E+000
   0.73951983425857293E-010   0.000000000E+000
   0.92439979282321616E-010   0.000000000E+000
   0.11092797513878594E-009   0.000000000E+000
   0.12941597099525026E-009   0.000000000E+000
   0.14790396685171459E-009   0.000000000E+000
   0.16639196270817891E-009   0.000000000E+000
   0.18487995856464323E-009   0.000000000E+000
   0.20336795442110756E-009   0.000000000E+000
   0.22185595027757188E-009   0.000000000E+000
   0.24034394613403620E-009   0.000000000E+000
   0.25883194199050052E-009   0.000000000E+000
   0.27731993784696485E-009   0.000000000E+000
   0.29580793370342917E-009   0.000000000E+000
   0.31429592955989349E-009   0.000000000E+000
   0.33278392541635782E-009   0.000000000E+000
   0.35127192127282214E-009   0.000000000E+000
   0.36975991712928646E-009   0.000000000E+000
   0.38824791298575079E-009   0.000000000E+000
   0.40673590884221511E-009   0.000000000E+000
   0.42522390469867943E-009   0.000000000E+000
   0.44371190055514376E-009   0.000000000E+000
   0.46219989641160808E-009   0.256544124E-024
   0.48068789226807240E-009   0.650313107E-023
   0.49917588812453673E-009   0.913196302E-022
   0.51766388398100105E-009   0.933690921E-021
   0.53615187983746537E-009   0.768090513E-020
   0.55463987569392970E-009   0.533537505E-019
   0.57312787155039402E-009   0.321742058E-018
   0.59161586740685834E-009   0.171563939E-017
   0.61010386326332267E-009   0.820163309E-017
   0.62859185911978699E-009   0.355451619E-016
   0.64707985497625131E-009   0.140970926E-015
   0.66556785083271564E-009   0.515671594E-015
   0.68405584668917996E-009   0.175146593E-014
   0.70254384254564428E-009   0.555476499E-014
   0.72103183840210860E-009   0.165297429E-013
   0.73951983425857293E-009   0.463480301E-013
   0.75800783011503725E-009   0.122907625E-012
   0.77649582597150157E-009   0.309287752E-012
   0.79498382182796590E-009   0.740815504E-012
   0.81347181768443022E-009   0.169376058E-011
   0.83195981354089454E-009   0.370639543E-011
   0.85044780939735887E-009   0.778271891E-011
   0.86893580525382319E-009   0.157216115E-010
   0.88742380111028751E-009   0.306310914E-010
   0.90591179696675184E-009   0.577122655E-010
   0.92439979282321616E-009   0.105437881E-009
   0.94288778867968048E-009   0.187318272E-009
   0.96137578453614481E-009   0.324561544E-009
   0.97986378039260913E-009   0.550118062E-009
   0.99835177624907345E-009   0.914876008E-009
   0.10168397721055378E-008   0.149716983E-008
   0.10353277679620021E-008   0.241728948E-008
   0.10538157638184664E-008   0.385935683E-008
   0.10723037596749307E-008   0.610377660E-008
   0.10907917555313951E-008   0.957452162E-008
   0.11092797513878594E-008   0.149068260E-007
   0.11277677472443237E-008   0.230425812E-007
   0.11462557431007880E-008   0.353629979E-007
   0.11647437389572524E-008   0.538710232E-007
   0.11832317348137167E-008   0.814398575E-007
   0.12017197306701810E-008   0.122148592E-006
   0.12202077265266453E-008   0.181731195E-006
   0.12386957223831097E-008   0.268171021E-006
   0.12571837182395740E-008   0.392478910E-006
   0.12756717140960383E-008   0.569698614E-006
   0.12941597099525026E-008   0.820187552E-006
   0.13126477058089669E-008   0.117122568E-005
   0.13311357016654313E-008   0.165900099E-005
   0.13496236975218956E-008   0.233101787E-005
   0.13681116933783599E-008   0.324895313E-005
   0.13865996892348242E-008   0.449195522E-005
   0.14050876850912886E-008   0.616032776E-005
   0.14235756809477529E-008   0.837945663E-005
   0.14420636768042172E-008   0.113037531E-004
   0.14605516726606815E-008   0.151202603E-004
