t              TwoCables.fdtd_Probe_Start_Ez_10_25_10.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011  -0.100048203E-005
   0.30813999355588928E-011  -0.266878124E-005
   0.46220999033383392E-011  -0.446941840E-005
   0.61627998711177856E-011  -0.592068045E-005
   0.77034998388972320E-011  -0.678154584E-005
   0.92441998066766784E-011  -0.707965501E-005
   0.10784899774456125E-010  -0.700293140E-005
   0.12325599742235571E-010  -0.675565798E-005
   0.13866299710015018E-010  -0.647495835E-005
   0.15406999677794464E-010  -0.623431515E-005
   0.16947699645573910E-010  -0.609030258E-005
   0.18488399613353357E-010  -0.611013820E-005
   0.20029099581132803E-010  -0.635373362E-005
   0.21569799548912250E-010  -0.683359622E-005
   0.23110499516691696E-010  -0.749493620E-005
   0.24651199484471142E-010  -0.823642222E-005
   0.26191899452250589E-010  -0.895536778E-005
   0.27732599420030035E-010  -0.958397231E-005
   0.29273299387809482E-010  -0.100968309E-004
   0.30813999355588928E-010  -0.104968631E-004
   0.32354699323368374E-010  -0.108010117E-004
   0.33895399291147821E-010  -0.110386909E-004
   0.35436099258927267E-010  -0.112573643E-004
   0.36976799226706714E-010  -0.115205357E-004
   0.38517499194486160E-010  -0.118913840E-004
   0.40058199162265606E-010  -0.124104454E-004
   0.41598899130045053E-010  -0.130824856E-004
   0.43139599097824499E-010  -0.138802980E-004
   0.44680299065603946E-010  -0.147598603E-004
   0.46220999033383392E-010  -0.156748974E-004
   0.47761699001162838E-010  -0.165838737E-004
   0.49302398968942285E-010  -0.174519973E-004
   0.50843098936721731E-010  -0.182548956E-004
   0.52383798904501178E-010  -0.189860693E-004
   0.53924498872280624E-010  -0.196630481E-004
   0.55465198840060070E-010  -0.203254513E-004
   0.57005898807839517E-010  -0.210236994E-004
   0.58546598775618963E-010  -0.218042551E-004
   0.60087298743398410E-010  -0.226991688E-004
   0.61627998711177856E-010  -0.237231070E-004
   0.63168698678957302E-010  -0.248751094E-004
   0.64709398646736749E-010  -0.261407185E-004
   0.66250098614516195E-010  -0.274933682E-004
   0.67790798582295642E-010  -0.288976971E-004
   0.69331498550075088E-010  -0.303172146E-004
   0.70872198517854534E-010  -0.317247541E-004
   0.72412898485633981E-010  -0.331107185E-004
   0.73953598453413427E-010  -0.344848668E-004
   0.75494298421192874E-010  -0.358717589E-004
   0.77034998388972320E-010  -0.373035582E-004
   0.78575698356751766E-010  -0.388139524E-004
   0.80116398324531213E-010  -0.404338643E-004
   0.81657098292310659E-010  -0.421873738E-004
   0.83197798260090106E-010  -0.440868971E-004
   0.84738498227869552E-010  -0.461294221E-004
   0.86279198195648998E-010  -0.482968935E-004
   0.87819898163428445E-010  -0.505618846E-004
   0.89360598131207891E-010  -0.528963210E-004
   0.90901298098987338E-010  -0.552792371E-004
   0.92441998066766784E-010  -0.577007995E-004
   0.93982698034546230E-010  -0.601630381E-004
   0.95523398002325677E-010  -0.626791298E-004
   0.97064097970105123E-010  -0.652722811E-004
   0.98604797937884570E-010  -0.679732912E-004
   0.10014549790566402E-009  -0.708154184E-004
   0.10168619787344346E-009  -0.738272356E-004
   0.10322689784122291E-009  -0.770261322E-004
   0.10476759780900236E-009  -0.804155861E-004
   0.10630829777678180E-009  -0.839869899E-004
   0.10784899774456125E-009  -0.877243074E-004
   0.10938969771234069E-009  -0.916090867E-004
   0.11093039768012014E-009  -0.956244403E-004
   0.11247109764789959E-009  -0.997585958E-004
   0.11401179761567903E-009  -0.104008519E-003
   0.11555249758345848E-009  -0.108383014E-003
   0.11709319755123793E-009  -0.112903210E-003
   0.11863389751901737E-009  -0.117599338E-003
   0.12017459748679682E-009  -0.122504585E-003
   0.12171529745457627E-009  -0.127648585E-003
   0.12325599742235571E-009  -0.133053007E-003
   0.12479669739013516E-009  -0.138729956E-003
   0.12633739735791460E-009  -0.144682170E-003
   0.12787809732569405E-009  -0.150904132E-003
   0.12941879729347350E-009  -0.157384173E-003
   0.13095949726125294E-009  -0.164108191E-003
   0.13250019722903239E-009  -0.171065127E-003
   0.13404089719681184E-009  -0.178252361E-003
   0.13558159716459128E-009  -0.185679062E-003
   0.13712229713237073E-009  -0.193365966E-003
   0.13866299710015018E-009  -0.201342307E-003
   0.14020369706792962E-009  -0.209641701E-003
   0.14174439703570907E-009  -0.218298010E-003
   0.14328509700348852E-009  -0.227342010E-003
   0.14482579697126796E-009  -0.236797991E-003
   0.14636649693904741E-009  -0.246681127E-003
   0.14790719690682685E-009  -0.256996311E-003
   0.14944789687460630E-009  -0.267739990E-003
   0.15098859684238575E-009  -0.278904539E-003
   0.15252929681016519E-009  -0.290483935E-003
   0.15406999677794464E-009  -0.302478555E-003
   0.15561069674572409E-009  -0.314898440E-003
   0.15715139671350353E-009  -0.327764370E-003
   0.15869209668128298E-009  -0.341107603E-003
   0.16023279664906243E-009  -0.354968040E-003
   0.16177349661684187E-009  -0.369390298E-003
   0.16331419658462132E-009  -0.384418003E-003
   0.16485489655240076E-009  -0.400087476E-003
   0.16639559652018021E-009  -0.416423194E-003
   0.16793629648795966E-009  -0.433437148E-003
   0.16947699645573910E-009  -0.451132335E-003
   0.17101769642351855E-009  -0.469508959E-003
   0.17255839639129800E-009  -0.488571241E-003
   0.17409909635907744E-009  -0.508332392E-003
   0.17563979632685689E-009  -0.528817531E-003
   0.17718049629463634E-009  -0.550062687E-003
   0.17872119626241578E-009  -0.572111341E-003
   0.18026189623019523E-009  -0.595008954E-003
   0.18180259619797468E-009  -0.618798076E-003
   0.18334329616575412E-009  -0.643515959E-003
   0.18488399613353357E-009  -0.669196481E-003
   0.18642469610131301E-009  -0.695874565E-003
   0.18796539606909246E-009  -0.723590318E-003
   0.18950609603687191E-009  -0.752389838E-003
   0.19104679600465135E-009  -0.782321033E-003
   0.19258749597243080E-009  -0.813426799E-003
   0.19412819594021025E-009  -0.845738803E-003
   0.19566889590798969E-009  -0.879276777E-003
   0.19720959587576914E-009  -0.914054108E-003
   0.19875029584354859E-009  -0.950087619E-003
   0.20029099581132803E-009  -0.987409265E-003
   0.20183169577910748E-009  -0.102607382E-002
   0.20337239574688692E-009  -0.106615992E-002
   0.20491309571466637E-009  -0.110776315E-002
   0.20645379568244582E-009  -0.115098245E-002
   0.20799449565022526E-009  -0.119590573E-002
   0.20953519561800471E-009  -0.124259829E-002
   0.21107589558578416E-009  -0.129110029E-002
   0.21261659555356360E-009  -0.134143361E-002
   0.21415729552134305E-009  -0.139361527E-002
   0.21569799548912250E-009  -0.144767191E-002
   0.21723869545690194E-009  -0.150365115E-002
   0.21877939542468139E-009  -0.156162528E-002
   0.22032009539246084E-009  -0.162168802E-002
   0.22186079536024028E-009  -0.168394658E-002
   0.22340149532801973E-009  -0.174851180E-002
   0.22494219529579917E-009  -0.181549147E-002
   0.22648289526357862E-009  -0.188498525E-002
   0.22802359523135807E-009  -0.195708452E-002
   0.22956429519913751E-009  -0.203187345E-002
   0.23110499516691696E-009  -0.210943073E-002
   0.23264569513469641E-009  -0.218982971E-002
   0.23418639510247585E-009  -0.227314048E-002
   0.23572709507025530E-009  -0.235943380E-002
   0.23726779503803475E-009  -0.244878931E-002
   0.23880849500581419E-009  -0.254130433E-002
   0.24034919497359364E-009  -0.263710134E-002
   0.24188989494137308E-009  -0.273632654E-002
   0.24343059490915253E-009  -0.283913943E-002
   0.24497129487693198E-009  -0.294569787E-002
   0.24651199484471142E-009  -0.305614434E-002
   0.24805269481249087E-009  -0.317060179E-002
   0.24959339478027032E-009  -0.328918151E-002
   0.25113409474804976E-009  -0.341199501E-002
   0.25267479471582921E-009  -0.353916641E-002
   0.25421549468360866E-009  -0.367083447E-002
   0.25575619465138810E-009  -0.380714936E-002
   0.25729689461916755E-009  -0.394826615E-002
   0.25883759458694700E-009  -0.409434177E-002
   0.26037829455472644E-009  -0.424553920E-002
   0.26191899452250589E-009  -0.440203538E-002
   0.26345969449028533E-009  -0.456402451E-002
   0.26500039445806478E-009  -0.473171426E-002
   0.26654109442584423E-009  -0.490531605E-002
   0.26808179439362367E-009  -0.508503336E-002
   0.26962249436140312E-009  -0.527105760E-002
   0.27116319432918257E-009  -0.546357501E-002
   0.27270389429696201E-009  -0.566277746E-002
   0.27424459426474146E-009  -0.586887356E-002
   0.27578529423252091E-009  -0.608209008E-002
   0.27732599420030035E-009  -0.630266592E-002
   0.27886669416807980E-009  -0.653084507E-002
