 f_at_0.19962166936809966E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009  -0.157079637E+001   0.000000000E+000                NaN                NaN                NaN                NaN   0.155808079E+001                NaN
   0.30000000000000000E+009  -0.149024272E+001   0.000000000E+000   0.154360018E-009  -0.182350498E-001   0.157074895E-010  -0.206750581E-001   0.144409859E+001   0.138751125E+001
   0.30000000000000000E+009  -0.140968907E+001   0.000000000E+000   0.147424023E-009   0.590571877E+000   0.171839911E-010   0.634130025E+000   0.130879045E+001   0.126966846E+001
   0.30000000000000000E+009  -0.132913542E+001   0.000000000E+000   0.138976638E-009   0.124588493E+001   0.201525802E-010   0.142798956E+001   0.115775073E+001   0.113661611E+001
   0.30000000000000000E+009  -0.124858177E+001   0.000000000E+000   0.129117262E-009   0.194870470E+001   0.258566236E-010   0.229187390E+001   0.100441444E+001   0.999396563E+000
   0.30000000000000000E+009  -0.116802812E+001   0.000000000E+000   0.118345770E-009   0.270151995E+001   0.349450728E-010  -0.313582063E+001   0.869934022E+000   0.877614617E+000
   0.30000000000000000E+009  -0.108747447E+001   0.000000000E+000   0.107685711E-009  -0.277623402E+001   0.464596015E-010  -0.231961282E+001   0.775996506E+000   0.792764664E+000
   0.30000000000000000E+009  -0.100692081E+001   0.000000000E+000   0.986315226E-010  -0.191982099E+001   0.577186965E-010  -0.153772428E+001   0.729340732E+000   0.752703011E+000
   0.30000000000000000E+009  -0.926367164E+000   0.000000000E+000   0.927122181E-010  -0.102598941E+001   0.648098144E-010  -0.779221345E+000   0.708218157E+000   0.737501085E+000
   0.30000000000000000E+009  -0.845813513E+000   0.000000000E+000   0.906856264E-010  -0.124019090E+000   0.635791599E-010  -0.382060266E-001   0.670754850E+000   0.706972837E+000
   0.30000000000000000E+009  -0.765259862E+000   0.000000000E+000   0.920286105E-010   0.751805961E+000   0.510244859E-010   0.682955392E+000   0.593133926E+000   0.638188481E+000
   0.30000000000000000E+009  -0.684706211E+000   0.000000000E+000   0.954106168E-010   0.157906908E+001   0.266877588E-010   0.135121611E+001   0.510226607E+000   0.565720499E+000
   0.30000000000000000E+009  -0.604152560E+000   0.000000000E+000   0.996444967E-010   0.235170065E+001   0.768265704E-011  -0.546494012E+000   0.509785414E+000   0.575670004E+000
   0.30000000000000000E+009  -0.523598909E+000   0.000000000E+000   0.104172284E-009   0.307395251E+001   0.440848122E-010  -0.193022840E+000   0.664039493E+000   0.737470448E+000
   0.30000000000000000E+009  -0.443045259E+000   0.000000000E+000   0.108921331E-009  -0.252894506E+001   0.769974003E-010   0.457262559E+000   0.950357080E+000   0.102548385E+001
   0.30000000000000000E+009  -0.362491608E+000   0.000000000E+000   0.113898915E-009  -0.188194350E+001   0.987580635E-010   0.110700718E+001   0.124051189E+001   0.130983984E+001
   0.30000000000000000E+009  -0.281937957E+000   0.000000000E+000   0.118887023E-009  -0.126198359E+001   0.104191623E-009   0.173778706E+001   0.138324559E+001   0.144032180E+001
   0.30000000000000000E+009  -0.201384306E+000   0.000000000E+000   0.123386578E-009  -0.666632051E+000   0.914472968E-010   0.234249315E+001   0.131732178E+001   0.135944927E+001
   0.30000000000000000E+009  -0.120830648E+000   0.000000000E+000   0.126755606E-009  -0.969647558E-001   0.623752204E-010   0.291615061E+001   0.112081349E+001   0.115027690E+001
   0.30000000000000000E+009  -0.402769893E-001   0.000000000E+000   0.128409289E-009   0.443878300E+000   0.220709455E-010  -0.282987465E+001   0.955299914E+000   0.978430927E+000
   0.30000000000000000E+009   0.402766690E-001   0.000000000E+000   0.127990164E-009   0.952222899E+000   0.221996295E-010   0.818582135E+000   0.947989106E+000   0.972565472E+000
   0.30000000000000000E+009   0.120830327E+000   0.000000000E+000   0.125471003E-009   0.142476833E+001   0.624201177E-010   0.127549443E+001   0.109976566E+001   0.113192511E+001
   0.30000000000000000E+009   0.201383978E+000   0.000000000E+000   0.121175595E-009   0.185860486E+001   0.913514142E-010   0.168925286E+001   0.128542960E+001   0.132727396E+001
   0.30000000000000000E+009   0.281937629E+000   0.000000000E+000   0.115706216E-009   0.225032506E+001   0.103943671E-009   0.205584411E+001   0.134563982E+001   0.139433968E+001
   0.30000000000000000E+009   0.362491280E+000   0.000000000E+000   0.109776689E-009   0.259442501E+001   0.983960361E-010   0.237307483E+001   0.120384657E+001   0.125258338E+001
   0.30000000000000000E+009   0.443044931E+000   0.000000000E+000   0.103987223E-009   0.288173946E+001   0.765914762E-010   0.264023283E+001   0.920837641E+000   0.961343288E+000
   0.30000000000000000E+009   0.523598611E+000   0.000000000E+000   0.986496810E-010   0.309910166E+001   0.436930819E-010   0.286279754E+001   0.645189703E+000   0.670930386E+000
   0.30000000000000000E+009   0.604152262E+000   0.000000000E+000   0.938199165E-010  -0.305219861E+001   0.700021205E-011  -0.307737685E+001   0.501568019E+000   0.510145545E+000
   0.30000000000000000E+009   0.684705913E+000   0.000000000E+000   0.896033463E-010  -0.302045981E+001   0.266849902E-010  -0.136202309E+000   0.510154307E+000   0.503786504E+000
   0.30000000000000000E+009   0.765259564E+000   0.000000000E+000   0.865691928E-010  -0.309817243E+001   0.510728171E-010  -0.791746463E-001   0.598253965E+000   0.582275569E+000
   0.30000000000000000E+009   0.845813215E+000   0.000000000E+000   0.858875148E-010   0.300065108E+001   0.637314640E-010  -0.108240265E+000   0.678797603E+000   0.659260273E+000
   0.30000000000000000E+009   0.926366866E+000   0.000000000E+000   0.888237866E-010   0.273024759E+001   0.651297740E-010  -0.209584703E+000   0.717431664E+000   0.699212730E+000
   0.30000000000000000E+009   0.100692058E+001   0.000000000E+000   0.958095669E-010   0.240565312E+001   0.581855681E-010  -0.385139664E+000   0.737988830E+000   0.724196792E+000
   0.30000000000000000E+009   0.108747423E+001   0.000000000E+000   0.106043673E-009   0.205181191E+001   0.469132393E-010  -0.641222328E+000   0.782488167E+000   0.774978578E+000
   0.30000000000000000E+009   0.116802788E+001   0.000000000E+000   0.118017339E-009   0.167759758E+001   0.350672463E-010  -0.987412487E+000   0.873412848E+000   0.873633444E+000
   0.30000000000000000E+009   0.124858153E+001   0.000000000E+000   0.130247409E-009   0.128118407E+001   0.252362684E-010  -0.143237785E+001   0.100503671E+001   0.101446402E+001
   0.30000000000000000E+009   0.132913518E+001   0.000000000E+000   0.141651416E-009   0.857844680E+000   0.185309654E-010  -0.196762329E+001   0.115635633E+001   0.117626309E+001
   0.30000000000000000E+009   0.140968883E+001   0.000000000E+000   0.151600470E-009   0.403922768E+000   0.147569857E-010  -0.254398437E+001   0.130637634E+001   0.133717966E+001
   0.30000000000000000E+009   0.149024248E+001   0.000000000E+000   0.159837893E-009  -0.821613651E-001   0.130231676E-010  -0.308758547E+001   0.144157481E+001   0.148226547E+001
   0.30000000000000000E+009   0.157079613E+001   0.000000000E+000   0.166371482E-009  -0.600150339E+000   0.125642515E-010   0.272902295E+001   0.155635476E+001   0.160442913E+001
   0.30000000000000000E+009   0.157079637E+001   0.000000000E+000   0.166371484E-009  -0.600151824E+000   0.125642509E-010   0.272902222E+001   0.155635476E+001   0.160442913E+001
