 f_at_0.19967038522583636E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.000000000E+000   0.000000000E+000                NaN                NaN                NaN                NaN   0.109179268E+002                NaN
   0.30000000000000000E+009   0.000000000E+000   0.805536583E-001   0.434233146E-009   0.604156890E+000   0.350544366E-010  -0.253741733E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.161107317E+000   0.430004330E-009   0.604156769E+000   0.698820176E-010  -0.253742655E+001   0.109179258E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.241660982E+000   0.422986815E-009   0.604156645E+000   0.104256389E-009  -0.253742965E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.322214633E+000   0.413226041E-009   0.604156516E+000   0.137954614E-009  -0.253743122E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.402768284E+000   0.400785340E-009   0.604156379E+000   0.170758147E-009  -0.253743217E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.483321935E+000   0.385745391E-009   0.604156233E+000   0.202454251E-009  -0.253743283E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.563875616E+000   0.368203748E-009   0.604156074E+000   0.232837373E-009  -0.253743331E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.644429266E+000   0.348274146E-009   0.604155898E+000   0.261710442E-009  -0.253743368E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.724982917E+000   0.326085870E-009   0.604155700E+000   0.288886212E-009  -0.253743398E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.805536568E+000   0.301782776E-009   0.604155470E+000   0.314188448E-009  -0.253743422E+001   0.109179268E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.886090219E+000   0.275522532E-009   0.604155199E+000   0.337453069E-009  -0.253743444E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.966643870E+000   0.247475400E-009   0.604154867E+000   0.358529156E-009  -0.253743462E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.104719758E+001   0.217823288E-009   0.604154449E+000   0.377280074E-009  -0.253743479E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.112775123E+001   0.186758530E-009   0.604153894E+000   0.393584144E-009  -0.253743494E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.120830488E+001   0.154482562E-009   0.604153111E+000   0.407335706E-009  -0.253743508E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.128885853E+001   0.121204725E-009   0.604151905E+000   0.418445515E-009  -0.253743522E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.136941218E+001   0.871408202E-010   0.604149768E+000   0.426841538E-009  -0.253743534E+001   0.109179258E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.144996583E+001   0.525117771E-010   0.604144833E+000   0.432469351E-009  -0.253743546E+001   0.109179268E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.153051949E+001   0.175421753E-010   0.604120323E+000   0.435292443E-009  -0.253743558E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.161107314E+001   0.175411939E-010  -0.253739896E+001   0.435292482E-009  -0.253743570E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.169162679E+001   0.525108020E-010  -0.253742347E+001   0.432469468E-009  -0.253743582E+001   0.109179268E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.177218044E+001   0.871398576E-010  -0.253742840E+001   0.426841732E-009  -0.253743595E+001   0.109179258E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.185273409E+001   0.121203781E-009  -0.253743054E+001   0.418445785E-009  -0.253743607E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.193328774E+001   0.154481643E-009  -0.253743175E+001   0.407336050E-009  -0.253743620E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.201384139E+001   0.186757642E-009  -0.253743253E+001   0.393584559E-009  -0.253743635E+001   0.109179268E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.209439516E+001   0.217822488E-009  -0.253743308E+001   0.377280533E-009  -0.253743650E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.217494893E+001   0.247474654E-009  -0.253743350E+001   0.358529655E-009  -0.253743666E+001   0.109179258E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.225550270E+001   0.275521859E-009  -0.253743383E+001   0.337453604E-009  -0.253743685E+001   0.109179268E+002   0.109385548E+002
