t              SphereRCS.fdtd_Point probe_Ex_50_50_13.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.440502052E-009   0.000000000E+000
   0.21569331737358866E-009   0.348758888E-008   0.000000000E+000
   0.24650664842695846E-009   0.152427582E-007   0.000000000E+000
   0.27731997948032827E-009   0.490494934E-007   0.000000000E+000
   0.30813331053369808E-009   0.132396593E-006   0.543364251E-007
   0.33894664158706789E-009   0.323388520E-006   0.130312770E-006
   0.36975997264043770E-009   0.745451985E-006   0.323846649E-006
   0.40057330369380750E-009   0.165031270E-005   0.760842340E-006
   0.43138663474717731E-009   0.352813686E-005   0.168002202E-005
   0.46219996580054712E-009   0.733522756E-005   0.345464150E-005
   0.49301329685391693E-009   0.149535636E-004   0.736913944E-005
   0.52382662790728673E-009   0.299863023E-004   0.160410582E-004
   0.55463995896065654E-009   0.589481060E-004   0.332269738E-004
   0.58545329001402635E-009   0.113011658E-003   0.653353054E-004
   0.61626662106739616E-009   0.211149149E-003   0.121570214E-003
   0.64707995212076597E-009   0.385749678E-003   0.230606602E-003
   0.67789328317413577E-009   0.690968940E-003   0.440436852E-003
   0.70870661422750558E-009   0.121284369E-002   0.805525400E-003
   0.73951994528087539E-009   0.208075996E-002   0.141094124E-002
   0.77033327633424520E-009   0.348466332E-002   0.236808578E-002
   0.80114660738761501E-009   0.570230372E-002   0.399364019E-002
   0.83195993844098481E-009   0.913238060E-002   0.670462381E-002
   0.86277326949435462E-009   0.143202990E-001   0.108426837E-001
   0.89358660054772443E-009   0.219669640E-001   0.169194657E-001
   0.92439993160109424E-009   0.329320692E-001   0.255347174E-001
   0.95521326265446405E-009   0.482437685E-001   0.382758118E-001
   0.98602659370783385E-009   0.690979585E-001   0.565968901E-001
   0.10168399247612037E-008   0.968052968E-001   0.810457245E-001
   0.10476532558145735E-008   0.132660747E+000   0.112656720E+000
   0.10784665868679433E-008   0.177761748E+000   0.152419314E+000
   0.11092799179213131E-008   0.232824162E+000   0.203027412E+000
   0.11400932489746829E-008   0.298023015E+000   0.264987141E+000
   0.11709065800280527E-008   0.372852564E+000   0.336443782E+000
   0.12017199110814225E-008   0.455993354E+000   0.416465968E+000
   0.12325332421347923E-008   0.545186043E+000   0.503646910E+000
   0.12633465731881621E-008   0.637157559E+000   0.596037030E+000
   0.12941599042415319E-008   0.727696180E+000   0.688264251E+000
   0.13249732352949017E-008   0.811961174E+000   0.775755644E+000
