t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.00000000000000000E+000   0.000000000E+000
   0.18487995856464323E-010   0.000000000E+000
   0.36975991712928646E-010   0.000000000E+000
   0.55463987569392970E-010   0.000000000E+000
   0.73951983425857293E-010   0.000000000E+000
   0.92439979282321616E-010   0.000000000E+000
   0.11092797513878594E-009   0.000000000E+000
   0.12941597099525026E-009   0.000000000E+000
   0.14790396685171459E-009   0.000000000E+000
   0.16639196270817891E-009   0.000000000E+000
   0.18487995856464323E-009   0.000000000E+000
   0.20336795442110756E-009   0.000000000E+000
   0.22185595027757188E-009   0.000000000E+000
   0.24034394613403620E-009   0.000000000E+000
   0.25883194199050052E-009   0.000000000E+000
   0.27731993784696485E-009   0.000000000E+000
   0.29580793370342917E-009   0.000000000E+000
   0.31429592955989349E-009   0.000000000E+000
   0.33278392541635782E-009   0.000000000E+000
   0.35127192127282214E-009   0.000000000E+000
   0.36975991712928646E-009   0.000000000E+000
   0.38824791298575079E-009   0.000000000E+000
   0.40673590884221511E-009   0.000000000E+000
   0.42522390469867943E-009   0.000000000E+000
   0.44371190055514376E-009   0.000000000E+000
   0.46219989641160808E-009   0.000000000E+000
   0.48068789226807240E-009   0.547293885E-025
   0.49917588812453673E-009   0.877986016E-024
   0.51766388398100105E-009   0.772620626E-023
   0.53615187983746537E-009   0.517114542E-022
   0.55463987569392970E-009   0.295595748E-021
   0.57312787155039402E-009   0.150229893E-020
   0.59161586740685834E-009   0.691517338E-020
   0.61010386326332267E-009   0.291550147E-019
   0.62859185911978699E-009   0.113234977E-018
   0.64707985497625131E-009   0.406684305E-018
   0.66556785083271564E-009   0.135713517E-017
   0.68405584668917996E-009   0.423201483E-017
   0.70254384254564428E-009   0.123974224E-016
   0.72103183840210860E-009   0.342686369E-016
   0.73951983425857293E-009   0.897159166E-016
   0.75800783011503725E-009   0.223190482E-015
   0.77649582597150157E-009   0.529190663E-015
   0.79498382182796590E-009   0.119925021E-014
   0.81347181768443022E-009   0.260458290E-014
   0.83195981354089454E-009   0.543569968E-014
   0.85044780939735887E-009   0.109290959E-013
   0.86893580525382319E-009   0.212236743E-013
   0.88742380111028751E-009   0.399108067E-013
   0.90591179696675184E-009   0.728710983E-013
   0.92439979282321616E-009   0.129538822E-012
   0.94288778867968048E-009   0.224817425E-012
   0.96137578453614481E-009   0.381998984E-012
   0.97986378039260913E-009   0.637244164E-012
   0.99835177624907345E-009   0.104641025E-011
   0.10168397721055378E-008   0.169535176E-011
   0.10353277679620021E-008   0.271564585E-011
   0.10538157638184664E-008   0.430772822E-011
   0.10723037596749307E-008   0.677482072E-011
   0.10907917555313951E-008   0.105716599E-010
   0.11092797513878594E-008   0.163738224E-010
   0.11277677472443237E-008   0.251743817E-010
   0.11462557431007880E-008   0.384180673E-010
   0.11647437389572524E-008   0.581880898E-010
   0.11832317348137167E-008   0.874537387E-010
   0.12017197306701810E-008   0.130406574E-009
   0.12202077265266453E-008   0.192909688E-009
   0.12386957223831097E-008   0.283087276E-009
   0.12571837182395740E-008   0.412092138E-009
   0.12756717140960383E-008   0.595093419E-009
   0.12941597099525026E-008   0.852539928E-009
   0.13126477058089669E-008   0.121166266E-008
   0.13311357016654313E-008   0.170850978E-008
   0.13496236975218956E-008   0.239016074E-008
   0.13681116933783599E-008   0.331742189E-008
   0.13865996892348242E-008   0.456800198E-008
   0.14050876850912886E-008   0.623984331E-008
   0.14235756809477529E-008   0.845515657E-008
   0.14420636768042172E-008   0.113638094E-007
   0.14605516726606815E-008   0.151458579E-007
