 f_at_0.19962166936809966E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009  -0.157079637E+001   0.000000000E+000                NaN                NaN                NaN                NaN   0.155808008E+001                NaN
   0.30000000000000000E+009  -0.149024272E+001   0.000000000E+000   0.154359978E-009  -0.182349690E-001   0.157074878E-010  -0.206751783E-001   0.144409788E+001   0.138751054E+001
   0.30000000000000000E+009  -0.140968907E+001   0.000000000E+000   0.147423986E-009   0.590571954E+000   0.171839895E-010   0.634129960E+000   0.130878985E+001   0.126966786E+001
   0.30000000000000000E+009  -0.132913542E+001   0.000000000E+000   0.138976607E-009   0.124588500E+001   0.201525789E-010   0.142798956E+001   0.115775025E+001   0.113661551E+001
   0.30000000000000000E+009  -0.124858177E+001   0.000000000E+000   0.129117237E-009   0.194870476E+001   0.258566230E-010   0.229187394E+001   0.100441408E+001   0.999396145E+000
   0.30000000000000000E+009  -0.116802812E+001   0.000000000E+000   0.118345751E-009   0.270152000E+001   0.349450730E-010  -0.313582058E+001   0.869933784E+000   0.877614379E+000
   0.30000000000000000E+009  -0.108747447E+001   0.000000000E+000   0.107685698E-009  -0.277623399E+001   0.464596025E-010  -0.231961278E+001   0.775996387E+000   0.792764485E+000
   0.30000000000000000E+009  -0.100692081E+001   0.000000000E+000   0.986315129E-010  -0.191982097E+001   0.577186981E-010  -0.153772425E+001   0.729340613E+000   0.752702951E+000
   0.30000000000000000E+009  -0.926367164E+000   0.000000000E+000   0.927122097E-010  -0.102598938E+001   0.648098160E-010  -0.779221316E+000   0.708218038E+000   0.737501025E+000
   0.30000000000000000E+009  -0.845813513E+000   0.000000000E+000   0.906856182E-010  -0.124019039E+000   0.635791612E-010  -0.382060036E-001   0.670754731E+000   0.706972778E+000
   0.30000000000000000E+009  -0.765259862E+000   0.000000000E+000   0.920286028E-010   0.751806057E+000   0.510244867E-010   0.682955405E+000   0.593133867E+000   0.638188422E+000
   0.30000000000000000E+009  -0.684706211E+000   0.000000000E+000   0.954106101E-010   0.157906922E+001   0.266877591E-010   0.135121610E+001   0.510226548E+000   0.565720439E+000
   0.30000000000000000E+009  -0.604152560E+000   0.000000000E+000   0.996444910E-010   0.235170082E+001   0.768265790E-011  -0.546493830E+000   0.509785354E+000   0.575669944E+000
   0.30000000000000000E+009  -0.523598909E+000   0.000000000E+000   0.104172278E-009   0.307395268E+001   0.440848129E-010  -0.193022778E+000   0.664039433E+000   0.737470388E+000
   0.30000000000000000E+009  -0.443045259E+000   0.000000000E+000   0.108921326E-009  -0.252894490E+001   0.769974008E-010   0.457262606E+000   0.950357020E+000   0.102548385E+001
   0.30000000000000000E+009  -0.362491608E+000   0.000000000E+000   0.113898909E-009  -0.188194337E+001   0.987580639E-010   0.110700722E+001   0.124051189E+001   0.130983984E+001
   0.30000000000000000E+009  -0.281937957E+000   0.000000000E+000   0.118887017E-009  -0.126198350E+001   0.104191623E-009   0.173778710E+001   0.138324547E+001   0.144032168E+001
   0.30000000000000000E+009  -0.201384306E+000   0.000000000E+000   0.123386572E-009  -0.666631993E+000   0.914472969E-010   0.234249319E+001   0.131732178E+001   0.135944915E+001
   0.30000000000000000E+009  -0.120830648E+000   0.000000000E+000   0.126755601E-009  -0.969647160E-001   0.623752206E-010   0.291615064E+001   0.112081337E+001   0.115027678E+001
   0.30000000000000000E+009  -0.402769893E-001   0.000000000E+000   0.128409285E-009   0.443878341E+000   0.220709458E-010  -0.282987462E+001   0.955299854E+000   0.978430808E+000
   0.30000000000000000E+009   0.402766690E-001   0.000000000E+000   0.127990161E-009   0.952222960E+000   0.221996290E-010   0.818582171E+000   0.947989047E+000   0.972565472E+000
   0.30000000000000000E+009   0.120830327E+000   0.000000000E+000   0.125471002E-009   0.142476843E+001   0.624201173E-010   0.127549447E+001   0.109976566E+001   0.113192511E+001
   0.30000000000000000E+009   0.201383978E+000   0.000000000E+000   0.121175596E-009   0.185860501E+001   0.913514140E-010   0.168925289E+001   0.128542960E+001   0.132727408E+001
   0.30000000000000000E+009   0.281937629E+000   0.000000000E+000   0.115706220E-009   0.225032527E+001   0.103943672E-009   0.205584415E+001   0.134563982E+001   0.139433968E+001
