t              noda2002.fdtd_Bulk_probe_Jz_23_23_4__24_24_4.dat
   0.00000000000000000E+000   0.000000000E+000
   0.77033303347295856E-010   0.114093057E-002
   0.15406660669459171E-009   0.253491546E-002
   0.23109991004188757E-009   0.320965145E-002
   0.30813321338918342E-009   0.361623615E-002
   0.38516651673647928E-009   0.418966031E-002
   0.46219982008377514E-009   0.464176806E-002
   0.53923312343107099E-009   0.494609028E-002
   0.61626642677836685E-009   0.528403372E-002
   0.69329973012566271E-009   0.560598820E-002
   0.77033303347295856E-009   0.576938409E-002
   0.84736633682025442E-009   0.583534827E-002
   0.92439964016755027E-009   0.596823031E-002
   0.10014329435148461E-008   0.622738432E-002
   0.10784662468621420E-008   0.649393443E-002
   0.11554995502094378E-008   0.679144077E-002
   0.12325328535567337E-008   0.804585218E-002
   0.13095661569040296E-008   0.101982960E-001
   0.13865994602513254E-008   0.123393908E-001
   0.14636327635986213E-008   0.141795957E-001
   0.15406660669459171E-008   0.160210300E-001
   0.16176993702932130E-008   0.177939013E-001
   0.16947326736405088E-008   0.190037005E-001
   0.17717659769878047E-008   0.198500697E-001
   0.18487992803351005E-008   0.208037347E-001
   0.19258325836823964E-008   0.218526125E-001
   0.20028658870296923E-008   0.227996036E-001
   0.20798991903769881E-008   0.236966610E-001
   0.21569324937242840E-008   0.246826597E-001
   0.22339657970715798E-008   0.257739127E-001
   0.23109991004188757E-008   0.276087970E-001
   0.23880324037661715E-008   0.300864838E-001
   0.24650657071134674E-008   0.326458924E-001
   0.25420990104607633E-008   0.351308286E-001
   0.26191323138080591E-008   0.375332795E-001
   0.26961656171553550E-008   0.397815146E-001
   0.27731989205026508E-008   0.421837047E-001
   0.28502322238499467E-008   0.448951945E-001
   0.29272655271972425E-008   0.476486459E-001
   0.30042988305445384E-008   0.502450094E-001
   0.30813321338918342E-008   0.527224243E-001
   0.31583654372391301E-008   0.551340207E-001
   0.32353987405864260E-008   0.575035512E-001
   0.33124320439337218E-008   0.598522052E-001
   0.33894653472810177E-008   0.622023158E-001
   0.34664986506283135E-008   0.645489544E-001
   0.35435319539756094E-008   0.668677166E-001
   0.36205652573229052E-008   0.690916255E-001
   0.36975985606702011E-008   0.712320432E-001
   0.37746318640174970E-008   0.736823156E-001
   0.38516651673647928E-008   0.765209273E-001
   0.39286984707120887E-008   0.793919861E-001
   0.40057317740593845E-008   0.821553543E-001
   0.40827650774066804E-008   0.853023380E-001
   0.41597983807539762E-008   0.891544521E-001
   0.42368316841012721E-008   0.932852626E-001
   0.43138649874485679E-008   0.973617733E-001
   0.43908982907958638E-008   0.100824386E+000
   0.44679315941431597E-008   0.102318853E+000
   0.45449648974904555E-008   0.102334529E+000
   0.46219982008377514E-008   0.102317140E+000
   0.46990315041850472E-008   0.102681883E+000
   0.47760648075323431E-008   0.103198051E+000
   0.48530981108796389E-008   0.103863589E+000
   0.49301314142269348E-008   0.104611687E+000
   0.50071647175742307E-008   0.105042353E+000
   0.50841980209215265E-008   0.105140440E+000
   0.51612313242688224E-008   0.105239317E+000
   0.52382646276161182E-008   0.105484523E+000
   0.53152979309634141E-008   0.105821788E+000
   0.53923312343107099E-008   0.106215864E+000
   0.54693645376580058E-008   0.106689155E+000
   0.55463978410053016E-008   0.107498258E+000
   0.56234311443525975E-008   0.108878903E+000
   0.57004644476998934E-008   0.110534862E+000
   0.57774977510471892E-008   0.112150028E+000
   0.58545310543944851E-008   0.113648653E+000
   0.59315643577417809E-008   0.114664331E+000
   0.60085976610890768E-008   0.115197659E+000
   0.60856309644363726E-008   0.115674406E+000
   0.61626642677836685E-008   0.116335884E+000
   0.62396975711309643E-008   0.117106304E+000
   0.63167308744782602E-008   0.117791109E+000
   0.63937641778255561E-008   0.117876709E+000
   0.64707974811728519E-008   0.117487714E+000
   0.65478307845201478E-008   0.117115483E+000
   0.66248640878674436E-008   0.116833732E+000
   0.67018973912147395E-008   0.116563194E+000
   0.67789306945620353E-008   0.116476581E+000
   0.68559639979093312E-008   0.116559833E+000
   0.69329973012566271E-008   0.116518766E+000
   0.70100306046039229E-008   0.116368279E+000
   0.70870639079512188E-008   0.116365977E+000
   0.71640972112985146E-008   0.116486572E+000
   0.72411305146458105E-008   0.116583779E+000
   0.73181638179931063E-008   0.116729915E+000
   0.73951971213404022E-008   0.116960168E+000
   0.74722304246876980E-008   0.117118441E+000
   0.75492637280349939E-008   0.117237180E+000
   0.76262970313822898E-008   0.117451221E+000
   0.77033303347295856E-008   0.117653057E+000
   0.77803636380768815E-008   0.117737308E+000
   0.78573969414241773E-008   0.117802352E+000
   0.79344302447714732E-008   0.117860489E+000
   0.80114635481187690E-008   0.117801204E+000
   0.80884968514660649E-008   0.117716581E+000
   0.81655301548133608E-008   0.117795147E+000
   0.82425634581606566E-008   0.117973410E+000
   0.83195967615079525E-008   0.118123680E+000
   0.83966300648552483E-008   0.118361279E+000
   0.84736633682025442E-008   0.118763864E+000
   0.85506966715498400E-008   0.119107902E+000
   0.86277299748971359E-008   0.119238257E+000
   0.87047632782444317E-008   0.119330525E+000
   0.87817965815917276E-008   0.119454354E+000
   0.88588298849390235E-008   0.119461209E+000
   0.89358631882863193E-008   0.119399726E+000
   0.90128964916336152E-008   0.119543269E+000
   0.90899297949809110E-008   0.119909741E+000
   0.91669630983282069E-008   0.120199233E+000
   0.92439964016755027E-008   0.120342381E+000
   0.93210297050227986E-008   0.120828673E+000
   0.93980630083700945E-008   0.121593058E+000
   0.94750963117173903E-008   0.122159295E+000
   0.95521296150646862E-008   0.122595586E+000
   0.96291629184119820E-008   0.123265035E+000
   0.97061962217592779E-008   0.124034353E+000
   0.97832295251065737E-008   0.124626040E+000
   0.98602628284538696E-008   0.124993421E+000
   0.99372961318011654E-008   0.125254869E+000
   0.10014329435148461E-007   0.125362843E+000
   0.10091362738495757E-007   0.125312835E+000
   0.10168396041843053E-007   0.125346318E+000
   0.10245429345190349E-007   0.125591233E+000
   0.10322462648537645E-007   0.125887945E+000
   0.10399495951884941E-007   0.126122177E+000
   0.10476529255232236E-007   0.126395881E+000
   0.10553562558579532E-007   0.126743272E+000
   0.10630595861926828E-007   0.127061427E+000
   0.10707629165274124E-007   0.127305567E+000
   0.10784662468621420E-007   0.127567589E+000
   0.10861695771968716E-007   0.127921388E+000
   0.10938729075316012E-007   0.128291756E+000
   0.11015762378663307E-007   0.128627151E+000
   0.11092795682010603E-007   0.129071683E+000
   0.11169828985357899E-007   0.129627034E+000
   0.11246862288705195E-007   0.130112961E+000
   0.11323895592052491E-007   0.130532905E+000
   0.11400928895399787E-007   0.131004095E+000
   0.11477962198747083E-007   0.131445646E+000
   0.11554995502094378E-007   0.131811544E+000
   0.11632028805441674E-007   0.132220045E+000
   0.11709062108788970E-007   0.132605582E+000
   0.11786095412136266E-007   0.132855207E+000
   0.11863128715483562E-007   0.133133665E+000
   0.11940162018830858E-007   0.133529827E+000
   0.12017195322178154E-007   0.133836716E+000
   0.12094228625525449E-007   0.134061486E+000
   0.12171261928872745E-007   0.134415284E+000
   0.12248295232220041E-007   0.134866506E+000
   0.12325328535567337E-007   0.135307401E+000
   0.12402361838914633E-007   0.135877669E+000
   0.12479395142261929E-007   0.136583924E+000
   0.12556428445609225E-007   0.137193054E+000
   0.12633461748956520E-007   0.137745559E+000
   0.12710495052303816E-007   0.138419271E+000
   0.12787528355651112E-007   0.139083654E+000
   0.12864561658998408E-007   0.139636785E+000
   0.12941594962345704E-007   0.139824063E+000
   0.13018628265693000E-007   0.139474452E+000
   0.13095661569040296E-007   0.138814732E+000
   0.13172694872387591E-007   0.138189048E+000
   0.13249728175734887E-007   0.137660101E+000
   0.13326761479082183E-007   0.137147427E+000
   0.13403794782429479E-007   0.136943400E+000
   0.13480828085776775E-007   0.137087435E+000
   0.13557861389124071E-007   0.137265563E+000
   0.13634894692471367E-007   0.137390941E+000
   0.13711927995818662E-007   0.137568608E+000
   0.13788961299165958E-007   0.137737423E+000
   0.13865994602513254E-007   0.137831748E+000
   0.13943027905860550E-007   0.137918100E+000
   0.14020061209207846E-007   0.137979090E+000
   0.14097094512555142E-007   0.137895763E+000
   0.14174127815902438E-007   0.137740135E+000
   0.14251161119249733E-007   0.137566760E+000
