t              noda2002.fdtd_Point probe_Ez_12_12_2.dat
   0.00000000000000000E+000   0.000000000E+000
   0.95999999616402931E-010   0.000000000E+000
   0.19199999923280586E-009  -0.330111170E+001
   0.28799999884920879E-009  -0.832958412E+001
   0.38399999846561172E-009  -0.118356810E+002
   0.47999999808201466E-009  -0.131464348E+002
   0.57599999769841759E-009  -0.143102741E+002
   0.67199999731482052E-009  -0.170481052E+002
   0.76799999693122345E-009  -0.208704090E+002
   0.86399999654762638E-009  -0.242191734E+002
   0.95999999616402931E-009  -0.265132256E+002
   0.10559999957804322E-008  -0.285249939E+002
   0.11519999953968352E-008  -0.311428223E+002
   0.12479999950132381E-008  -0.343743477E+002
   0.13439999946296410E-008  -0.376041260E+002
   0.14399999942460440E-008  -0.404141045E+002
   0.15359999938624469E-008  -0.429153709E+002
   0.16319999934788498E-008  -0.465112801E+002
   0.17279999930952528E-008  -0.526598473E+002
   0.18239999927116557E-008  -0.594303436E+002
   0.19199999923280586E-008  -0.647008743E+002
   0.20159999919444616E-008  -0.686296539E+002
   0.21119999915608645E-008  -0.728579559E+002
   0.22079999911772674E-008  -0.782805328E+002
   0.23039999907936703E-008  -0.842699585E+002
   0.23999999904100733E-008  -0.897787247E+002
   0.24959999900264762E-008  -0.945700912E+002
   0.25919999896428791E-008  -0.992366943E+002
   0.26879999892592821E-008  -0.104365509E+003
   0.27839999888756850E-008  -0.109955620E+003
   0.28799999884920879E-008  -0.115568085E+003
   0.29759999881084909E-008  -0.120837387E+003
   0.30719999877248938E-008  -0.125786545E+003
   0.31679999873412967E-008  -0.131440155E+003
   0.32639999869576997E-008  -0.137969330E+003
   0.33599999865741026E-008  -0.144535889E+003
   0.34559999861905055E-008  -0.150489243E+003
   0.35519999858069085E-008  -0.156008240E+003
   0.36479999854233114E-008  -0.161685272E+003
   0.37439999850397143E-008  -0.167794952E+003
   0.38399999846561172E-008  -0.174089752E+003
   0.39359999842725202E-008  -0.180184280E+003
   0.40319999838889231E-008  -0.185987854E+003
   0.41279999835053260E-008  -0.191743805E+003
   0.42239999831217290E-008  -0.197724228E+003
   0.43199999827381319E-008  -0.203947113E+003
   0.44159999823545348E-008  -0.210191467E+003
   0.45119999819709378E-008  -0.216253403E+003
   0.46079999815873407E-008  -0.221860916E+003
   0.47039999812037436E-008  -0.225291351E+003
   0.47999999808201466E-008  -0.227961426E+003
   0.48959999804365495E-008  -0.231894196E+003
   0.49919999800529524E-008  -0.237136520E+003
   0.50879999796693554E-008  -0.242157028E+003
   0.51839999792857583E-008  -0.246013977E+003
   0.52799999789021612E-008  -0.249307755E+003
   0.53759999785185641E-008  -0.253103180E+003
   0.54719999781349671E-008  -0.257589996E+003
   0.55679999777513700E-008  -0.262102142E+003
   0.56639999773677729E-008  -0.266113068E+003
   0.57599999769841759E-008  -0.269799988E+003
   0.58559999766005788E-008  -0.273657654E+003
   0.59519999762169817E-008  -0.277874084E+003
   0.60479999758333847E-008  -0.282231781E+003
   0.61439999754497876E-008  -0.284994324E+003
   0.62399999750661905E-008  -0.285354919E+003
   0.63359999746825935E-008  -0.285591919E+003
   0.64319999742989964E-008  -0.287544830E+003
   0.65279999739153993E-008  -0.290577576E+003
   0.66239999735318023E-008  -0.292939758E+003
   0.67199999731482052E-008  -0.294047150E+003
   0.68159999727646081E-008  -0.294837677E+003
   0.69119999723810110E-008  -0.296326080E+003
   0.70079999719974140E-008  -0.298472473E+003
   0.71039999716138169E-008  -0.300523376E+003
   0.71999999712302198E-008  -0.302021118E+003
   0.72959999708466228E-008  -0.303201782E+003
   0.73919999704630257E-008  -0.304558929E+003
   0.74879999700794286E-008  -0.306287720E+003
   0.75839999696958316E-008  -0.308192230E+003
   0.76799999693122345E-008  -0.309978668E+003
   0.77759999689286374E-008  -0.311537628E+003
   0.78719999685450404E-008  -0.312984436E+003
   0.79679999681614433E-008  -0.314504547E+003
   0.80639999677778462E-008  -0.316174530E+003
   0.81599999673942492E-008  -0.317437042E+003
   0.82559999670106521E-008  -0.318141846E+003
   0.83519999666270550E-008  -0.318831421E+003
   0.84479999662434579E-008  -0.319939423E+003
   0.85439999658598609E-008  -0.321335052E+003
   0.86399999654762638E-008  -0.322606018E+003
   0.87359999650926667E-008  -0.323565155E+003
   0.88319999647090697E-008  -0.324379272E+003
   0.89279999643254726E-008  -0.325297852E+003
