t              pw-in-box.fdtd_after_Ex_3_3_5.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406663791961428E-010   0.000000000E+000   0.000000000E+000
   0.30813327583922856E-010   0.000000000E+000   0.000000000E+000
   0.46219991375884284E-010   0.000000000E+000   0.000000000E+000
   0.61626655167845712E-010   0.000000000E+000   0.000000000E+000
   0.77033318959807140E-010   0.000000000E+000   0.000000000E+000
   0.92439982751768568E-010   0.000000000E+000   0.000000000E+000
   0.10784664654373000E-009   0.000000000E+000   0.000000000E+000
   0.12325331033569142E-009   0.000000000E+000   0.000000000E+000
   0.13865997412765285E-009   0.000000000E+000   0.000000000E+000
   0.15406663791961428E-009   0.000000000E+000   0.000000000E+000
   0.16947330171157571E-009   0.000000000E+000   0.000000000E+000
   0.18487996550353714E-009   0.000000000E+000   0.000000000E+000
   0.20028662929549856E-009   0.000000000E+000   0.000000000E+000
   0.21569329308745999E-009   0.000000000E+000   0.000000000E+000
   0.23109995687942142E-009   0.000000000E+000   0.000000000E+000
   0.24650662067138285E-009   0.000000000E+000   0.000000000E+000
   0.26191328446334428E-009   0.000000000E+000   0.213034907E-037
   0.27731994825530570E-009   0.000000000E+000   0.975923666E-037
   0.29272661204726713E-009   0.387174542E-035   0.448955670E-036
   0.30813327583922856E-009   0.229082727E-034   0.202496910E-035
   0.32353993963118999E-009   0.953370631E-034   0.895810782E-035
   0.33894660342315142E-009   0.389355642E-033   0.390972205E-034
   0.35435326721511284E-009   0.123790300E-032   0.168332306E-033
   0.36975993100707427E-009   0.468118364E-032   0.714956465E-033
   0.38516659479903570E-009   0.187447885E-031   0.299585535E-032
   0.40057325859099713E-009   0.738647031E-031   0.123837918E-031
   0.41597992238295856E-009   0.285079785E-030   0.504984203E-031
   0.43138658617491998E-009   0.108345427E-029   0.203156998E-030
   0.44679324996688141E-009   0.406222335E-029   0.806261419E-030
   0.46219991375884284E-009   0.150258466E-028   0.315656119E-029
   0.47760657755080427E-009   0.548232449E-028   0.121921085E-028
   0.49301324134276570E-009   0.197306359E-027   0.464556421E-028
   0.50841990513472712E-009   0.700434047E-027   0.174617905E-027
   0.52382656892668855E-009   0.245258820E-026   0.647539247E-027
   0.53923323271864998E-009   0.847078147E-026   0.236883047E-026
   0.55463989651061141E-009   0.288577306E-025   0.854864758E-026
   0.57004656030257284E-009   0.969665360E-025   0.304359177E-025
