t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-010   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.77033327633424520E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.10784665868679433E-009   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.13865998974016414E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.16947332079353394E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.20028665184690375E-009   0.000000000E+000   0.352230186E-037
   0.21569331737358866E-009   0.000000000E+000   0.163524636E-036
   0.23109998290027356E-009   0.254311251E-035   0.735702994E-036
   0.24650664842695846E-009   0.144282188E-034   0.331333825E-035
   0.26191331395364337E-009   0.623723903E-034   0.145925785E-034
   0.27731997948032827E-009   0.262271754E-033   0.634028764E-034
   0.29272664500701318E-009   0.108360724E-032   0.271754687E-033
   0.30813331053369808E-009   0.460271646E-032   0.114908852E-032
   0.32353997606038298E-009   0.192124295E-031   0.479339780E-032
   0.33894664158706789E-009   0.781533649E-031   0.197252801E-031
   0.35435330711375279E-009   0.310991936E-030   0.800779901E-031
   0.36975997264043770E-009   0.121841156E-029   0.320711958E-030
   0.38516663816712260E-009   0.470995722E-029   0.126709357E-029
   0.40057330369380750E-009   0.179660495E-028   0.493866968E-029
   0.41597996922049241E-009   0.676186300E-028   0.189899551E-028
   0.43138663474717731E-009   0.251098485E-027   0.720327832E-028
   0.44679330027386222E-009   0.919984283E-027   0.269552842E-027
   0.46219996580054712E-009   0.332575129E-026   0.995107202E-027
   0.47760663132723202E-009   0.118622771E-025   0.362400504E-026
   0.49301329685391693E-009   0.417453574E-025   0.130201801E-025
   0.50841996238060183E-009   0.144951959E-024   0.461481072E-025
   0.52382662790728673E-009   0.496604851E-024   0.161355791E-024
   0.53923329343397164E-009   0.167866682E-023   0.556574304E-024
   0.55463995896065654E-009   0.559879079E-023   0.189397418E-023
   0.57004662448734145E-009   0.184245753E-022   0.635795463E-023
   0.58545329001402635E-009   0.598232099E-022   0.210557310E-022
   0.60085995554071125E-009   0.191655612E-021   0.687909555E-022
   0.61626662106739616E-009   0.605829625E-021   0.221711061E-021
   0.63167328659408106E-009   0.188951397E-020   0.704937919E-021
   0.64707995212076597E-009   0.581475053E-020   0.221118848E-020
   0.66248661764745087E-009   0.176559488E-019   0.684218034E-020
   0.67789328317413577E-009   0.528963843E-019   0.208868113E-019
   0.69329994870082068E-009   0.156366733E-018   0.629009657E-019
   0.70870661422750558E-009   0.456083970E-018   0.186869639E-018
   0.72411327975419049E-009   0.131256802E-017   0.547682332E-018
   0.73951994528087539E-009   0.372721173E-017   0.158352892E-017
   0.75492661080756029E-009   0.104431164E-016   0.451668780E-017
   0.77033327633424520E-009   0.288706978E-016   0.127093241E-016
   0.78573994186093010E-009   0.787536757E-016   0.352802623E-016
   0.80114660738761501E-009   0.211967904E-015   0.966136698E-016
   0.81655327291429991E-009   0.562927297E-015   0.261007671E-015
   0.83195993844098481E-009   0.147510650E-014   0.695624326E-015
   0.84736660396766972E-009   0.381401360E-014   0.182891777E-014
   0.86277326949435462E-009   0.973031300E-014   0.474374407E-014
   0.87817993502103953E-009   0.244941057E-013   0.121382159E-013
   0.89358660054772443E-009   0.608393950E-013   0.306398685E-013
   0.90899326607440933E-009   0.149106069E-012   0.763003213E-013
   0.92439993160109424E-009   0.360576586E-012   0.187444231E-012
   0.93980659712777914E-009   0.860380831E-012   0.454271359E-012
   0.95521326265446405E-009   0.202569103E-011   0.108609345E-011
   0.97061992818114895E-009   0.470595047E-011   0.256168112E-011
   0.98602659370783385E-009   0.107873354E-010   0.596049599E-011
   0.10014332592345188E-008   0.243989412E-010   0.136819054E-010
   0.10168399247612037E-008   0.544528450E-010   0.309825117E-010
   0.10322465902878886E-008   0.119911969E-009   0.692128160E-010
   0.10476532558145735E-008   0.260552524E-009   0.152532750E-009
   0.10630599213412584E-008   0.558626367E-009   0.331623506E-009
   0.10784665868679433E-008   0.118178989E-008   0.711259052E-009
   0.10938732523946282E-008   0.246688869E-008   0.150493151E-008
   0.11092799179213131E-008   0.508103160E-008   0.314131232E-008
   0.11246865834479980E-008   0.103263558E-007   0.646853904E-008
   0.11400932489746829E-008   0.207078088E-007   0.131403661E-007
   0.11554999145013678E-008   0.409744203E-007   0.263338311E-007
   0.11709065800280527E-008   0.799988129E-007   0.520621022E-007
   0.11863132455547376E-008   0.154114772E-006   0.101539584E-006
   0.12017199110814225E-008   0.292951398E-006   0.195368315E-006
   0.12171265766081074E-008   0.549460822E-006   0.370829554E-006
   0.12325332421347923E-008   0.101687237E-005   0.694381924E-006
   0.12479399076614772E-008   0.185688350E-005   0.128271847E-005
   0.12633465731881621E-008   0.334572906E-005   0.233756714E-005
   0.12787532387148470E-008   0.594817357E-005   0.420244896E-005
   0.12941599042415319E-008   0.104342962E-004   0.745324996E-005
   0.13095665697682168E-008   0.180604220E-004   0.130404023E-004
   0.13249732352949017E-008   0.308444178E-004   0.225082495E-004
   0.13403799008215866E-008   0.519766545E-004   0.383263214E-004
   0.13557865663482715E-008   0.864214526E-004   0.643805906E-004
   0.13711932318749565E-008   0.141779805E-003   0.106688618E-003
   0.13865998974016414E-008   0.229501908E-003   0.174415778E-003
   0.14020065629283263E-008   0.366552238E-003   0.281291170E-003
   0.14174132284550112E-008   0.577644736E-003   0.447539700E-003
   0.14328198939816961E-008   0.898173486E-003   0.702443649E-003
   0.14482265595083810E-008   0.137794705E-002   0.108766300E-002
   0.14636332250350659E-008   0.208581495E-002   0.166143046E-002
   0.14790398905617508E-008   0.311521720E-002   0.250365445E-002
   0.14944465560884357E-008   0.459059095E-002   0.372194289E-002
   0.15098532216151206E-008   0.667442568E-002   0.545845693E-002
   0.15252598871418055E-008   0.957463682E-002   0.789722241E-002
   0.15406665526684904E-008   0.135516375E-001   0.112715121E-001
   0.15560732181951753E-008   0.189243201E-001   0.158706512E-001
   0.15714798837218602E-008   0.260739010E-001   0.220450703E-001
   0.15868865492485451E-008   0.354443043E-001   0.302086845E-001
   0.16022932147752300E-008   0.475378223E-001   0.408372730E-001
   0.16176998803019149E-008   0.629046187E-001   0.544610210E-001
   0.16331065458285998E-008   0.821247101E-001   0.716503859E-001
   0.16485132113552847E-008   0.105781816E+000   0.929941908E-001
   0.16639198768819696E-008   0.134428576E+000   0.119068585E+000
   0.16793265424086545E-008   0.168543905E+000   0.150398120E+000
   0.16947332079353394E-008   0.208484024E+000   0.187409684E+000
   0.17101398734620243E-008   0.254430205E+000   0.230380505E+000
   0.17255465389887092E-008   0.306336433E+000   0.279385567E+000
   0.17409532045153941E-008   0.363881916E+000   0.334244937E+000
   0.17563598700420791E-008   0.426433742E+000   0.394485801E+000
   0.17717665355687640E-008   0.493025780E+000   0.459305316E+000
   0.17871732010954489E-008   0.562357485E+000   0.527564824E+000
   0.18025798666221338E-008   0.632817030E+000   0.597797632E+000
   0.18179865321488187E-008   0.702529490E+000   0.668246448E+000
   0.18333931976755036E-008   0.769430935E+000   0.736925185E+000
   0.18487998632021885E-008   0.831364274E+000   0.801704109E+000
   0.18642065287288734E-008   0.886192143E+000   0.860417068E+000
   0.18796131942555583E-008   0.931917906E+000   0.910978436E+000
   0.18950198597822432E-008   0.966805696E+000   0.951505721E+000
   0.19104265253089281E-008   0.989489019E+000   0.980434299E+000
   0.19258331908356130E-008   0.999059916E+000   0.996620834E+000
   0.19412398563622979E-008   0.995129883E+000   0.999413848E+000
   0.19566465218889828E-008   0.977855980E+000   0.988701224E+000
   0.19720531874156677E-008   0.947930217E+000   0.964914501E+000
